name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
Mo17_P3_C2_Amb_unmerge_bwa_PE,15193942,785610,2261264,63106,198316,40174,40174,4549840,4388152,1476835,1390471,Mo17_P3_C2_Amb,9723602,0.6399657179157324,341770,0.022493833397547524
Mo17_P3_C4_Ele_unmerge_bwa_PE,18458496,635084,1275824,85695,157739,50707,50707,2477069,2548958,5738133,5438580,Mo17_P3_C4_Ele,5661111,0.3066940556803761,344848,0.0186823455172079
Mo17_P3_C5_Ele_unmerge_bwa_PE,16977656,1084344,2149060,75668,173004,38172,38172,4936418,4815125,1888264,1779429,Mo17_P3_C5_Ele,10835887,0.6382439955197584,325016,0.01914374987925306
Mo17_P3_C6_Amb_unmerge_bwa_PE,11616489,602466,1781313,45218,153001,30133,30133,3605516,3469827,975927,922955,Mo17_P3_C6_Amb,7677809,0.6609405819606939,258485,0.022251559830168997
Mo17_P3_C7_Ele_unmerge_bwa_PE,15358067,831016,1994921,65343,162930,28223,28223,4152888,4052898,2078013,1963612,Mo17_P3_C7_Ele,9036802,0.5884075124818768,284719,0.018538726260277416
Mo17_P4_C1_Amb_unmerge_bwa_PE,17139744,911566,2521366,58781,135359,28219,28219,5004691,4897165,1815217,1739161,Mo17_P4_C1_Amb,10813422,0.6308975209898118,250578,0.014619704938416817
Mo17_P4_C2_Amb_unmerge_bwa_PE,13485370,682966,1989672,55804,178482,21924,21924,4210205,4052335,1168672,1103386,Mo17_P4_C2_Amb,8945506,0.6633489477856374,278134,0.020624869766272636
Mo17_P4_C4_Ele_unmerge_bwa_PE,10145555,653864,1745425,45139,143167,17602,17602,3296745,3153723,553386,518902,Mo17_P4_C4_Ele,7104332,0.7002408443894887,223510,0.02203033742363035
Mo17_P4_C5_Ele_unmerge_bwa_PE,11076703,727350,1738387,46801,136442,30048,30048,3502305,3375316,767825,722181,Mo17_P4_C5_Ele,7604971,0.6865735228253389,243339,0.021968540638852552
Mo17_P4_C6_Amb_unmerge_bwa_PE,16608940,857564,2506762,74507,209872,27519,27519,4967119,4792754,1620245,1525079,Mo17_P4_C6_Amb,10617437,0.639260362190483,339417,0.020435801441874075
Mo17_P4_C7_Ele_unmerge_bwa_PE,12076368,501028,1155484,47179,129487,24871,24871,2288158,2286605,2891633,2727052,Mo17_P4_C7_Ele,5075791,0.4203077448451389,226408,0.01874802092814661
NC338_P1_C1_Amb_unmerge_bwa_PE,16323209,784698,2113495,71523,167373,24040,24040,4502592,4391964,2180674,2062810,NC338_P1_C1_Amb,9679254,0.5929749475118526,286976,0.01758085680334057
NC338_P1_C2_Amb_unmerge_bwa_PE,14682106,594762,1383674,91300,143956,32058,32058,2444353,2451017,3870953,3637975,NC338_P1_C2_Amb,5490132,0.37393354877018325,299372,0.020390262813795242
NC338_P1_C4_Ele_unmerge_bwa_PE,12007888,719838,1982620,61230,167413,37592,37592,3554555,3405918,1053696,987434,NC338_P1_C4_Ele,7680311,0.6396054826627297,303827,0.025302284631568847
NC338_P1_C5_Ele_unmerge_bwa_PE,13212226,815658,2305594,61190,200562,47181,47181,4420242,4208890,569777,535951,NC338_P1_C5_Ele,9444790,0.7148522890843678,356114,0.026953368796446563
NC338_P1_C6_Amb_unmerge_bwa_PE,14520788,763564,2554958,60109,197882,24838,24838,4747572,4544526,823328,779173,NC338_P1_C6_Amb,10055662,0.69250112321728,307667,0.021188037453614778
NC338_P1_C7_Ele_unmerge_bwa_PE,9890005,548970,1591803,47714,162851,20500,20500,2893030,2756155,955981,892501,NC338_P1_C7_Ele,6198155,0.6267089854858516,251565,0.025436286432615553
NC338_P2_C1_Amb_unmerge_bwa_PE,8024766,413206,1361990,33030,94355,10810,10810,2433870,2348142,677167,641386,NC338_P2_C1_Amb,5195218,0.6473980674327451,149005,0.01856814267232216
NC338_P2_C2_Amb_unmerge_bwa_PE,13188685,704416,2243185,56408,185392,19586,19586,4340721,4148534,755428,715429,NC338_P2_C2_Amb,9193671,0.6970877687957518,280972,0.021304019316558096
NC338_P2_C4_Ele_unmerge_bwa_PE,13367714,836016,2455434,62740,213564,35941,35941,4531622,4299504,463298,433654,NC338_P2_C4_Ele,9667142,0.7231709176303442,348186,0.02604678705723357
NC338_P2_C5_Ele_unmerge_bwa_PE,9774271,614820,1695531,43224,143116,24185,24185,3183219,3039623,519342,487026,NC338_P2_C5_Ele,6837662,0.699557235521708,234710,0.024013044041852328
NC338_P2_C6_Amb_unmerge_bwa_PE,29073011,1719234,4812461,120690,249413,45627,45627,9511814,9245297,1703013,1619835,NC338_P2_C6_Amb,20476345,0.7043076824756817,461357,0.01586891017239322
NC338_P2_C7_Ele_unmerge_bwa_PE,13365071,836106,2355751,64717,197834,34969,34969,4457228,4245905,586984,550608,NC338_P2_C7_Ele,9539239,0.7137439823552003,332489,0.02487745856344497
NC338_P3_C1_Amb_unmerge_bwa_PE,10975458,577196,1701100,44531,124736,17075,17075,3530463,3411996,796573,754713,NC338_P3_C1_Amb,7519655,0.6851335953360671,203417,0.018533805149634756
NC338_P3_C2_Amb_unmerge_bwa_PE,17564758,992630,2978404,87139,226625,37320,37320,5440840,5220870,1310189,1233421,NC338_P3_C2_Amb,11654340,0.6635070064728475,388404,0.02211268723429039
NC338_P3_C4_Ele_unmerge_bwa_PE,9799284,645210,1766052,56088,154044,39744,39744,3196486,3036004,450051,415861,NC338_P3_C4_Ele,6877700,0.7018574010101146,289620,0.029555220565094346
NC338_P3_C5_Ele_unmerge_bwa_PE,9538256,602756,1599118,44716,157822,38002,38002,3118086,2964978,505284,469492,NC338_P3_C5_Ele,6685820,0.7009478462310091,278542,0.029202613140179925
NC338_P3_C6_Amb_unmerge_bwa_PE,11970170,629696,1986556,48488,146287,22646,22646,3874202,3729093,775078,735478,NC338_P3_C6_Amb,8232991,0.6877923204098187,240067,0.020055437809153923
NC338_P3_C7_Ele_unmerge_bwa_PE,12842340,826856,2257014,60762,196935,43508,43508,4320038,4113665,507566,472488,NC338_P3_C7_Ele,9260559,0.721095921771266,344713,0.026841915102699353
NC338_P4_C1_Amb_unmerge_bwa_PE,11582909,324382,793165,45311,114414,21920,21920,1585960,1625609,3620637,3429591,NC338_P4_C1_Amb,3535951,0.3052731399340183,203565,0.017574600646521527
NC338_P4_C2_Amb_unmerge_bwa_PE,12691022,695722,2137534,49828,138287,35611,35611,4099840,3963597,787525,747467,NC338_P4_C2_Amb,8759159,0.6901854712725264,259337,0.02043468209258482
NC338_P4_C4_Ele_unmerge_bwa_PE,17358439,901052,2417715,68040,210067,47616,47616,4517072,4396666,2445882,2306713,NC338_P4_C4_Ele,9814790,0.5654189296629726,373339,0.021507636717794727
NC338_P4_C5_Ele_unmerge_bwa_PE,11971700,807166,1859336,52885,150406,42775,42775,3903454,3757724,698686,656493,NC338_P4_C5_Ele,8468344,0.7073635323304126,288841,0.02412698280110594
NC338_P4_C6_Amb_unmerge_bwa_PE,16335409,878208,2752279,62944,215696,49789,49789,5265083,5061134,1030157,970330,NC338_P4_C6_Amb,11204425,0.685898039038998,378218,0.0231532617273311
NC338_P4_C7_Ele_unmerge_bwa_PE,19451736,1048758,2760740,77555,249707,53935,53935,5261775,5102051,2494329,2348951,NC338_P4_C7_Ele,11412584,0.5867128774521719,435132,0.022369828584965373
