name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
Hp301_P3_C1_Amb_unmerge_bwa_PE,12292828,367248,661494,54635,103731,58547,58547,1892873,2008010,3669633,3418110,Hp301_P3_C1_Amb,4268131,0.3472049718746573,275460,0.02240818792876627
Hp301_P3_C2_Amb_unmerge_bwa_PE,15337467,363508,582811,56314,93661,43637,43637,1934218,2091952,5208338,4919391,Hp301_P3_C2_Amb,4389678,0.28620619037028733,237249,0.015468590739266139
Hp301_P3_C4_Ele_unmerge_bwa_PE,18524873,650658,1077637,86156,140449,73579,73579,2978617,3111159,5329547,5003492,Hp301_P3_C4_Ele,6740434,0.3638585808388538,373763,0.020176278671384145
Hp301_P3_C5_Ele_unmerge_bwa_PE,20407592,1170808,2220892,115370,161553,137316,137316,5355408,5307889,2989156,2811884,Hp301_P3_C5_Ele,11834105,0.5798873772074628,551555,0.027026951538427463
Hp301_P3_C6_Amb_unmerge_bwa_PE,10015356,649704,1665076,60488,132267,46996,46996,2962603,2851406,829810,770010,Hp301_P3_C6_Amb,6463713,0.645380254081832,286747,0.028630734643880856
Hp301_P3_C7_Ele_unmerge_bwa_PE,15294682,424398,740234,59746,112844,64154,64154,2266956,2428777,4721360,4412059,Hp301_P3_C7_Ele,5120131,0.33476544330898805,300898,0.01967337405249746
Hp301_P4_C1_Amb_unmerge_bwa_PE,15777630,484488,808460,73988,141013,68090,68090,2091756,2293314,5070385,4678046,Hp301_P4_C1_Amb,4869558,0.3086368485000599,351181,0.02225815917853315
Hp301_P4_C2_Amb_unmerge_bwa_PE,16618735,965716,1681247,102504,199367,94387,94387,4135246,4095573,2733312,2516996,Hp301_P4_C2_Amb,9196535,0.5533835758257172,490645,0.029523606941202204
Hp301_P4_C4_Ele_unmerge_bwa_PE,20240232,1405436,2928560,130855,282327,140016,140016,5617275,5442030,2169080,1984637,Hp301_P4_C4_Ele,12464741,0.6158398283181734,693214,0.03424931097627735
Hp301_P4_C5_Ele_unmerge_bwa_PE,15003586,642160,1135312,75799,143245,60888,60888,2703103,2797214,3834002,3550975,Hp301_P4_C5_Ele,6142477,0.40940059263165485,340820,0.02271590271819017
Hp301_P4_C6_Amb_unmerge_bwa_PE,17247123,823830,1480823,97144,152223,88173,88173,3685945,3720476,3678287,3432049,Hp301_P4_C6_Amb,8230251,0.4771955879250122,425713,0.024683131209767565
Hp301_P4_C7_Ele_unmerge_bwa_PE,15069061,648576,1160309,77988,137392,94733,94733,3058957,3112128,3457973,3226272,Hp301_P4_C7_Ele,6819661,0.4525604481924919,404846,0.026866040292756133
Mo17_P1_C1_Amb_unmerge_bwa_PE,17871151,1009878,2530007,81233,187697,66957,66957,4851671,4782314,2232962,2061475,Mo17_P1_C1_Amb,10643863,0.5955891145455601,402844,0.0225415811214398
Mo17_P1_C2_Amb_unmerge_bwa_PE,10695296,615754,1807396,55305,149195,39482,39482,3103299,2992551,984519,908313,Mo17_P1_C2_Amb,6711604,0.6275285882690858,283464,0.026503614299220893
Mo17_P1_C4_Ele_unmerge_bwa_PE,16747904,1055942,2675780,81207,292379,93981,93981,4938939,4729217,1456634,1329844,Mo17_P1_C4_Ele,10724098,0.6403247833281108,561548,0.03352944941647624
Mo17_P1_C5_Ele_unmerge_bwa_PE,10376966,654830,1439362,54344,105096,41556,41556,2678269,2647939,1411258,1302756,Mo17_P1_C5_Ele,5981038,0.5763763705113807,242552,0.023374076777354768
Mo17_P1_C6_Amb_unmerge_bwa_PE,13964523,837888,2379709,72882,192781,56675,56675,4003788,3862506,1300840,1200779,Mo17_P1_C6_Amb,8704182,0.6233067896411499,379013,0.027141134716882204
Mo17_P1_C7_Ele_unmerge_bwa_PE,15374947,1065848,2849395,73903,141724,63200,63200,4557634,4438055,1095355,1026633,Mo17_P1_C7_Ele,10061537,0.6544111664254842,342027,0.022245735221071004
Mo17_P2_C1_Amb_unmerge_bwa_PE,17951098,969884,2402846,89870,202300,64221,64221,4517271,4470559,2693249,2476677,Mo17_P2_C1_Amb,9957714,0.5547133662798788,420612,0.023430990126620668
Mo17_P2_C2_Amb_unmerge_bwa_PE,14943075,864380,2374105,80862,200225,60030,60030,4088265,3967362,1691090,1556726,Mo17_P2_C2_Amb,8920007,0.5969324921410084,401147,0.026845010146840594
Mo17_P2_C4_Ele_unmerge_bwa_PE,15580604,1038440,2468770,81358,183885,62896,62896,4343848,4236804,1614443,1487264,Mo17_P2_C4_Ele,9619092,0.6173760657802483,391035,0.02509755077531012
Mo17_P2_C5_Ele_unmerge_bwa_PE,23286939,1097520,2225913,119125,209250,86530,86530,4656172,4802851,5220303,4782745,Mo17_P2_C5_Ele,10556543,0.45332462974201976,501435,0.02153288588079352
Mo17_P2_C6_Amb_unmerge_bwa_PE,19143350,1136098,2405244,98185,198426,104336,104336,4785740,4759449,2892237,2659299,Mo17_P2_C6_Amb,10681287,0.5579633136311043,505283,0.026394701031951042
Mo17_P2_C7_Ele_unmerge_bwa_PE,15357770,1052700,2313198,79232,169256,65165,65165,4188511,4105788,1727166,1591589,Mo17_P2_C7_Ele,9346999,0.6086169411314273,378818,0.02466621130541739
Mo17_P3_C1_Amb_unmerge_bwa_PE,8870566,498862,1297150,41366,97166,33934,33934,2473337,2420993,1022298,951526,Mo17_P3_C1_Amb,5393192,0.6079873595439118,206400,0.02326796283348774
Mo17_P3_C2_Amb_unmerge_bwa_PE,15169455,860682,2236777,72325,197201,78724,78724,4180279,4075689,1763031,1626023,Mo17_P3_C2_Amb,9116650,0.6009873129917983,426974,0.02814695715831584
Mo17_P3_C4_Ele_unmerge_bwa_PE,18431166,640962,1248494,89476,156769,69717,69717,2439604,2684082,5749226,5283119,Mo17_P3_C4_Ele,5764648,0.3127663220004638,385679,0.02092537173177215
Mo17_P3_C5_Ele_unmerge_bwa_PE,16921030,1092006,2092434,80234,172300,82987,82987,4542184,4501309,2225777,2048812,Mo17_P3_C5_Ele,10135499,0.5989883003576023,418508,0.02473300975177043
Mo17_P3_C6_Amb_unmerge_bwa_PE,11596292,655054,1761116,53228,152469,58855,58855,3312519,3215967,1207925,1120304,Mo17_P3_C6_Amb,7183540,0.6194687060312037,323407,0.027888828601418454
Mo17_P3_C7_Ele_unmerge_bwa_PE,15329771,877222,1966625,75173,164977,64084,64084,3842301,3816961,2320947,2137397,Mo17_P3_C7_Ele,8536484,0.5568565897037862,368318,0.024026321071593307
Mo17_P4_C1_Amb_unmerge_bwa_PE,17113056,993916,2494678,68205,137343,65091,65091,4628178,4577051,2106333,1977170,Mo17_P4_C1_Amb,10199145,0.5959861873881556,335730,0.019618354547545454
Mo17_P4_C2_Amb_unmerge_bwa_PE,13465306,747202,1969608,65217,177592,54508,54508,3882924,3768204,1424645,1320898,Mo17_P4_C2_Amb,8398330,0.6237013848775512,351825,0.026128258800802596
Mo17_P4_C4_Ele_unmerge_bwa_PE,10115451,686834,1715321,50844,142358,48040,48040,3004987,2894178,792661,732188,Mo17_P4_C4_Ele,6585999,0.651083080724725,289282,0.028598032850932698
Mo17_P4_C5_Ele_unmerge_bwa_PE,11042597,763828,1704281,53372,136314,62831,62831,3208473,3116794,1004455,929418,Mo17_P4_C5_Ele,7089095,0.6419771544682832,315348,0.028557412717316405
Mo17_P4_C6_Amb_unmerge_bwa_PE,16585374,946654,2483196,85260,209020,64460,64460,4564495,4450460,1933700,1783669,Mo17_P4_C6_Amb,9961609,0.6006261299865774,423200,0.025516458055151486
Mo17_P4_C7_Ele_unmerge_bwa_PE,12053575,516336,1132691,50498,128423,44551,44551,2182036,2272103,2966546,2715840,Mo17_P4_C7_Ele,4970475,0.41236521115104857,268023,0.022235975633785
NC338_P1_C1_Amb_unmerge_bwa_PE,16301060,909394,2091346,94134,181584,61888,61888,4139965,4087919,2432108,2240834,NC338_P1_C1_Amb,9137278,0.5605327506309405,399494,0.0245072406334312
NC338_P1_C2_Amb_unmerge_bwa_PE,14665516,650638,1367084,109178,151706,54329,54329,2320722,2430150,3937470,3589910,NC338_P1_C2_Amb,5401510,0.3683136686087281,369542,0.025198022353935586
NC338_P1_C4_Ele_unmerge_bwa_PE,11988826,822046,1963558,84626,178960,64973,64973,3212649,3095515,1308845,1192681,NC338_P1_C4_Ele,7130210,0.5947379668367861,393532,0.03282489878491856
NC338_P1_C5_Ele_unmerge_bwa_PE,13178175,948112,2271543,88542,215258,85417,85417,3983335,3789730,891527,819294,NC338_P1_C5_Ele,8721177,0.661789435942382,474634,0.03601667150421056
NC338_P1_C6_Amb_unmerge_bwa_PE,14490755,880182,2524925,87217,212244,65360,65360,4297068,4114420,1164156,1079823,NC338_P1_C6_Amb,9291670,0.6412136565693092,430181,0.029686582928218717
NC338_P1_C7_Ele_unmerge_bwa_PE,9867275,634476,1569073,66844,172493,47545,47545,2610536,2506292,1161398,1051073,NC338_P1_C7_Ele,5751304,0.5828664955623513,334427,0.033892538720163366
NC338_P2_C1_Amb_unmerge_bwa_PE,8007574,473626,1344798,47425,101476,31857,31857,2208201,2138458,846123,783753,NC338_P2_C1_Amb,4820285,0.6019657139603081,212615,0.026551737142859997
NC338_P2_C2_Amb_unmerge_bwa_PE,13158675,803240,2213175,79487,198900,58014,58014,3951739,3778693,1046319,971094,NC338_P2_C2_Amb,8533672,0.6485206147275466,394415,0.029973762555880436
NC338_P2_C4_Ele_unmerge_bwa_PE,13334565,966848,2422285,93802,229798,79155,79155,4070612,3852068,803791,737051,NC338_P2_C4_Ele,8889528,0.666653017927469,481910,0.0361399115756682
NC338_P2_C5_Ele_unmerge_bwa_PE,9750231,706230,1671491,63159,153618,52128,52128,2870693,2741300,750595,688889,NC338_P2_C5_Ele,6318223,0.6480075190013447,321033,0.032925681453085574
NC338_P2_C6_Amb_unmerge_bwa_PE,29011846,1985054,4751296,167827,275349,137817,137817,8593419,8365288,2376615,2221364,NC338_P2_C6_Amb,18943761,0.6529664124096067,718810,0.024776430979262746
NC338_P2_C7_Ele_unmerge_bwa_PE,13329554,967194,2320234,94415,213804,74310,74310,4018429,3821839,909762,835257,NC338_P2_C7_Ele,8807462,0.6607469387197801,456839,0.03427263957968886
NC338_P3_C1_Amb_unmerge_bwa_PE,10954121,656152,1679763,62421,134856,46914,46914,3223852,3121564,1026188,955497,NC338_P3_C1_Amb,7001568,0.6391720522349534,291105,0.026574930110777488
NC338_P3_C2_Amb_unmerge_bwa_PE,17526619,1123442,2940265,116420,240960,82197,82197,4950360,4762583,1679455,1548740,NC338_P3_C2_Amb,10836385,0.6182815407809116,521774,0.02977037385248119
NC338_P3_C4_Ele_unmerge_bwa_PE,9784633,737780,1751401,77243,164812,65057,65057,2873338,2725881,694043,630021,NC338_P3_C4_Ele,6336999,0.6476481028976764,372169,0.03803607146021726
NC338_P3_C5_Ele_unmerge_bwa_PE,9517346,690460,1578208,63293,167990,62502,62502,2815684,2677947,732062,666698,NC338_P3_C5_Ele,6184091,0.6497705347688315,356287,0.03743554137886759
NC338_P3_C6_Amb_unmerge_bwa_PE,11947088,718030,1963474,68015,156265,50982,50982,3535696,3406125,1033660,963859,NC338_P3_C6_Amb,7659851,0.6411479517017034,326244,0.027307407461968976
NC338_P3_C7_Ele_unmerge_bwa_PE,12809333,954326,2224007,87023,211449,81314,81314,3886054,3693645,829700,760501,NC338_P3_C7_Ele,8534025,0.6662349241759895,461100,0.03599719048603077
NC338_P4_C1_Amb_unmerge_bwa_PE,11573588,359060,783844,54297,117881,33604,33604,1555756,1689869,3618131,3327542,NC338_P4_C1_Amb,3604685,0.31145786423363264,239386,0.020683819054212058
NC338_P4_C2_Amb_unmerge_bwa_PE,12665776,799002,2112288,70453,148312,68109,68109,3730010,3607952,1065747,995794,NC338_P4_C2_Amb,8136964,0.6424370682064802,354983,0.02802694442093402
NC338_P4_C4_Ele_unmerge_bwa_PE,17332450,1016648,2391726,95251,222633,79153,79153,4131204,4081235,2733055,2502392,NC338_P4_C4_Ele,9229087,0.5324744626408846,476190,0.02747390011221726
NC338_P4_C5_Ele_unmerge_bwa_PE,11947641,902824,1835277,77127,163862,77551,77551,3515679,3387560,993843,916367,NC338_P4_C5_Ele,7806063,0.6533560055913966,396091,0.033152234821920076
NC338_P4_C6_Amb_unmerge_bwa_PE,16301939,1002796,2718809,89870,228822,90541,90541,4791262,4611381,1391157,1286760,NC338_P4_C6_Amb,10405439,0.6382945611561913,499774,0.030657334688836708
NC338_P4_C7_Ele_unmerge_bwa_PE,19416363,1206440,2725367,111669,266231,94450,94450,4802909,4717574,2821709,2575564,NC338_P4_C7_Ele,10726923,0.5524681939660894,566800,0.029191872854869884
