gene_id,flag_immuno_gene,flag_diabetes_gene,flag_pseudogene
ADAM18,0,0,0
ADAM19,0,0,0
ADAM2,0,0,0
ADAM20,0,0,0
ADAM21,0,0,0
ADAM21P1,0,0,0
ADAM22,0,0,0
ADAM23,0,0,0
ADAM28,0,0,0
ADAM29,0,0,0
ADAM30,0,0,0
ADAM32,0,0,0
ADAM33,0,0,0
ADAM3A,0,0,0
ADAM5P,0,0,0
ADAM6,0,0,0
ADAM7,0,0,0
ADAM8,0,0,0
ADAM9,0,0,0
ADAMDEC1,0,0,0
ADAMTS1,0,0,0
ADAMTS10,0,0,0
ADAMTS12,0,0,0
ADAMTS13andC9orf7,0,0,0
ADAMTS14,0,0,0
ADAMTS15,0,0,0
ADAMTS16,0,0,0
ADAMTS17,0,0,0
ADAMTS18,0,0,0
ADAMTS19,0,0,0
ADAMTS2,0,0,0
ADAMTS20,0,0,0
ADAMTS3,0,0,0
ADAMTS4,0,0,0
ADAMTS5,0,0,0
ADAMTS6,0,0,0
ADAMTS7,1,0,0
ADAMTS8,0,0,0
ADAMTS9,0,0,0
ADAMTSL1,0,0,0
ADAMTSL2,0,0,0
ADAMTSL3,0,0,0
ADAMTSL4,0,0,0
ADAMTSL5,0,0,0
ADAP2,0,0,0
ADAR,1,0,0
ADARB1,0,0,0
ADARB2,0,0,0
ADAT1andTMEM231andCHST5,0,0,0
ADAT2,0,0,0
ADC,0,0,0
ADCK1,0,0,0
ADCK2andNDUFB2,0,0,0
ADCK4,0,0,0
ADCK5,0,0,0
ADCY1,0,0,0
ADCY10,0,0,0
ADCY2,0,0,0
ADCY3,1,0,0
ADCY5,0,0,0
ADCY6,0,0,0
ADCY7,1,0,0
ADCY8,0,0,0
ADCY9,0,0,0
ADCYAP1,0,0,0
ADCYAP1R1,0,0,0
ADD1,0,0,0
ADD2,0,0,0
ADD3,0,0,0
ADH1B,0,0,0
ADH1CandADH1A,0,0,0
ADH4,0,0,0
ADH5,0,0,0
ADH5P4,0,0,0
ADH6,0,0,0
ADH7,0,0,0
ADI1,0,0,0
ADIG,0,0,0
ADIPOQ,0,0,0
ADIPOR1,0,0,0
ADIPOR2,0,0,0
ADKandMRPL35P3,0,0,0
ADM,0,0,0
ADM2,0,0,0
ADNP,0,0,0
ADNP2,0,0,0
ADO,0,0,0
ADORA1,0,0,0
ADORA2B,0,0,0
ADORA2BP1,0,0,0
ADORA3,0,0,0
ADPGK,0,0,0
ADPRH,1,0,0
ADPRHL1,0,0,0
ADPRHL2,0,0,0
ADPRTL4,0,0,0
ADRA1A,0,0,0
ADRA1B,0,0,0
ADRA1D,0,0,0
ADRA2A,0,0,0
ADRA2B,0,0,0
ADRA2C,0,0,0
ADRB1,0,0,0
ADRB2,0,0,0
ADRB3,0,0,0
ADRBK1,0,0,0
ADRM1,0,0,0
ADSL,0,0,0
ADSSL1,0,0,0
ADSSandTGIF2P1,0,0,0
ADTB1L1,0,0,0
AEBP1,0,0,0
AEBP2,0,0,0
AEN,0,0,0
AES,0,0,0
AF357530,0,0,0
AFAP1,0,0,0
AFAP1AS,0,0,0
AFAP1L1,0,0,0
AFAP1L2,0,0,0
AFARP1,0,0,0
AFF1,0,0,0
AFF2,0,0,0
AFF3,1,1,0
AFF4,0,0,0
AFG3L1,0,0,0
AFG3L2,0,0,0
AFG3L2P1,0,0,0
AFM,0,0,0
AFMIDandBIRC5,0,0,0
AFP,0,0,0
AFTPH,0,0,0
AGA,0,0,0
AGAP1,0,0,0
AGAP2,1,0,0
AGAP3,0,0,0
AGAP4,0,0,0
AGAP6,0,0,0
AGAP7,0,0,0
AGBL1,0,0,0
AGBL2,1,0,0
