origin,comp_anno_in,expressed_in,COUNT,PERCENT
3_yak_san,6_other,4_yak_only,4,0.007095973035302466
3_yak_san,6_other,6_other,3,0.005321979776476849
3_yak_san,6_other,7_not_expressed,28,0.04967181124711726
4_melonly,1_all_5_species,1_all_5,81,0.14369345396487493
4_melonly,1_all_5_species,2_the4,78,0.13837147418839807
4_melonly,1_all_5_species,3_mel_sim,173,0.30690083377683164
4_melonly,1_all_5_species,3_yak_san,3,0.005321979776476849
4_melonly,1_all_5_species,4_mel_only,283,0.5020400922476494
4_melonly,1_all_5_species,4_san_only,29,0.05144580450594288
4_melonly,1_all_5_species,4_sim_only,72,0.12772751463544438
4_melonly,1_all_5_species,4_yak_only,11,0.01951392584708178
4_melonly,1_all_5_species,4_zser_only,42,0.0745077168706759
4_melonly,1_all_5_species,6_other,241,0.4275323753769736
4_melonly,1_all_5_species,7_not_expressed,2793,4.9547631718999465
4_melonly,2_the4,2_the4,16,0.028383892141209864
4_melonly,2_the4,3_mel_sim,41,0.07273372361185028
4_melonly,2_the4,3_yak_san,2,0.003547986517651233
4_melonly,2_the4,4_mel_only,136,0.24126308320028383
4_melonly,2_the4,4_san_only,13,0.023061912364733015
4_melonly,2_the4,4_sim_only,19,0.03370587191768672
4_melonly,2_the4,6_other,29,0.05144580450594288
4_melonly,2_the4,7_not_expressed,1142,2.0259003015788544
4_melonly,3_mel_sim,3_mel_sim,14,0.02483590562355863
4_melonly,3_mel_sim,4_mel_only,53,0.09402164271775768
4_melonly,3_mel_sim,4_sim_only,5,0.008869966294128083
4_melonly,3_mel_sim,6_other,1,0.0017739932588256165
4_melonly,3_mel_sim,7_not_expressed,301,0.5339719709065106
4_melonly,4_melonly,4_mel_only,11,0.01951392584708178
4_melonly,4_melonly,7_not_expressed,149,0.2643249955650169
4_melonly,6_other,3_mel_sim,1,0.0017739932588256165
4_melonly,6_other,4_mel_only,10,0.017739932588256166
4_melonly,6_other,4_sim_only,1,0.0017739932588256165
4_melonly,6_other,4_zser_only,1,0.0017739932588256165
4_melonly,6_other,6_other,2,0.003547986517651233
4_melonly,6_other,7_not_expressed,74,0.1312755011530956
4_sanonly,1_all_5_species,1_all_5,48,0.08515167642362959
4_sanonly,1_all_5_species,2_the4,32,0.05676778428241973
4_sanonly,1_all_5_species,3_mel_sim,30,0.05321979776476849
4_sanonly,1_all_5_species,3_yak_san,26,0.04612382472946603
4_sanonly,1_all_5_species,4_mel_only,35,0.06208976405889658
4_sanonly,1_all_5_species,4_san_only,263,0.46656022707113715
4_sanonly,1_all_5_species,4_sim_only,43,0.07628171012950151
4_sanonly,1_all_5_species,4_yak_only,15,0.026609898882384245
4_sanonly,1_all_5_species,4_zser_only,61,0.10821358878836261
4_sanonly,1_all_5_species,6_other,167,0.296256874223878
4_sanonly,1_all_5_species,7_not_expressed,1618,2.8703210927798475
4_sanonly,2_the4,2_the4,9,0.015965939329430547
4_sanonly,2_the4,3_mel_sim,6,0.010643959552953698
4_sanonly,2_the4,3_yak_san,23,0.04080184495298918
4_sanonly,2_the4,4_mel_only,5,0.008869966294128083
4_sanonly,2_the4,4_san_only,208,0.36899059783572824
4_sanonly,2_the4,4_sim_only,5,0.008869966294128083
4_sanonly,2_the4,4_yak_only,5,0.008869966294128083
4_sanonly,2_the4,6_other,11,0.01951392584708178
4_sanonly,2_the4,7_not_expressed,799,1.4174206138016676
4_sanonly,3_yak_san,3_yak_san,9,0.015965939329430547
4_sanonly,3_yak_san,4_san_only,70,0.12417952811779316
4_sanonly,3_yak_san,4_yak_only,1,0.0017739932588256165
4_sanonly,3_yak_san,6_other,2,0.003547986517651233
4_sanonly,3_yak_san,7_not_expressed,131,0.23239311690615577
4_sanonly,4_sanonly,4_san_only,2,0.003547986517651233
4_sanonly,4_sanonly,7_not_expressed,18,0.031931878658861094
4_sanonly,6_other,3_yak_san,3,0.005321979776476849
4_sanonly,6_other,4_mel_only,1,0.0017739932588256165
4_sanonly,6_other,4_san_only,28,0.04967181124711726
4_sanonly,6_other,4_sim_only,2,0.003547986517651233
4_sanonly,6_other,4_yak_only,1,0.0017739932588256165
4_sanonly,6_other,6_other,7,0.012417952811779315
4_sanonly,6_other,7_not_expressed,114,0.20223523150612027
4_simonly,1_all_5_species,1_all_5,93,0.1649813730707823
4_simonly,1_all_5_species,2_the4,80,0.14191946070604933
4_simonly,1_all_5_species,3_mel_sim,194,0.3441546922121696
4_simonly,1_all_5_species,3_yak_san,4,0.007095973035302466
4_simonly,1_all_5_species,4_mel_only,81,0.14369345396487493
4_simonly,1_all_5_species,4_san_only,36,0.06386375731772219
4_simonly,1_all_5_species,4_sim_only,333,0.5907397551889303
4_simonly,1_all_5_species,4_yak_only,4,0.007095973035302466
4_simonly,1_all_5_species,4_zser_only,79,0.1401454674472237
4_simonly,1_all_5_species,6_other,301,0.5339719709065106
4_simonly,1_all_5_species,7_not_expressed,2980,5.2864999113003375
4_simonly,2_the4,2_the4,35,0.06208976405889658
4_simonly,2_the4,3_mel_sim,43,0.07628171012950151
4_simonly,2_the4,3_yak_san,3,0.005321979776476849
4_simonly,2_the4,4_mel_only,20,0.03547986517651233
4_simonly,2_the4,4_san_only,20,0.03547986517651233
4_simonly,2_the4,4_sim_only,133,0.235941103423807
4_simonly,2_the4,4_yak_only,1,0.0017739932588256165
4_simonly,2_the4,6_other,31,0.05499379102359411
4_simonly,2_the4,7_not_expressed,1360,2.4126308320028387
