dir,sampleID,techRep
1910UNHS-0108,47975501-CD4,1
2005UAHS-0081,47975501-CD4,2
1910UNHS-0108,47975501-CD8,1
2005UAHS-0081,47975501-CD8,2
1910UNHS-0108,48009101-CD19,1
2005UAHS-0081,48009101-CD19,2
1910UNHS-0108,48009101-CD4,1
2005UAHS-0081,48009101-CD4,2
1910UNHS-0108,48009101-CD8,1
2005UAHS-0081,48009101-CD8,2
1910UNHS-0108,48096902-CD19,1
2005UAHS-0081,48096902-CD19,2
1910UNHS-0108,48096902-CD4,1
2005UAHS-0081,48096902-CD4,2
1910UNHS-0108,48096902-CD8,1
2005UAHS-0081,48096902-CD8,2
1910UNHS-0108,48133905-CD4,1
2005UAHS-0081,48133905-CD4,2
1910UNHS-0108,48133905-CD8,1
2005UAHS-0081,48133905-CD8,2
1910UNHS-0108,48368202-CD4,1
2005UAHS-0081,48368202-CD4,2
1910UNHS-0108,48368202-CD8,1
2005UAHS-0081,48368202-CD8,2
1910UNHS-0108,48456401-CD19,1
2005UAHS-0081,48456401-CD19,2
1910UNHS-0108,48456401-CD4,1
2005UAHS-0081,48456401-CD4,2
1910UNHS-0108,48456401-CD8,1
2005UAHS-0081,48456401-CD8,2
1910UNHS-0108,48614005-CD19,1
2005UAHS-0081,48614005-CD19,2
1910UNHS-0108,48614005-CD4,1
2005UAHS-0081,48614005-CD4,2
1910UNHS-0108,48614005-CD8,1
2005UAHS-0081,48614005-CD8,2
1910UNHS-0108,48795405-CD19,1
2005UAHS-0081,48795405-CD19,2
1910UNHS-0108,48795405-CD4,1
2005UAHS-0081,48795405-CD4,2
1910UNHS-0108,48795405-CD8,1
2005UAHS-0081,48795405-CD8,2
1910UNHS-0108,48840202-CD19,1
2005UAHS-0081,48840202-CD19,2
1910UNHS-0108,48840202-CD4,1
2005UAHS-0081,48840202-CD4,2
1910UNHS-0108,48840202-CD8,1
2005UAHS-0081,48840202-CD8,2
1910UNHS-0108,48984405-CD19,1
2005UAHS-0081,48984405-CD19,2
1910UNHS-0108,48984405-CD4,1
2005UAHS-0081,48984405-CD4,2
1910UNHS-0108,48984405-CD8,1
2005UAHS-0081,48984405-CD8,2
1910UNHS-0108,48986601-CD19,1
2005UAHS-0081,48986601-CD19,2
1910UNHS-0108,48986601-CD4,1
2005UAHS-0081,48986601-CD4,2
1910UNHS-0108,48986601-CD8,1
2005UAHS-0081,48986601-CD8,2
1910UNHS-0108,48995201-CD19,1
2005UAHS-0081,48995201-CD19,2
1910UNHS-0108,48995201-CD4,1
2005UAHS-0081,48995201-CD4,2
1910UNHS-0108,48995201-CD8,1
2005UAHS-0081,48995201-CD8,2
1910UNHS-0108,49055902-CD19,1
2005UAHS-0081,49055902-CD19,2
1910UNHS-0108,49055902-CD4,1
2005UAHS-0081,49055902-CD4,2
1910UNHS-0108,49055902-CD8,1
2005UAHS-0081,49055902-CD8,2
1910UNHS-0108,49111002-CD4,1
2005UAHS-0081,49111002-CD4,2
1910UNHS-0108,49111002-CD8,1
2005UAHS-0081,49111002-CD8,2
1910UNHS-0108,49257503-CD4,1
2005UAHS-0081,49257503-CD4,2
1910UNHS-0108,49257503-CD8,1
2005UAHS-0081,49257503-CD8,2
1910UNHS-0108,49313004-CD19,1
2005UAHS-0081,49313004-CD19,2
1910UNHS-0108,49313004-CD4,1
2005UAHS-0081,49313004-CD4,2
1910UNHS-0108,49313004-CD8,1
2005UAHS-0081,49313004-CD8,2
1910UNHS-0108,49329306-CD4,1
2005UAHS-0081,49329306-CD4,2
1910UNHS-0108,49329306-CD8,1
2005UAHS-0081,49329306-CD8,2
1910UNHS-0108,49367801-CD19,1
2005UAHS-0081,49367801-CD19,2
1910UNHS-0108,49367801-CD4,1
2005UAHS-0081,49367801-CD4,2
1910UNHS-0108,49367801-CD8,1
2005UAHS-0081,49367801-CD8,2
1910UNHS-0108,49429603-CD4,1
2005UAHS-0081,49429603-CD4,2
1910UNHS-0108,49429603-CD8,1
2005UAHS-0081,49429603-CD8,2
1910UNHS-0108,49598901-CD19,1
2005UAHS-0081,49598901-CD19,2
1910UNHS-0108,49598901-CD4,1
2005UAHS-0081,49598901-CD4,2
1910UNHS-0108,49598901-CD8,1
2005UAHS-0081,49598901-CD8,2
1910UNHS-0108,49937203-CD4,1
2005UAHS-0081,49937203-CD4,2
1910UNHS-0108,49937203-CD8,1
2005UAHS-0081,49937203-CD8,2
