dir,sampleID,techRep
1910UNHS-0108,43031603-CD4,1
2005UAHS-0081,43031603-CD4,2
1910UNHS-0108,43031603-CD8,1
2005UAHS-0081,43031603-CD8,2
1910UNHS-0108,43089402-CD19,1
2005UAHS-0081,43089402-CD19,2
1910UNHS-0108,43089402-CD4,1
2005UAHS-0081,43089402-CD4,2
1910UNHS-0108,43089402-CD8,1
2005UAHS-0081,43089402-CD8,2
1910UNHS-0108,43099101-CD19,1
2005UAHS-0081,43099101-CD19,2
1910UNHS-0108,43099101-CD4,1
2005UAHS-0081,43099101-CD4,2
1910UNHS-0108,43099101-CD8,1
2005UAHS-0081,43099101-CD8,2
1910UNHS-0108,43196805-CD4,1
2005UAHS-0081,43196805-CD4,2
1910UNHS-0108,43233401-CD4,1
2005UAHS-0081,43233401-CD4,2
1910UNHS-0108,43237905-CD19,1
2005UAHS-0081,43237905-CD19,2
1910UNHS-0108,43237905-CD4,1
2005UAHS-0081,43237905-CD4,2
1910UNHS-0108,43237905-CD8,1
2005UAHS-0081,43237905-CD8,2
1910UNHS-0108,43266901-CD19,1
2005UAHS-0081,43266901-CD19,2
1910UNHS-0108,43266901-CD4,1
2005UAHS-0081,43266901-CD4,2
1910UNHS-0108,43266901-CD8,1
2005UAHS-0081,43266901-CD8,2
1910UNHS-0108,43486302-CD19,1
2005UAHS-0081,43486302-CD19,2
1910UNHS-0108,43486302-CD4,1
2005UAHS-0081,43486302-CD4,2
1910UNHS-0108,43486302-CD8,1
2005UAHS-0081,43486302-CD8,2
1910UNHS-0108,43649201-CD4,1
2005UAHS-0081,43649201-CD4,2
1910UNHS-0108,43649201-CD8,1
2005UAHS-0081,43649201-CD8,2
1910UNHS-0108,43751401-CD19,1
2005UAHS-0081,43751401-CD19,2
1910UNHS-0108,43751401-CD4,1
2005UAHS-0081,43751401-CD4,2
1910UNHS-0108,43751401-CD8,1
2005UAHS-0081,43751401-CD8,2
1910UNHS-0108,43832305-CD4,1
2005UAHS-0081,43832305-CD4,2
1910UNHS-0108,43832305-CD8,1
2005UAHS-0081,43832305-CD8,2
1910UNHS-0108,43932901-CD4,1
2005UAHS-0081,43932901-CD4,2
1910UNHS-0108,43932901-CD8,1
2005UAHS-0081,43932901-CD8,2
1910UNHS-0108,44010904-CD4,1
2005UAHS-0081,44010904-CD4,2
1910UNHS-0108,44010904-CD8,1
2005UAHS-0081,44010904-CD8,2
1910UNHS-0108,44057804-CD4,1
2005UAHS-0081,44057804-CD4,2
1910UNHS-0108,44057804-CD8,1
2005UAHS-0081,44057804-CD8,2
1910UNHS-0108,44076902-CD4,1
2005UAHS-0081,44076902-CD4,2
1910UNHS-0108,44089404-CD19,1
2005UAHS-0081,44089404-CD19,2
1910UNHS-0108,44089404-CD4,1
2005UAHS-0081,44089404-CD4,2
1910UNHS-0108,44089404-CD8,1
2005UAHS-0081,44089404-CD8,2
1910UNHS-0108,44099801-CD19,1
2005UAHS-0081,44099801-CD19,2
1910UNHS-0108,44099801-CD4,1
2005UAHS-0081,44099801-CD4,2
1910UNHS-0108,44123901-CD4,1
2005UAHS-0081,44123901-CD4,2
1910UNHS-0108,44123901-CD8,1
2005UAHS-0081,44123901-CD8,2
1910UNHS-0108,44143002-CD19,1
2005UAHS-0081,44143002-CD19,2
1910UNHS-0108,44143002-CD4,1
2005UAHS-0081,44143002-CD4,2
1910UNHS-0108,44143002-CD8,1
2005UAHS-0081,44143002-CD8,2
1910UNHS-0108,44171701-CD4,1
2005UAHS-0081,44171701-CD4,2
1910UNHS-0108,44171701-CD8,1
2005UAHS-0081,44171701-CD8,2
1910UNHS-0108,44181401-CD19,1
2005UAHS-0081,44181401-CD19,2
1910UNHS-0108,44181401-CD4,1
2005UAHS-0081,44181401-CD4,2
1910UNHS-0108,44181401-CD8,1
2005UAHS-0081,44181401-CD8,2
1910UNHS-0108,44305301-CD19,1
2005UAHS-0081,44305301-CD19,2
1910UNHS-0108,44305301-CD4,1
2005UAHS-0081,44305301-CD4,2
1910UNHS-0108,44305301-CD8,1
2005UAHS-0081,44305301-CD8,2
1910UNHS-0108,44354601-CD4,1
2005UAHS-0081,44354601-CD4,2
1910UNHS-0108,44494801-CD4,1
2005UAHS-0081,44494801-CD4,2
1910UNHS-0108,44517904-CD4,1
2005UAHS-0081,44517904-CD4,2
1910UNHS-0108,44659303-CD19,1
2005UAHS-0081,44659303-CD19,2
