dir,sampleID,techRep
1910UNHS-0108,44659303-CD4,1
2005UAHS-0081,44659303-CD4,2
1910UNHS-0108,44659303-CD8,1
2005UAHS-0081,44659303-CD8,2
1910UNHS-0108,44680704-CD19,1
2005UAHS-0081,44680704-CD19,2
1910UNHS-0108,44680704-CD4,1
2005UAHS-0081,44680704-CD4,2
1910UNHS-0108,44680704-CD8,1
2005UAHS-0081,44680704-CD8,2
1910UNHS-0108,44968601-CD4,1
2005UAHS-0081,44968601-CD4,2
1910UNHS-0108,44968601-CD8,1
2005UAHS-0081,44968601-CD8,2
1910UNHS-0108,45029803-CD4,1
2005UAHS-0081,45029803-CD4,2
1910UNHS-0108,45029803-CD8,1
2005UAHS-0081,45029803-CD8,2
1910UNHS-0108,45065002-CD4,1
2005UAHS-0081,45065002-CD4,2
1910UNHS-0108,45065002-CD8,1
2005UAHS-0081,45065002-CD8,2
1910UNHS-0108,45079701-CD19,1
2005UAHS-0081,45079701-CD19,2
1910UNHS-0108,45079701-CD4,1
2005UAHS-0081,45079701-CD4,2
1910UNHS-0108,45079701-CD8,1
2005UAHS-0081,45079701-CD8,2
1910UNHS-0108,45360605-CD19,1
2005UAHS-0081,45360605-CD19,2
1910UNHS-0108,45360605-CD4,1
2005UAHS-0081,45360605-CD4,2
1910UNHS-0108,45360605-CD8,1
2005UAHS-0081,45360605-CD8,2
1910UNHS-0108,45587503-CD4,1
2005UAHS-0081,45587503-CD4,2
1910UNHS-0108,45587503-CD8,1
2005UAHS-0081,45587503-CD8,2
1910UNHS-0108,45601905-CD19,1
2005UAHS-0081,45601905-CD19,2
1910UNHS-0108,45601905-CD4,1
2005UAHS-0081,45601905-CD4,2
1910UNHS-0108,45601905-CD8,1
2005UAHS-0081,45601905-CD8,2
1910UNHS-0108,45841103-CD4,1
2005UAHS-0081,45841103-CD4,2
1910UNHS-0108,45841103-CD8,1
2005UAHS-0081,45841103-CD8,2
1910UNHS-0108,46221203-CD4,1
2005UAHS-0081,46221203-CD4,2
1910UNHS-0108,46323306-CD4,1
2005UAHS-0081,46323306-CD4,2
1910UNHS-0108,46323306-CD8,1
2005UAHS-0081,46323306-CD8,2
1910UNHS-0108,46392503-CD19,1
2005UAHS-0081,46392503-CD19,2
1910UNHS-0108,46392503-CD4,1
2005UAHS-0081,46392503-CD4,2
1910UNHS-0108,46392503-CD8,1
2005UAHS-0081,46392503-CD8,2
1910UNHS-0108,46722602-CD4,1
2005UAHS-0081,46722602-CD4,2
1910UNHS-0108,46722905-CD4,1
2005UAHS-0081,46722905-CD4,2
1910UNHS-0108,46722905-CD8,1
2005UAHS-0081,46722905-CD8,2
1910UNHS-0108,46927305-CD19,1
2005UAHS-0081,46927305-CD19,2
1910UNHS-0108,46927305-CD4,1
2005UAHS-0081,46927305-CD4,2
1910UNHS-0108,46927305-CD8,1
2005UAHS-0081,46927305-CD8,2
1910UNHS-0108,47120705-CD4,1
2005UAHS-0081,47120705-CD4,2
1910UNHS-0108,47120705-CD8,1
2005UAHS-0081,47120705-CD8,2
1910UNHS-0108,47315101-CD4,1
2005UAHS-0081,47315101-CD4,2
1910UNHS-0108,47354901-CD19,1
2005UAHS-0081,47354901-CD19,2
1910UNHS-0108,47354901-CD4,1
2005UAHS-0081,47354901-CD4,2
1910UNHS-0108,47354901-CD8,1
2005UAHS-0081,47354901-CD8,2
1910UNHS-0108,47559505-CD19,1
2005UAHS-0081,47559505-CD19,2
1910UNHS-0108,47559505-CD4,1
2005UAHS-0081,47559505-CD4,2
1910UNHS-0108,47559505-CD8,1
2005UAHS-0081,47559505-CD8,2
1910UNHS-0108,47631801-CD19,1
2005UAHS-0081,47631801-CD19,2
1910UNHS-0108,47631801-CD4,1
2005UAHS-0081,47631801-CD4,2
1910UNHS-0108,47631801-CD8,1
2005UAHS-0081,47631801-CD8,2
1910UNHS-0108,47705204-CD19,1
2005UAHS-0081,47705204-CD19,2
1910UNHS-0108,47705204-CD4,1
2005UAHS-0081,47705204-CD4,2
1910UNHS-0108,47705204-CD8,1
2005UAHS-0081,47705204-CD8,2
1910UNHS-0108,47794301-CD19,1
2005UAHS-0081,47794301-CD19,2
1910UNHS-0108,47794301-CD4,1
2005UAHS-0081,47794301-CD4,2
1910UNHS-0108,47794301-CD8,1
2005UAHS-0081,47794301-CD8,2
1910UNHS-0108,47862101-CD4,1
2005UAHS-0081,47862101-CD4,2
