dir,sampleID,techRep
1910UNHS-0108,41570004-CD4,1
2005UAHS-0081,41570004-CD4,2
1910UNHS-0108,41570004-CD8,1
2005UAHS-0081,41570004-CD8,2
1910UNHS-0108,41630601-CD19,1
2005UAHS-0081,41630601-CD19,2
1910UNHS-0108,41630601-CD4,1
2005UAHS-0081,41630601-CD4,2
1910UNHS-0108,41630601-CD8,1
2005UAHS-0081,41630601-CD8,2
1910UNHS-0108,41778102-CD19,1
2005UAHS-0081,41778102-CD19,2
1910UNHS-0108,41778102-CD4,1
2005UAHS-0081,41778102-CD4,2
1910UNHS-0108,41778102-CD8,1
2005UAHS-0081,41778102-CD8,2
1910UNHS-0108,41804901-CD19,1
2005UAHS-0081,41804901-CD19,2
1910UNHS-0108,41804901-CD4,1
2005UAHS-0081,41804901-CD4,2
1910UNHS-0108,41804901-CD8,1
2005UAHS-0081,41804901-CD8,2
1910UNHS-0108,42028502-CD19,1
2005UAHS-0081,42028502-CD19,2
1910UNHS-0108,42028502-CD4,1
2005UAHS-0081,42028502-CD4,2
1910UNHS-0108,42028502-CD8,1
2005UAHS-0081,42028502-CD8,2
1910UNHS-0108,42053501-CD4,1
2005UAHS-0081,42053501-CD4,2
1910UNHS-0108,42053501-CD8,1
2005UAHS-0081,42053501-CD8,2
1910UNHS-0108,42095805-CD4,1
2005UAHS-0081,42095805-CD4,2
1910UNHS-0108,42145704-CD19,1
2005UAHS-0081,42145704-CD19,2
1910UNHS-0108,42145704-CD4,1
2005UAHS-0081,42145704-CD4,2
1910UNHS-0108,42145704-CD8,1
2005UAHS-0081,42145704-CD8,2
1910UNHS-0108,42212501-CD19,1
2005UAHS-0081,42212501-CD19,2
1910UNHS-0108,42212501-CD4,1
2005UAHS-0081,42212501-CD4,2
1910UNHS-0108,42212501-CD8,1
2005UAHS-0081,42212501-CD8,2
1910UNHS-0108,42426702-CD4,1
2005UAHS-0081,42426702-CD4,2
1910UNHS-0108,42426702-CD8,1
2005UAHS-0081,42426702-CD8,2
1910UNHS-0108,42448401-CD19,1
2005UAHS-0081,42448401-CD19,2
1910UNHS-0108,42448401-CD4,1
2005UAHS-0081,42448401-CD4,2
1910UNHS-0108,42448401-CD8,1
2005UAHS-0081,42448401-CD8,2
1910UNHS-0108,42469504-CD19,1
2005UAHS-0081,42469504-CD19,2
1910UNHS-0108,42469504-CD4,1
2005UAHS-0081,42469504-CD4,2
1910UNHS-0108,42469504-CD8,1
2005UAHS-0081,42469504-CD8,2
1910UNHS-0108,42552103-CD4,1
2005UAHS-0081,42552103-CD4,2
1910UNHS-0108,42552103-CD8,1
2005UAHS-0081,42552103-CD8,2
1910UNHS-0108,42567204-CD19,1
2005UAHS-0081,42567204-CD19,2
1910UNHS-0108,42567204-CD4,1
2005UAHS-0081,42567204-CD4,2
1910UNHS-0108,42567204-CD8,1
2005UAHS-0081,42567204-CD8,2
1910UNHS-0108,42668601-CD19,1
2005UAHS-0081,42668601-CD19,2
1910UNHS-0108,42668601-CD4,1
2005UAHS-0081,42668601-CD4,2
1910UNHS-0108,42668601-CD8,1
2005UAHS-0081,42668601-CD8,2
1910UNHS-0108,42674004-CD4,1
2005UAHS-0081,42674004-CD4,2
1910UNHS-0108,42674004-CD8,1
2005UAHS-0081,42674004-CD8,2
1910UNHS-0108,42776001-CD4,1
2005UAHS-0081,42776001-CD4,2
1910UNHS-0108,42776001-CD8,1
2005UAHS-0081,42776001-CD8,2
1910UNHS-0108,42776506-CD4,1
2005UAHS-0081,42776506-CD4,2
1910UNHS-0108,42844002-CD19,1
2005UAHS-0081,42844002-CD19,2
1910UNHS-0108,42844002-CD4,1
2005UAHS-0081,42844002-CD4,2
1910UNHS-0108,42844002-CD8,1
2005UAHS-0081,42844002-CD8,2
1910UNHS-0108,42853301-CD19,1
2005UAHS-0081,42853301-CD19,2
1910UNHS-0108,42853301-CD4,1
2005UAHS-0081,42853301-CD4,2
1910UNHS-0108,42853301-CD8,1
2005UAHS-0081,42853301-CD8,2
1910UNHS-0108,42893102-CD19,1
2005UAHS-0081,42893102-CD19,2
1910UNHS-0108,42893102-CD4,1
2005UAHS-0081,42893102-CD4,2
1910UNHS-0108,42893102-CD8,1
2005UAHS-0081,42893102-CD8,2
1910UNHS-0108,42954005-CD4,1
2005UAHS-0081,42954005-CD4,2
1910UNHS-0108,42954005-CD8,1
2005UAHS-0081,42954005-CD8,2
