B52,B52_A B52_B
CG10687,CG10687
CG10691,CG10691
CG10693,CG10693
CG10695,CG10695
CG10697,CG10697
CG10699,CG10699
CG1070,CG1070
CG10701,CG10701
CG10702,CG10702
CG10703,CG10703
CG10704,CG10704
CG10706,CG10706
CG1071,CG1071
CG10711,CG10711
CG10712,CG10712
CG10713,CG10713
CG10719,CG10719
CG10723,CG10723
CG10724,CG10724
CG10732,CG10732
CG10737,CG10737
CG10739,CG10739
CG1074,CG1074
CG10741,CG10741
CG10742,CG10742
CG10743,CG10743
CG10747,CG10747
CG10751,CG10751
CG10752,CG10752
CG10754,CG10754
CG10756,CG10756
CG1076,CG1076
CG10772,CG10772
CG10776,CG10776
CG10777,CG10777
CG10778,CG10778
CG1078,CG1078
CG10789,CG10789
CG10793,CG10793
CG10794,CG10794
CG10795,CG10795
CG10798,CG10798
CG10799,CG10799
CG10802,CG10802
CG10803,CG10803
CG10804,CG10804_A CG10804_B
CG10805,CG10805
CG10806,CG10806
CG10808,CG10808
CG10809,CG10809
CG1081,CG1081
CG10810,CG10810
CG10811,CG10811
CG10812,CG10812
CG10825,CG10825
CG10830,CG10830
CG10833,CG10833
CG10838,CG10838
CG1084,CG1084
CG10840,CG10840
CG10842,CG10842
CG10843,CG10843
CG10844,CG10844
CG10846,CG10846
CG10847,CG10847
CG10849,CG10849
CG10866,CG10866
CG10874,CG10874
CG1088,CG1088
CG10880,CG10880
CG10882,CG10882
CG10888,CG10888
CG1089,CG1089
CG10890,CG10890
CG10897,CG10897
CG10898,CG10898
CG1090,CG1090
CG10903,CG10903
CG10904,CG10904
CG10907,CG10907
CG10908,CG10908
CG10909,CG10909
CG1091,CG1091
CG10913,CG10913
CG10914,CG10914
CG10915,CG10915
CG10918,CG10918
CG10919,CG10919
CG1092,CG1092
CG10922,CG10922
CG10924,CG10924
CG10932,CG10932
CG10933,CG10933
CG10936,CG10936
CG10938,CG10938
CG10939,CG10939
CG10944,CG10944_A CG10944_B
CG10946,CG10946
CG10947,CG10947
CG10948,CG10948
CG10949,CG10949
CG10952,CG10952
CG10954,CG10954
CG10958,CG10958
CG10960,CG10960
CG10964,CG10964
CG10967,CG10967
CG10969,CG10969
CG10971,CG10971
CG10973,CG10973
CG10975,CG10975
CG10978,CG10978
CG10979,CG10979
CG1098,CG1098
CG10981,CG10981
CG10984,CG10984
CG10986,CG10986
CG10988,CG10988
CG1099,CG1099
CG10990,CG10990
CG10993,CG10993
CG10997,CG10997
CG1100,CG1100
CG11000,CG11000
CG11001,CG11001
CG11006,CG11006
CG11009,CG11009
CG1101,CG1101
CG11010,CG11010
CG11015,CG11015
CG1102,CG1102
CG11020,CG11020_A CG11020_B
CG11023,CG11023
CG11024,CG11024
CG11025,CG11025_A CG11025_B
CG11027,CG11027
CG1103,CG1103
CG11030,CG11030
CG11033,CG11033
CG1104,CG1104
CG11044,CG11044
CG11049,CG11049
CG1105,CG1105
CG11051,CG11051
CG11052,CG11052
CG11059,CG11059
CG1106,CG1106
CG11062,CG11062
CG11063,CG11063
CG11064,CG11064
CG11066,CG11066
CG11068,CG11068
CG1107,CG1107
CG11070,CG11070
CG11073,CG11073
CG11076,CG11076_A CG11076_B
CG11077,CG11077
CG11081,CG11081
CG11084,CG11084
CG11086,CG11086
CG11089,CG11089
CG1109,CG1109
CG11092,CG11092
CG11093,CG11093
CG11095,CG11095
CG11098,CG11098
CG11100,CG11100
CG11101,CG11101
CG11103,CG11103
CG11107,CG11107
CG11109,CG11109
CG11110,CG11110
