B52,B52_A B52_B
CG13701,CG13701
CG13702,CG13702
CG13704,CG13704
CG13711,CG13711
CG13722,CG13722
CG13731,CG13731
CG13737,CG13737
CG1374,CG1374
CG13743,CG13743
CG13746,CG13746
CG13749,CG13749
CG13751,CG13751
CG13758,CG13758
CG13760,CG13760
CG13761,CG13761
CG13766,CG13766
CG13773,CG13773
CG13778,CG13778
CG13779,CG13779
CG13784,CG13784
CG13788,CG13788
CG13794,CG13794
CG13795,CG13795
CG13796,CG13796
CG13807,CG13807
CG1381,CG1381
CG13814,CG13814
CG13822,CG13822
CG13848,CG13848
CG13849,CG13849
CG13850,CG13850
CG13852,CG13852
CG13856,CG13856
CG13857,CG13857
CG1386,CG1386
CG13865,CG13865_A CG13865_B
CG13867,CG13867
CG13873,CG13873
CG13875,CG13875
CG13876,CG13876
CG13877,CG13877
CG13879,CG13879
CG13880,CG13880
CG13892,CG13892
CG13893,CG13893
CG13894,CG13894
CG13897,CG13897
CG13900,CG13900
CG1391,CG1391_A CG1391_B CG1391_C
CG13917,CG13917
CG13919,CG13919
CG13922,CG13922
CG13927,CG13927
CG13928,CG13928
CG13935,CG13935
CG13937,CG13937
CG13956,CG13956
CG13957,CG13957
CG13965,CG13965
CG13969,CG13969
CG13970,CG13970
CG1399,CG1399
CG13990,CG13990
CG13993,CG13993
CG13994,CG13994
CG13995,CG13995
CG14005,CG14005
CG1401,CG1401
CG14015,CG14015
CG1402,CG1402
CG14022,CG14022
CG14023,CG14023
CG14024,CG14024
CG14025,CG14025
CG14026,CG14026
CG14028,CG14028
CG1403,CG1403
CG14030,CG14030
CG14032,CG14032
CG14039,CG14039
CG1404,CG1404
CG14040,CG14040
CG14041,CG14041_A CG14041_B
CG14042,CG14042
CG14049,CG14049
CG1406,CG1406
CG14064,CG14064
CG1407,CG1407_A CG1407_B
CG14073,CG14073
CG14074,CG14074
CG14076,CG14076
CG14080,CG14080_A CG14080_B
CG14084,CG14084
CG14098,CG14098
CG14100,CG14100
CG14103,CG14103
CG1411,CG1411
CG14125,CG14125
CG14127,CG14127
CG14132,CG14132
CG14135,CG14135
CG1414,CG1414
CG14141,CG14141
CG14153,CG14153
CG1416,CG1416
CG1417,CG1417
CG14174,CG14174
CG1418,CG1418
CG14180,CG14180
CG14182,CG14182
CG14183,CG14183
CG14184,CG14184
CG14186,CG14186
CG14194,CG14194
CG14196,CG14196
CG14199,CG14199
CG1420,CG1420
CG14200,CG14200
CG14206,CG14206
CG14207,CG14207
CG14209,CG14209
CG14210,CG14210
CG14211,CG14211
CG14213,CG14213
CG14214,CG14214
CG14215,CG14215
CG14216,CG14216
CG14217,CG14217
CG14218,CG14218
CG1422,CG1422
CG14220,CG14220
CG14221,CG14221
CG14224,CG14224
CG14225,CG14225
CG14226,CG14226
CG14228,CG14228
CG14229,CG14229
CG14230,CG14230
CG14232,CG14232
CG14233,CG14233
CG14235,CG14235_A CG14235_B
CG14252,CG14252
CG14253,CG14253
CG1427,CG1427
CG14270,CG14270
CG14277,CG14277
CG1428,CG1428
CG14283,CG14283
CG14286,CG14286
CG1429,CG1429
CG14290,CG14290
CG14294,CG14294
CG14296,CG14296
CG14298,CG14298
CG14299,CG14299
CG1430,CG1430
CG14304,CG14304
CG14312,CG14312
CG14327,CG14327
CG1433,CG1433
CG14332,CG14332
CG14334,CG14334
CG1434,CG1434
CG14352,CG14352
CG14353,CG14353
CG14358,CG14358
CG14369,CG14369
CG14372,CG14372
CG14374,CG14374
CG14375,CG14375
CG14379,CG14379
CG1438,CG1438
CG14383,CG14383
CG14390,CG14390
CG14394,CG14394
CG14396,CG14396
CG1440,CG1440
CG14400,CG14400
CG14407,CG14407
CG14408,CG14408_A CG14408_B
CG1441,CG1441
CG14411,CG14411
CG14413,CG14413
CG14414,CG14414
CG14419,CG14419
CG14421,CG14421
CG14422,CG14422
CG14431,CG14431
CG14434,CG14434
CG14437,CG14437
CG14438,CG14438
CG14439,CG14439
CG1444,CG1444
CG14440,CG14440
CG14441,CG14441
CG14442,CG14442
CG14443,CG14443
CG14446,CG14446
CG14447,CG14447
CG14450,CG14450
CG14455,CG14455
CG14457,CG14457
CG14459,CG14459
CG14463,CG14463
CG14464,CG14464
CG1447,CG1447
CG14476,CG14476
CG14478,CG14478
CG14480,CG14480
CG14482,CG14482
CG14483,CG14483
CG1449,CG1449
CG14503,CG14503
CG14506,CG14506
CG14509,CG14509_A CG14509_B
CG14511,CG14511
CG14513,CG14513
CG14514,CG14514
CG14516,CG14516
CG14517,CG14517
CG14521,CG14521
CG14527,CG14527
CG1453,CG1453
CG14531,CG14531
CG14534,CG14534
CG14535,CG14535
CG14536,CG14536
CG14537,CG14537
CG14542,CG14542
CG14543,CG14543
CG14544,CG14544
CG1455,CG1455
CG14562,CG14562
CG14567,CG14567
CG14577,CG14577
CG1458,CG1458
CG14591,CG14591
CG14605,CG14605
CG14608,CG14608
CG1461,CG1461
CG14613,CG14613
CG14614,CG14614
CG14616,CG14616_A CG14616_B
CG14617,CG14617
CG14618,CG14618
CG14619,CG14619
CG14620,CG14620
CG14621,CG14621
CG14622,CG14622
CG14625,CG14625
CG14629,CG14629
CG1463,CG1463
CG14630,CG14630
CG14637,CG14637
CG14639,CG14639
CG1464,CG1464
CG14641,CG14641
CG14643,CG14643
CG14646,CG14646
CG14647,CG14647
CG14648,CG14648
CG14650,CG14650
CG14655,CG14655
CG14657,CG14657
CG14661,CG14661
CG14667,CG14667_A CG14667_B
CG14668,CG14668
CG14669,CG14669
CG1467,CG1467
CG14670,CG14670
CG14671,CG14671
CG14672,CG14672
CG14675,CG14675
CG14680,CG14680
CG14683,CG14683
CG14684,CG14684
CG14685,CG14685_A CG14685_B
CG14687,CG14687
CG1469,CG1469
CG14691,CG14691
CG14694,CG14694
CG14696,CG14696
CG1470,CG1470
CG14701,CG14701
CG14704,CG14704
CG14709,CG14709
CG14710,CG14710
CG14711,CG14711
CG14712,CG14712
CG14715,CG14715
CG14716,CG14716
CG1472,CG1472
CG14721,CG14721
CG14722,CG14722
CG14723,CG14723_A CG14723_B
CG14724,CG14724
CG14734,CG14734
CG1474,CG1474
CG14741,CG14741
CG14745,CG14745
CG14749,CG14749
CG1475,CG1475
CG14750,CG14750
CG14757,CG14757
CG14762,CG14762
CG14764,CG14764
CG14767,CG14767
CG14777,CG14777
CG14778,CG14778
CG14779,CG14779
CG14782,CG14782
CG14786,CG14786
CG14788,CG14788
CG14791,CG14791
CG14792,CG14792_A CG14792_B
CG14796,CG14796
CG14797,CG14797
CG14802,CG14802_A CG14802_B
CG14804,CG14804
CG14805,CG14805
CG14806,CG14806
CG14808,CG14808
CG14810,CG14810
CG14812,CG14812
CG14813,CG14813
CG14815,CG14815
CG14816,CG14816
CG14817,CG14817
CG14818,CG14818
CG14821,CG14821
CG14823,CG14823
CG1483,CG1483
CG14837,CG14837
CG14838,CG14838
CG1484,CG1484
CG14850,CG14850
CG14851,CG14851
CG14852,CG14852
CG14853,CG14853
CG14854,CG14854
CG14855,CG14855
CG1486,CG1486
CG14868,CG14868
CG1487,CG1487
CG14871,CG14871
CG14879,CG14879
CG1488,CG1488
CG14880,CG14880
CG14881,CG14881
CG14883,CG14883
CG14884,CG14884_A CG14884_B
CG14885,CG14885
CG14886,CG14886
CG14887,CG14887
CG1489,CG1489
CG14894,CG14894
CG14895,CG14895
CG14898,CG14898
CG14899,CG14899
CG1490,CG1490
CG14901,CG14901
CG14903,CG14903
CG14904,CG14904
CG14905,CG14905
CG14906,CG14906
CG14907,CG14907
CG14909,CG14909
CG14913,CG14913
CG14916,CG14916
CG14919,CG14919
CG1492,CG1492
CG14934,CG14934
CG14938,CG14938_A CG14938_B CG14938_C
CG14939,CG14939
CG14945,CG14945
CG14946,CG14946
CG14948,CG14948
CG1495,CG1495
CG14959,CG14959
CG14962,CG14962
CG14964,CG14964
CG14966,CG14966
CG14967,CG14967
CG14971,CG14971
CG14975,CG14975
CG14977,CG14977
CG14981,CG14981
CG14985,CG14985
CG14989,CG14989
CG14995,CG14995
CG14996,CG14996
CG14997,CG14997
CG14998,CG14998
CG14999,CG14999
CG1500,CG1500
CG15004,CG15004
CG15009,CG15009
CG15010,CG15010
CG15011,CG15011
CG15012,CG15012
CG15014,CG15014
CG15015,CG15015
CG15016,CG15016
CG15023,CG15023
CG15025,CG15025
CG15027,CG15027
CG15035,CG15035
CG1506,CG1506_A CG1506_B
CG15065,CG15065
CG15068,CG15068
CG1507,CG1507
CG15077,CG15077
CG15081,CG15081_A CG15081_B
CG15083,CG15083
CG15084,CG15084
CG15085,CG15085
CG15093,CG15093
CG15096,CG15096
CG15097,CG15097
CG15098,CG15098
CG15099,CG15099
CG15100,CG15100
CG15101,CG15101
CG15102,CG15102
CG15104,CG15104
CG15105,CG15105
CG1511,CG1511
CG15110,CG15110
CG15111,CG15111
CG15112,CG15112
CG15113,CG15113
CG15118,CG15118
CG15119,CG15119
CG1512,CG1512
CG15126,CG15126
CG1513,CG1513
CG15138,CG15138
CG1514,CG1514
CG15141,CG15141
CG1515,CG1515
CG15151,CG15151
CG15154,CG15154
CG15155,CG15155
CG1516,CG1516
CG15160,CG15160
CG15162,CG15162
CG15168,CG15168
CG1517,CG1517
CG15173,CG15173
CG1518,CG1518
CG15186,CG15186
CG1519,CG1519
CG15198,CG15198
CG1520,CG1520
CG15201,CG15201
CG15202,CG15202
CG15203,CG15203
CG15209,CG15209
CG15210,CG15210
CG15211,CG15211
CG15213,CG15213
CG15218,CG15218
CG15220,CG15220
CG15224,CG15224
CG1523,CG1523
CG15236,CG15236
CG15237,CG15237
CG1524,CG1524
CG15247,CG15247
CG15249,CG15249
CG15267,CG15267
CG15269,CG15269
CG1527,CG1527
CG15270,CG15270_A CG15270_B
CG15274,CG15274
CG15279,CG15279
CG1528,CG1528
CG15282,CG15282
CG15293,CG15293
CG15304,CG15304
CG15308,CG15308
CG15309,CG15309
CG15312,CG15312
CG15317,CG15317
CG15319,CG15319
CG15332,CG15332
CG15343,CG15343
CG15347,CG15347
CG15351,CG15351
CG15353,CG15353
CG15356,CG15356
CG15361,CG15361
CG15366,CG15366
CG15368,CG15368
CG1537,CG1537
CG15370,CG15370
CG15382,CG15382
CG15385,CG15385
CG1539,CG1539
CG15390,CG15390
CG15400,CG15400
CG15403,CG15403
CG15404,CG15404
CG15414,CG15414
CG15418,CG15418
CG1542,CG1542
CG15427,CG15427_A CG15427_B
CG15432,CG15432
CG15433,CG15433
CG15437,CG15437
CG15438,CG15438
CG15439,CG15439
CG1544,CG1544
CG15440,CG15440
CG15441,CG15441_A CG15441_B
CG15442,CG15442
CG15445,CG15445
CG15449,CG15449
CG1545,CG1545
CG15461,CG15461
CG15465,CG15465
CG15473,CG15473
CG15475,CG15475
CG15478,CG15478
CG1548,CG1548
CG15480,CG15480
CG15481,CG15481
CG15482,CG15482
CG1550,CG1550
CG15515,CG15515
CG1552,CG1552
CG15520,CG15520
CG15522,CG15522
CG15523,CG15523
CG15524,CG15524
CG1553,CG1553
CG15532,CG15532
CG15537,CG15537
CG1554,CG1554
CG15544,CG15544
CG15545,CG15545
CG15548,CG15548
CG15553,CG15553
CG15554,CG15554
CG15556,CG15556
CG15563,CG15563
CG15573,CG15573
CG1558,CG1558
CG15582,CG15582
CG15589,CG15589
CG1559,CG1559
CG15601,CG15601
CG15602,CG15602
CG15605,CG15605
CG15609,CG15609
CG1561,CG1561
CG15611,CG15611
CG15616,CG15616
CG15626,CG15626
CG15628,CG15628
CG15645,CG15645_A CG15645_B
CG15658,CG15658
CG15666,CG15666
CG15669,CG15669
CG1567,CG1567
CG15673,CG15673
CG15693,CG15693
CG15695,CG15695
CG15696,CG15696
CG15697,CG15697
CG15704,CG15704
CG15715,CG15715
CG15717,CG15717
CG15719,CG15719
CG1572,CG1572
CG15721,CG15721
CG15727,CG15727
CG15735,CG15735
CG15738,CG15738
CG15739,CG15739
CG15741,CG15741
CG15744,CG15744
CG15745,CG15745
CG15747,CG15747
CG1575,CG1575
CG15760,CG15760
CG15765,CG15765
CG1577,CG1577
CG15771,CG15771
CG15772,CG15772
CG1578,CG1578
CG15792,CG15792
CG15793,CG15793
CG15797,CG15797
CG15800,CG15800
CG15803,CG15803
CG15811,CG15811
CG15812,CG15812
CG15814,CG15814
CG15817,CG15817
CG1582,CG1582
CG15822,CG15822
CG15825,CG15825
CG15828,CG15828
CG15835,CG15835
CG1584,CG1584
CG15845,CG15845
CG15855,CG15855
CG15860,CG15860
CG15862,CG15862_A CG15862_B CG15862_C
CG15863,CG15863
CG15864,CG15864
CG1587,CG1587_A CG1587_B
CG15871,CG15871
CG15881,CG15881
CG15889,CG15889
CG15890,CG15890
CG15891,CG15891
CG15899,CG15899
CG15909,CG15909
CG1591,CG1591
CG15914,CG15914
CG15916,CG15916
CG15922,CG15922
CG15929,CG15929
CG1594,CG1594
CG1597,CG1597
CG1598,CG1598
CG1599,CG1599
CG1600,CG1600
CG1602,CG1602
CG1603,CG1603
CG1605,CG1605
CG1607,CG1607
CG1609,CG1609
CG1615,CG1615
CG1618,CG1618
CG1619,CG1619
CG1620,CG1620
CG1621,CG1621
CG1622,CG1622
CG1623,CG1623
CG1628,CG1628
CG1629,CG1629
CG1633,CG1633
CG1634,CG1634_A CG1634_B
CG1635,CG1635
CG1636,CG1636
CG1637,CG1637_A CG1637_B
CG1639,CG1639
CG1643,CG1643
CG1644,CG1644
CG1646,CG1646_A CG1646_B
CG1647,CG1647
CG1648,CG1648
CG1651,CG1651
CG1659,CG1659
CG1660,CG1660
CG1662,CG1662
CG1664,CG1664
CG1665,CG1665
CG1666,CG1666
CG1667,CG1667
CG1668,CG1668
CG1669,CG1669
CG1670,CG1670
CG16705,CG16705
CG16707,CG16707
CG16708,CG16708
CG1671,CG1671
CG16716,CG16716
CG16719,CG16719
CG16720,CG16720
CG16721,CG16721
CG16723,CG16723
CG16725,CG16725
CG1673,CG1673
CG16734,CG16734
CG16738,CG16738
CG1674,CG1674_A CG1674_B
CG16740,CG16740
CG16747,CG16747_A CG16747_B
CG1675,CG1675
CG16756,CG16756
CG16758,CG16758
CG1676,CG1676
CG1677,CG1677
CG16771,CG16771
CG16772,CG16772
CG16778,CG16778
CG16779,CG16779
CG16786,CG16786
CG16787,CG16787
CG16788,CG16788
CG16789,CG16789
CG16790,CG16790
CG16791,CG16791
CG16792,CG16792
CG16800,CG16800
CG16807,CG16807
CG1681,CG1681
CG16812,CG16812
CG16817,CG16817
CG16820,CG16820
CG16824,CG16824
CG1683,CG1683
CG16833,CG16833
CG16840,CG16840
CG1685,CG1685
CG16854,CG16854
CG16857,CG16857
CG16858,CG16858
CG16865,CG16865
CG16868,CG16868
CG16873,CG16873
CG16879,CG16879
CG1688,CG1688
CG16884,CG16884
CG16885,CG16885
CG16892,CG16892
CG16896,CG16896
CG1690,CG1690
CG16903,CG16903
CG16908,CG16908
CG1691,CG1691
CG16910,CG16910
CG16912,CG16912
CG16916,CG16916
CG1692,CG1692
CG16926,CG16926
CG16928,CG16928
CG1693,CG1693_A CG1693_B
CG16932,CG16932
CG16935,CG16935
CG16936,CG16936
CG16940,CG16940
CG16941,CG16941
CG16944,CG16944
CG16947,CG16947
CG1695,CG1695
CG16956,CG16956
CG1696,CG1696
CG16960,CG16960
CG16965,CG16965
CG16969,CG16969
CG1697,CG1697
CG16972,CG16972
CG16973,CG16973
CG16974,CG16974
CG16975,CG16975
CG16979,CG16979
CG1698,CG1698
CG16982,CG16982
CG16983,CG16983
CG16984,CG16984
CG16985,CG16985
CG16986,CG16986
CG16988,CG16988
CG16989,CG16989
CG17002,CG17002
CG17012,CG17012
CG17019,CG17019
CG1702,CG1702
CG17026,CG17026
CG17027,CG17027
CG17033,CG17033
CG17035,CG17035
CG17046,CG17046
CG1705,CG1705
CG17051,CG17051
CG17052,CG17052
CG17060,CG17060
CG17061,CG17061
CG17065,CG17065
CG17068,CG17068
CG1707,CG1707
CG17075,CG17075
CG17077,CG17077
CG17078,CG17078
CG1708,CG1708
CG17082,CG17082
CG17084,CG17084
CG1709,CG1709
CG17090,CG17090
CG1710,CG1710
CG17100,CG17100
CG17110,CG17110
CG17117,CG17117_A CG17117_B CG17117_C CG17117_D CG17117_E
CG17124,CG17124
CG17129,CG17129
CG17131,CG17131
CG17142,CG17142
CG17143,CG17143
CG17146,CG17146
CG17149,CG17149
CG1715,CG1715
CG17153,CG17153
CG1716,CG1716
CG17161,CG17161
CG17166,CG17166
CG17178,CG17178
CG1718,CG1718
CG17181,CG17181
CG17183,CG17183
CG17184,CG17184
CG17186,CG17186
CG17189,CG17189
CG17190,CG17190
CG17193,CG17193
CG17196,CG17196
CG17202,CG17202
CG17207,CG17207
CG17209,CG17209
CG1721,CG1721
CG17210,CG17210
CG17212,CG17212
CG17213,CG17213
CG17216,CG17216
CG17224,CG17224
CG17227,CG17227
CG17228,CG17228
CG17230,CG17230
CG17233,CG17233
CG17237,CG17237
CG17244,CG17244
CG17245,CG17245
CG17246,CG17246
CG17248,CG17248
CG1725,CG1725_A CG1725_B CG1725_C
CG17252,CG17252
CG17255,CG17255
CG17256,CG17256
CG17257,CG17257
CG17259,CG17259
CG17260,CG17260
CG17262,CG17262
CG17267,CG17267
CG17271,CG17271_A CG17271_B
CG17272,CG17272
CG17273,CG17273
CG1728,CG1728
CG17283,CG17283
CG17291,CG17291
CG17292,CG17292
CG17293,CG17293
CG17295,CG17295
CG17299,CG17299
CG1732,CG1732
CG17320,CG17320
CG17321,CG17321
CG17322,CG17322
CG17323,CG17323
CG17325,CG17325
CG17327,CG17327
CG17332,CG17332
CG17333,CG17333
CG17336,CG17336
CG17337,CG17337
CG17341,CG17341
CG17342,CG17342
CG17343,CG17343
CG17347,CG17347
CG17350,CG17350
CG17352,CG17352
CG17358,CG17358
CG17359,CG17359
CG17360,CG17360
CG17361,CG17361
CG17364,CG17364_A CG17364_B
CG17367,CG17367
CG17369,CG17369
CG1737,CG1737
CG17378,CG17378
CG1738,CG1738
CG17383,CG17383
CG17385,CG17385
CG1740,CG1740_A CG1740_B
CG1742,CG1742_A CG1742_B
CG1743,CG1743
CG17437,CG17437
CG17446,CG17446
CG1745,CG1745
CG17453,CG17453
CG1746,CG1746
CG1747,CG1747
CG17471,CG17471
CG17484,CG17484
CG17486,CG17486
CG17489,CG17489_A CG17489_B
CG1749,CG1749
CG17490,CG17490
CG17492,CG17492
CG17494,CG17494
CG1750,CG1750
CG17508,CG17508_A CG17508_B
CG17509,CG17509
CG1751,CG1751
CG17510,CG17510
CG17515,CG17515
CG17520,CG17520
CG17521,CG17521
CG17523,CG17523
CG17524,CG17524
CG17527,CG17527
CG17528,CG17528
CG1753,CG1753
CG17530,CG17530
CG17534,CG17534
CG17544,CG17544
CG17549,CG17549
CG17556,CG17556
CG17559,CG17559
CG17565,CG17565
CG17568,CG17568
CG17572,CG17572
CG17574,CG17574
CG17579,CG17579
CG17592,CG17592
CG17593,CG17593
CG17596,CG17596
CG17597,CG17597
CG17598,CG17598
CG17600,CG17600
CG17603,CG17603_A CG17603_B
CG17604,CG17604
CG17610,CG17610
CG17611,CG17611
CG17612,CG17612
CG17618,CG17618
CG1763,CG1763
CG17632,CG17632
CG17637,CG17637
CG17639,CG17639
CG1764,CG1764
CG17646,CG17646
CG1765,CG1765
CG17650,CG17650
CG17654,CG17654
CG17657,CG17657
CG17660,CG17660
CG17665,CG17665
CG17666,CG17666
CG17678,CG17678
CG1768,CG1768
CG17680,CG17680
CG17683,CG17683
CG17686,CG17686
CG17689,CG17689
CG17697,CG17697_A CG17697_B
CG17698,CG17698
CG1770,CG1770
CG17704,CG17704
CG1771,CG1771
CG17715,CG17715
CG1772,CG1772
CG17721,CG17721
CG17723,CG17723
CG17726,CG17726
CG1773,CG1773
CG17734,CG17734
CG17737,CG17737
CG17738,CG17738
CG1774,CG1774
CG17743,CG17743
CG17746,CG17746
CG1775,CG1775
CG17753,CG17753
CG17754,CG17754
CG17759,CG17759_A CG17759_B
CG17762,CG17762
CG17765,CG17765
CG17766,CG17766
CG17767,CG17767
CG17768,CG17768
CG17776,CG17776
CG17778,CG17778
CG17785,CG17785
CG17795,CG17795
CG1780,CG1780
CG17800,CG17800
CG17802,CG17802
CG17803,CG17803
CG17806,CG17806
CG17814,CG17814
CG17816,CG17816_A CG17816_B CG17816_C
CG17818,CG17818
CG1782,CG1782
CG17828,CG17828
CG17829,CG17829
CG1783,CG1783
CG17834,CG17834
CG17835,CG17835
CG17836,CG17836
CG17838,CG17838
CG17839,CG17839_A CG17839_B
CG17841,CG17841
CG17843,CG17843
CG1785,CG1785
CG17853,CG17853
CG1787,CG1787
CG17870,CG17870
CG17871,CG17871
CG17883,CG17883
CG17885,CG17885
CG17888,CG17888
CG1789,CG1789
CG17896,CG17896
CG17903,CG17903
CG17904,CG17904
CG17907,CG17907
CG1791,CG1791
CG17914,CG17914
CG17919,CG17919
CG1792,CG1792
CG17921,CG17921
CG17922,CG17922
CG17924,CG17924
CG17927,CG17927
CG17928,CG17928
CG1793,CG1793
CG17932,CG17932
CG1794,CG1794
CG17943,CG17943
CG17945,CG17945
CG17947,CG17947
CG17949,CG17949
CG1795,CG1795
CG17950,CG17950
CG17958,CG17958
CG1796,CG1796
CG17962,CG17962
CG17977,CG17977
CG17982,CG17982
CG17985,CG17985
CG17988,CG17988
CG1799,CG1799
CG17998,CG17998
CG1800,CG1800
CG18000,CG18000
CG18003,CG18003
CG18004,CG18004
CG18005,CG18005
CG18009,CG18009
CG18011,CG18011
CG18012,CG18012
CG18023,CG18023
CG18024,CG18024
CG18028,CG18028
CG1803,CG1803
CG18030,CG18030
CG18031,CG18031
CG18039,CG18039
CG1804,CG1804
CG18041,CG18041
CG1806,CG1806
CG18064,CG18064
CG18065,CG18065
CG18066,CG18066
CG18067,CG18067
CG18069,CG18069
CG18076,CG18076
CG18081,CG18081
CG18085,CG18085
CG18090,CG18090
CG18094,CG18094
CG1810,CG1810
CG18102,CG18102
CG1812,CG1812
CG18135,CG18135
CG1814,CG1814
CG18140,CG18140
CG18143,CG18143
CG18145,CG18145
CG1815,CG1815_A CG1815_B
CG18155,CG18155
CG1817,CG1817
CG18174,CG18174
CG18176,CG18176
CG18177,CG18177_A CG18177_B
CG18178,CG18178
CG1818,CG1818
CG1821,CG1821
CG18212,CG18212
CG18213,CG18213
CG18214,CG18214
CG1822,CG1822
CG1824,CG1824
CG18241,CG18241
CG18247,CG18247
CG18249,CG18249
CG1825,CG1825
CG18259,CG18259
CG1826,CG1826
CG18262,CG18262
CG18265,CG18265
CG1827,CG1827
CG18273,CG18273
CG18278,CG18278
CG18279,CG18279
CG1828,CG1828_A CG1828_B
CG18281,CG18281
CG18285,CG18285
CG18287,CG18287
CG1829,CG1829
CG18290,CG18290
CG1830,CG1830
CG18304,CG18304
CG18314,CG18314
CG18315,CG18315
CG18316,CG18316
CG18319,CG18319
CG1832,CG1832
CG18321,CG18321
CG18324,CG18324
CG18327,CG18327
CG18332,CG18332
CG18347,CG18347
CG1836,CG1836_A CG1836_B
CG18361,CG18361
CG18362,CG18362
CG18368,CG18368
CG1837,CG1837
CG18374,CG18374
CG18375,CG18375
CG18377,CG18377
CG1838,CG1838
CG1839,CG1839
CG18397,CG18397
CG18398,CG18398
CG1840,CG1840
CG18402,CG18402
CG18405,CG18405
CG18408,CG18408_A CG18408_B
CG1841,CG1841
CG18412,CG18412
CG18426,CG18426
CG18428,CG18428
CG18437,CG18437
CG1844,CG1844
CG18445,CG18445
CG18446,CG18446
CG1845,CG1845
CG18466,CG18466
CG1847,CG1847
CG18476,CG18476
CG18477,CG18477
CG18478,CG18478
CG18492,CG18492
CG18495,CG18495
CG18497,CG18497_A CG18497_B
CG1850,CG1850
CG18505,CG18505
CG18507,CG18507
CG18508,CG18508
CG1851,CG1851
CG18522,CG18522
CG18525,CG18525
CG18528,CG18528
CG18536,CG18536
CG18537,CG18537
CG18540,CG18540
CG18542,CG18542
CG18547,CG18547
CG18548,CG18548
CG18549,CG18549
CG18550,CG18550
CG18558,CG18558
CG18559,CG18559
CG1856,CG1856_A CG1856_B
CG18563,CG18563
CG1857,CG1857
CG18572,CG18572
CG18578,CG18578
CG18582,CG18582
CG18591,CG18591
CG18593,CG18593
CG18598,CG18598
CG18600,CG18600
CG18608,CG18608
CG18616,CG18616
CG18617,CG18617
CG18619,CG18619
CG1862,CG1862
CG18622,CG18622
CG18624,CG18624
CG18642,CG18642
CG1865,CG1865
CG18659,CG18659
CG1866,CG1866
CG18660,CG18660
CG18676,CG18676
CG1869,CG1869
CG1873,CG1873
CG18730,CG18730
CG18731,CG18731
CG18734,CG18734
CG18740,CG18740
CG18741,CG18741
CG18743,CG18743
CG18749,CG18749
CG18764,CG18764
CG18766,CG18766
CG18769,CG18769
CG1877,CG1877
CG18778,CG18778
CG18779,CG18779
CG18783,CG18783
CG18787,CG18787
CG18789,CG18789
CG18802,CG18802
CG18803,CG18803
CG18806,CG18806
CG18809,CG18809
CG18810,CG18810
CG18811,CG18811
CG18812,CG18812_A CG18812_B CG18812_C
CG18814,CG18814
CG18815,CG18815
CG18817,CG18817
CG1882,CG1882_A CG1882_B
CG1883,CG1883_A CG1883_B
CG1885,CG1885
CG18853,CG18853
CG18858,CG18858
CG1886,CG1886
CG1887,CG1887
CG18870,CG18870
CG1888,CG1888
CG1889,CG1889
CG1890,CG1890
CG1891,CG1891
CG1896,CG1896
CG1897,CG1897
CG1898,CG1898
CG1900,CG1900_A CG1900_B
CG1901,CG1901
CG1902,CG1902
CG1903,CG1903
CG1906,CG1906_A CG1906_B
CG1908,CG1908
CG1909,CG1909
CG1910,CG1910
CG1913,CG1913
CG1915,CG1915
CG1919,CG1919
CG1921,CG1921
CG1922,CG1922
CG1924,CG1924
CG1927,CG1927
CG1935,CG1935
CG1937,CG1937
CG1938,CG1938
CG1939,CG1939
CG1943,CG1943
CG1944,CG1944
CG1945,CG1945_A CG1945_B
CG1951,CG1951
CG1954,CG1954
CG1956,CG1956
CG1957,CG1957
CG1958,CG1958
CG1960,CG1960
CG1962,CG1962
CG1963,CG1963
CG1964,CG1964
CG1965,CG1965
CG1966,CG1966
CG1967,CG1967
CG1968,CG1968
CG1970,CG1970
CG1973,CG1973
CG1976,CG1976
CG1977,CG1977
CG1979,CG1979
CG1981,CG1981
CG1982,CG1982
CG1984,CG1984
CG1987,CG1987
CG1988,CG1988
CG1989,CG1989_A CG1989_B
CG1998,CG1998
CG2003,CG2003
CG2004,CG2004
CG2009,CG2009
CG2010,CG2010
CG2013,CG2013
CG2016,CG2016
CG2017,CG2017
CG2019,CG2019
CG2021,CG2021
CG2022,CG2022
CG2023,CG2023
CG2025,CG2025
CG2028,CG2028
CG2031,CG2031
CG2033,CG2033
CG2034,CG2034
CG2038,CG2038
CG2040,CG2040
CG2041,CG2041
CG2046,CG2046
CG2048,CG2048
CG2049,CG2049
CG2050,CG2050
CG2051,CG2051
CG2052,CG2052
CG2053,CG2053
CG2059,CG2059
CG2060,CG2060
CG2061,CG2061
CG2062,CG2062
CG2063,CG2063
CG2064,CG2064
CG2072,CG2072
CG2076,CG2076
CG2078,CG2078
CG2079,CG2079
CG2081,CG2081
CG2082,CG2082
CG2086,CG2086_A CG2086_B CG2086_C
CG2087,CG2087
CG2091,CG2091
CG2093,CG2093
CG2095,CG2095
CG2096,CG2096
CG2097,CG2097
CG2098,CG2098_A CG2098_B
CG2099,CG2099
CG2100,CG2100
CG2101,CG2101
CG2103,CG2103
CG2105,CG2105
CG2109,CG2109
CG2110,CG2110
CG2113,CG2113
CG2116,CG2116
CG2118,CG2118
CG2121,CG2121
CG2124,CG2124
CG2125,CG2125
CG2126,CG2126
CG2127,CG2127
CG2128,CG2128
CG2135,CG2135
CG2139,CG2139
