Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
RAPiD-Genomics_GW180220900_UFE_172202_P05_WG05_i5-509_i7-173_S860_L005_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WE10_i5-509_i7-154_S442_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG05_i5-509_i7-173_S461_L003_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WE10_i5-509_i7-154_S442_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WF06_i5-509_i7-162_S450_L002_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG06_i5-509_i7-174_S462_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WF02_i5-509_i7-158_S446_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WE09_i5-509_i7-153_S441_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WF01_i5-509_i7-157_S445_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WF08_i5-509_i7-164_S452_L002_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WD01_i5-509_i7-133_S421_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WD05_i5-509_i7-137_S425_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG09_i5-509_i7-177_S465_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WE08_i5-509_i7-152_S440_L003_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WG12_i5-509_i7-180_S468_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WF10_i5-509_i7-166_S454_L003_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WE10_i5-509_i7-154_S442_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WE07_i5-509_i7-151_S439_L002_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180220900_UFE_172202_P05_WD09_i5-509_i7-141_S828_L005_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,WARN,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WD09_i5-509_i7-141_S429_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
