sampleID	set	batch	rack_position	run_order	tube_sample	genotype	wormgrowth_sample_name	Solvent	parameters	rank	study_group	sample
aos100_ga_ms2_73	2	4	C3	73	nmr68	KJ550	aos100_ga_ms2	CDCl3	proton	1	g2	aos100
aos101_ga_ms2_121	3	6	C3	121	nmr111	UGT49	aos101_ga_ms2	CDCl3	proton	1	g3	aos101
aos102_ga_ms3_122	3	6	C4	122	nmr112	PD1074	aos102_ga_ms3	CDCl3	proton	1	g3	aos102
aos105_co_ms2_123	3	6	C5	123	nmr113	VC2524	aos105_co_ms2	CDCl3	proton	1		aos105
aos106_co_ms2_25	1	2	C1	25	nmr25	N2	aos106_co_ms2	CDCl3	proton	1	g1	aos106
aos107_ga_bku_80	2	4	C10	80	nmr75	PD1074	aos107_ga_bku	CDCl3	proton	1	g1	aos107
aos108_ga_ms2_27	1	2	C3	27	nmr27	RB2011	aos108_ga_ms2	CDCl3	proton	1	g3	aos108
aos109_ga_ms2_81	2	4	C11	81	nmr76	KJ550	aos109_ga_ms2	CDCl3	proton	1	g2	aos109
aos111_ga_ms2_82	2	4	C12	82	nmr77	RB2550	aos111_ga_ms2	CDCl3	proton	1	g1	aos111
aos113_ga_ms1_124	3	6	C6	124	nmr114	PD1074	aos113_ga_ms1	CDCl3	proton	1	g2	aos113
aos113_ga_ms1_28	1	2	C4	28	nmr28	PD1074	aos113_ga_ms1	CDCl3	proton	1	g2_g3	aos113
aos113_ga_ms1_84	2	4	D2	84	nmr79	PD1074	aos113_ga_ms1	CDCl3	proton	1	g1	aos113
aos114_ga_ms2_125	3	6	C7	125	nmr115	RB2055	aos114_ga_ms2	CDCl3	proton	1	g2_g3	aos114
aos115_gt_ms1_29	1	2	C5	29	nmr29	CB4856	aos115_gt_ms1	CDCl3	proton	1	g1	aos115
aos116_ga_ms2_83	2	4	D1	83	nmr78	RB2347	aos116_ga_ms2	CDCl3	proton	1	g2	aos116
aos118_ga_ms2_126	3	6	C8	126	nmr116	RB2055	aos118_ga_ms2	CDCl3	proton	1	g3	aos118
aos120_ga_ms2_127	3	6	C9	127	nmr117	AUM2073	aos120_ga_ms2	CDCl3	proton	1	g2	aos120
aos122_ga_ms2_4	1	1	A4	4	nmr3	RB2011	aos122_ga_ms2	CDCl3	proton	1	g3	aos122
aos125_ga_ms2_85	2	4	D3	85	nmr80	VC1265	aos125_ga_ms2	CDCl3	proton	1	g2	aos125
aos127_ga_ms2_5	1	1	A5	5	nmr4	CX11314	aos127_ga_ms2	CDCl3	proton	1	g1	aos127
aos127_ga_ms3_24	1	2	B12	24	nmr24	CX11314	aos127_ga_ms3	CDCl3	proton	1	g1	aos127
aos129_ga_ms2_6	1	1	A6	6	nmr5	PD1074	aos129_ga_ms2	CDCl3	proton	1	g1	aos129
aos133_ga_ms2_128	3	6	C10	128	nmr118	UGT49	aos133_ga_ms2	CDCl3	proton	1	g3	aos133
aos134_ga_ms2_86	2	4	D4	86	nmr81	KJ550	aos134_ga_ms2	CDCl3	proton	1	g1	aos134
aos135_ga_ms2_129	3	6	C11	129	nmr119	AUM2073	aos135_ga_ms2	CDCl3	proton	1	g2	aos135
aos140_ga_ms3_87	2	4	D5	87	nmr82	PD1074	aos140_ga_ms3	CDCl3	proton	1	g1	aos140
aos140_gt_ms3_130	3	6	C12	130	nmr120	PD1074	aos140_gt_ms3	CDCl3	proton	1	g3	aos140
aos142_ga_ms2_7	1	1	A7	7	nmr6	CB4856	aos142_ga_ms2	CDCl3	proton	1	g1	aos142
aos145_ga_ms2_8	1	1	A8	8	nmr7	CB4856	aos145_ga_ms2	CDCl3	proton	1	g1	aos145
aos149_ga_ms2_9	1	1	A9	9	nmr8	PD1074	aos149_ga_ms2	CDCl3	proton	1	g1	aos149
aos165_ga_ms2_30	1	2	C6	30	nmr30	DL238	aos165_ga_ms2	CDCl3	proton	1	g3	aos165
