sampleID	oldSampleID	set	batch	rack_position	run_order	tube_sample	genotype	wormgrowth_sample_name	Solvent	parameters	sample
aos27_ga_ms3_11	aos27_ga_ms3_NMR_CDCL3_11	1	1	A11	11	nmr10	PD1074	aos27_ga_ms3	CDCl3	proton	aos27
aos27_ga_ms4_52	aos27_ga_ms4_NMR_CDCL3_52	2	3	A6	52	nmr46	PD1074	aos27_ga_ms4	CDCl3	proton	aos27
aos28_ga_ms2_53	aos28_ga_ms2_NMR_CDCL3_53	2	3	A7	53	nmr47	KJ550	aos28_ga_ms2	CDCl3	proton	aos28
aos32_ga_ms2_12	aos32_ga_ms2_NMR_CDCL3_12	1	1	A12	12	nmr11	RB2011	aos32_ga_ms2	CDCl3	proton	aos32
aos33_ga_ms2_105	aos33_ga_ms2_NMR_CDCL3_105	3	5	A11	105	nmr94	UGT60	aos33_ga_ms2	CDCl3	proton	aos33
aos35_ga_ms2_54	aos35_ga_ms2_NMR_CDCL3_54	2	3	A8	54	nmr48	RB2550	aos35_ga_ms2	CDCl3	proton	aos35
aos36_ga_ms2_55	aos36_ga_ms2_NMR_CDCL3_55	2	3	A9	55	nmr49	RB2347	aos36_ga_ms2	CDCl3	proton	aos36
aos37_ga_ms2_56	aos37_ga_ms2_NMR_CDCL3_56	2	3	A10	56	nmr50	RB2347	aos37_ga_ms2	CDCl3	proton	aos37
aos38_ga_ms2_57	aos38_ga_ms2_NMR_CDCL3_57	2	3	A11	57	nmr51	PD1074	aos38_ga_ms2	CDCl3	proton	aos38
aos39_ga_ms2_103	aos39_ga_ms2_NMR_CDCL3_103	3	5	A9	103	nmr92	UGT49	aos39_ga_ms2	CDCl3	proton	aos39
aos40_ga_ms2_58	aos40_ga_ms2_NMR_CDCL3_58	2	3	A12	58	nmr52	RB2550	aos40_ga_ms2	CDCl3	proton	aos40
aos41_ga_ms2_104	aos41_ga_ms2_NMR_CDCL3_104	3	5	A10	104	nmr93	PD1074	aos41_ga_ms2	CDCl3	proton	aos41
aos42_ga_ms2_59	aos42_ga_ms2_NMR_CDCL3_59	2	3	B1	59	nmr53	VC1265	aos42_ga_ms2	CDCl3	proton	aos42
aos43_ga_ms4_13	aos43_ga_ms4_NMR_CDCL3_13	1	1	B1	13	nmr12	PD1074	aos43_ga_ms4	CDCl3	proton	aos43
aos43_ga_bku_60	aos43_ga_bku_NMR_CDCL3_60	2	3	B2	60	nmr54	PD1074	aos43_ga_bku	CDCl3	proton	aos43
aos44_ga_ms2_106	aos44_ga_ms2_NMR_CDCL3_106	3	5	A12	106	nmr95	PD1074	aos44_ga_ms2	CDCl3	proton	aos44
aos45_ga_ms2_110	aos45_ga_ms2_NMR_CDCL3_110	3	5	B4	110	nmr99	RB2055	aos45_ga_ms2	CDCl3	proton	aos45
aos46_ga_ms2_14	aos46_ga_ms2_NMR_CDCL3_14	1	1	B2	14	nmr13	DL238	aos46_ga_ms2	CDCl3	proton	aos46
aos47_ga_ms2_107	aos47_ga_ms2_NMR_CDCL3_107	3	5	B1	107	nmr96	VC2524	aos47_ga_ms2	CDCl3	proton	aos47
aos48_ga_ms2_15	aos48_ga_ms2_NMR_CDCL3_15	1	1	B3	15	nmr14	N2	aos48_ga_ms2	CDCl3	proton	aos48
aos49_ga_ms2_108	aos49_ga_ms2_NMR_CDCL3_108	3	5	B2	108	nmr97	UGT49	aos49_ga_ms2	CDCl3	proton	aos49
aos50_ga_ms2_16	aos50_ga_ms2_NMR_CDCL3_16	1	1	B4	16	nmr15	DL238	aos50_ga_ms2	CDCl3	proton	aos50
aos51_ga_ms2_109	aos51_ga_ms2_NMR_CDCL3_109	3	5	B3	109	nmr98	AUM2073	aos51_ga_ms2	CDCl3	proton	aos51
aos53_ga_ms2_40	aos53_ga_ms2_NMR_CDCL3_40	1	2	D4	40	nmr40	PD1074	aos53_ga_ms2	CDCl3	proton	aos53
aos54_ga_bku_17	aos54_ga_bku_NMR_CDCL3_17	1	1	B5	17	nmr16	PD1074	aos54_ga_bku	CDCl3	proton	aos54
aos54_ga_bku2_61	aos54_ga_bku2_NMR_CDCL3_61	2	3	B3	61	nmr55	PD1074	aos54_ga_bku2	CDCl3	proton	aos54
aos54_ga_ms4_111	aos54_ga_ms4_NMR_CDCL3_111	3	5	B5	111	nmr100	PD1074	aos54_ga_ms4	CDCl3	proton	aos54
aos56_ga_ms2_41	aos56_ga_ms2_NMR_CDCL3_41	1	2	D5	41	nmr41	N2	aos56_ga_ms2	CDCl3	proton	aos56
aos58_ga_ms2_18	aos58_ga_ms2_NMR_CDCL3_18	1	1	B6	18	nmr17	N2	aos58_ga_ms2	CDCl3	proton	aos58
aos65_ga_ms2_19	aos65_ga_ms2_NMR_CDCL3_19	1	1	B7	19	nmr18	DL238	aos65_ga_ms2	CDCl3	proton	aos65
aos66_ga_ms2_112	aos66_ga_ms2_NMR_CDCL3_112	3	5	B6	112	nmr101	UGT60	aos66_ga_ms2	CDCl3	proton	aos66
aos67_ga_ms2_20	aos67_ga_ms2_NMR_CDCL3_20	1	1	B8	20	nmr19	N2	aos67_ga_ms2	CDCl3	proton	aos67
aos69_ga_ms1_64	aos69_ga_ms1_NMR_CDCL3_64	2	3	B6	64	nmr58	PD1074	aos69_ga_ms1	CDCl3	proton	aos69
aos69_ga_ms3_114	aos69_ga_ms3_NMR_CDCL3_114	3	5	B8	114	nmr103	PD1074	aos69_ga_ms3	CDCl3	proton	aos69
aos70_ga_ms2_113	aos70_ga_ms2_NMR_CDCL3_113	3	5	B7	113	nmr102	VC2524	aos70_ga_ms2	CDCl3	proton	aos70
aos71_ga_ms2_62	aos71_ga_ms2_NMR_CDCL3_62	2	3	B4	62	nmr56	RB2550	aos71_ga_ms2	CDCl3	proton	aos71
aos73_ga_ms2_70	aos73_ga_ms2_NMR_CDCL3_70	2	4	B12	70	nmr65	VC1265	aos73_ga_ms2	CDCl3	proton	aos73
aos74_ga_ms2_63	aos74_ga_ms2_NMR_CDCL3_63	2	3	B5	63	nmr57	RB2347	aos74_ga_ms2	CDCl3	proton	aos74
aos75_ga_ms4_115	aos75_ga_ms4_NMR_CDCL3_115	3	5	B9	115	nmr104	PD1074	aos75_ga_ms4	CDCl3	proton	aos75
aos76_ga_ms2_21	aos76_ga_ms2_NMR_CDCL3_21	1	1	B9	21	nmr20	CX11314	aos76_ga_ms2	CDCl3	proton	aos76
aos78_ga_ms4_22	aos78_ga_ms4_NMR_CDCL3_22	1	1	B10	22	nmr21	PD1074	aos78_ga_ms4	CDCl3	proton	aos78
aos79_ga_ms2_116	aos79_ga_ms2_NMR_CDCL3_116	3	5	B10	116	nmr105	AUM2073	aos79_ga_ms2	CDCl3	proton	aos79
aos81_ga_ms2_71	aos81_ga_ms2_NMR_CDCL3_71	2	4	C1	71	nmr66	RB2550	aos81_ga_ms2	CDCl3	proton	aos81
aos82_ga_ms2_75	aos82_ga_ms2_NMR_CDCL3_75	2	4	C5	75	nmr70	RB2347	aos82_ga_ms2	CDCl3	proton	aos82
aos83_ga_ms2_117	aos83_ga_ms2_NMR_CDCL3_117	3	5	B11	117	nmr106	RB2055	aos83_ga_ms2	CDCl3	proton	aos83
aos84_ga_ms2_76	aos84_ga_ms2_NMR_CDCL3_76	2	4	C6	76	nmr71	VC1265	aos84_ga_ms2	CDCl3	proton	aos84
aos85_ga_ms3_98	aos85_ga_ms3_NMR_CDCL3_98	3	5	A4	98	nmr87	VC2524	aos85_ga_ms3	CDCl3	proton	aos85
