gene_id,cellType,pval_het_overall,pval_mod_overall,flag_sig_het_overall,flag_sig_mod_overall,pval_het_exon,pval_mod_exon,flag_sig_het_exon,flag_sig_mod_exon,pval_het_intron,pval_mod_intron,flag_sig_het_intron,flag_sig_mod_intron,count_total_frags,count_exon_frags,count_intron_frags,flag_t1d_gene,flag_immune_gene,pval_het_sex_diff,flag_sig_het_sex_diff,flag_sig_heterogeneity_F,flag_sig_heterogeneity_M,pval_heterogeneity_F,pval_heterogeneity_M
ENSG00000003056,CD8,0.0002,0.0829,1.0,0.0,0.0322,0.0005,1.0,1.0,0.9322,0.0001,0.0,1.0,18.0,15.0,3.0,1.0,0.0,0.0001,1.0,1.0,0.0,0.0002,0.0897
ENSG00000006607,CD8,0.0061,0.0001,1.0,1.0,0.0061,0.0001,1.0,1.0,,,,,13.0,13.0,0.0,1.0,0.0,0.0001,1.0,1.0,1.0,0.0392,0.028
ENSG00000013725,CD8,0.5391,0.0575,0.0,0.0,0.7381,0.11,0.0,0.0,0.0544,0.1881,0.0,0.0,37.0,34.0,3.0,1.0,1.0,0.3553,0.0,0.0,0.0,0.7834,0.2602
ENSG00000023516,CD8,0.7856,0.4426,0.0,0.0,0.7856,0.4426,0.0,0.0,,,,,12.0,12.0,0.0,1.0,1.0,0.0616,0.0,0.0,0.0,0.4231,0.9132
ENSG00000038532,CD8,0.3072,0.334,0.0,0.0,0.3072,0.334,0.0,0.0,,,,,14.0,14.0,0.0,1.0,1.0,0.0024,1.0,0.0,0.0,0.2803,0.3998
ENSG00000065675,CD8,0.9611,0.0001,0.0,1.0,0.9611,0.0001,0.0,1.0,,,,,14.0,14.0,0.0,1.0,1.0,0.0309,1.0,0.0,0.0,0.81,0.9349
ENSG00000072110,CD8,1.0,0.0001,0.0,1.0,0.9999,0.0001,0.0,1.0,0.9814,0.0374,0.0,1.0,28.0,25.0,3.0,1.0,0.0,0.9992,0.0,0.0,0.0,1.0,0.9852
ENSG00000073584,CD8,0.9622,0.0001,0.0,1.0,0.9336,0.0001,0.0,1.0,0.6747,0.4222,0.0,0.0,28.0,25.0,3.0,1.0,1.0,0.1132,0.0,0.0,0.0,0.7828,0.9535
ENSG00000079739,CD8,0.7703,0.0001,0.0,1.0,0.7703,0.0001,0.0,1.0,,,,,6.0,6.0,0.0,1.0,0.0,0.2191,0.0,0.0,0.0,0.3436,0.9715
ENSG00000090104,CD8,0.1859,0.4407,0.0,0.0,0.1537,0.4888,0.0,0.0,1.0,0.7093,0.0,0.0,10.0,9.0,1.0,1.0,1.0,0.2493,0.0,1.0,0.0,0.0434,0.7629
