gene_id,cellType,pval_het_overall,pval_mod_overall,flag_sig_het_overall,flag_sig_mod_overall,pval_het_exon,pval_mod_exon,flag_sig_het_exon,flag_sig_mod_exon,pval_het_intron,pval_mod_intron,flag_sig_het_intron,flag_sig_mod_intron,count_total_frags,count_exon_frags,count_intron_frags,flag_t1d_gene,flag_immune_gene,pval_het_sex_diff,flag_sig_het_sex_diff,flag_sig_heterogeneity_F,flag_sig_heterogeneity_M,pval_heterogeneity_F,pval_heterogeneity_M
ENSG00000162889,CD4,0.219,0.6062,0.0,0.0,0.219,0.6062,0.0,0.0,,,,,2.0,2.0,0.0,1.0,1.0,0.0228,1.0,0.0,0.0,0.1093,0.4916
ENSG00000162894,CD4,0.7013,0.0454,0.0,1.0,0.7013,0.0454,0.0,1.0,,,,,2.0,2.0,0.0,1.0,1.0,0.259,0.0,0.0,0.0,0.7163,0.4473
ENSG00000163600,CD4,0.9164,0.0001,0.0,1.0,0.9164,0.0001,0.0,1.0,,,,,3.0,3.0,0.0,1.0,1.0,0.472,0.0,0.0,0.0,0.6849,0.9053
ENSG00000163818,CD4,0.0282,0.0001,1.0,1.0,0.0282,0.0001,1.0,1.0,,,,,9.0,9.0,0.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0022,0.8261
ENSG00000164691,CD4,0.0001,0.0005,1.0,1.0,0.0001,0.0004,1.0,1.0,0.5207,0.8754,0.0,0.0,63.0,60.0,3.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.4431
ENSG00000164733,CD4,0.241,0.0011,0.0,1.0,0.241,0.0011,0.0,1.0,,,,,13.0,13.0,0.0,1.0,0.0,0.0095,1.0,0.0,0.0,0.1071,0.6009
ENSG00000168214,CD4,0.0001,0.0001,1.0,1.0,0.0005,0.0001,1.0,1.0,0.0258,0.4644,1.0,0.0,25.0,22.0,3.0,1.0,0.0,0.0001,1.0,1.0,1.0,0.0001,0.0244
ENSG00000171522,CD4,0.487,0.5953,0.0,0.0,0.487,0.5953,0.0,0.0,,,,,2.0,2.0,0.0,1.0,1.0,0.6951,0.0,0.0,0.0,0.3031,0.5385
ENSG00000172575,CD4,0.0009,0.65,1.0,0.0,0.0036,0.1757,1.0,0.0,0.1513,0.0229,0.0,1.0,34.0,29.0,5.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.6594
ENSG00000175354,CD4,0.0001,0.0018,1.0,1.0,0.0001,0.0505,1.0,0.0,0.4399,0.0001,0.0,1.0,24.0,22.0,2.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.041
ENSG00000176476,CD4,0.2128,0.0001,0.0,1.0,0.2128,0.0001,0.0,1.0,,,,,5.0,5.0,0.0,1.0,1.0,0.0003,1.0,0.0,0.0,0.1968,0.311
ENSG00000178562,CD4,0.3666,0.3013,0.0,0.0,0.3666,0.3013,0.0,0.0,,,,,5.0,5.0,0.0,1.0,1.0,0.4648,0.0,0.0,0.0,0.1927,0.6213
ENSG00000182108,CD4,1.0,0.1854,0.0,0.0,1.0,0.1854,0.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,
ENSG00000182185,CD4,0.3028,0.0001,0.0,1.0,0.3028,0.0001,0.0,1.0,,,,,8.0,8.0,0.0,1.0,1.0,0.4858,0.0,0.0,0.0,0.1358,0.6464
ENSG00000185650,CD4,0.011,0.0551,1.0,0.0,0.011,0.0551,1.0,0.0,,,,,3.0,3.0,0.0,1.0,1.0,0.0311,1.0,1.0,0.0,0.0022,0.6722
ENSG00000185811,CD4,0.0001,0.0004,1.0,1.0,0.0001,0.0004,1.0,1.0,,,,,19.0,19.0,0.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
ENSG00000188603,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0005,1.0,1.0,0.0005,0.0001,1.0,1.0,33.0,29.0,4.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
ENSG00000213658,CD4,0.0008,0.0005,1.0,1.0,0.0033,0.044,1.0,1.0,0.2891,0.0004,0.0,1.0,17.0,12.0,5.0,1.0,1.0,0.0002,1.0,0.0,1.0,0.077,0.0012
