sample
mel_F_rep1
mel_F_rep2
mel_F_rep3
mel_F_rep4
mel_F_rep5
mel_F_rep6
mel_M_rep1
mel_M_rep2
mel_M_rep3
mel_M_rep4
mel_M_rep5
mel_M_rep6
