0,50,1
50,100,2
100,150,3
150,200,4
200,250,5
250,300,6
300,350,7
350,400,8
400,450,9
450,500,10
500,550,11
550,600,12
600,650,13
650,700,14
700,750,15
750,800,16
800,850,17
850,900,18
900,950,19
950,1000,20
1000,1050,21
1050,1100,22
1100,1150,23
1150,1200,24
1200,1250,25
1250,1300,26
1300,1350,27
1350,1400,28
1400,1450,29
1450,1500,30
1500,1550,31
1550,1600,32
1600,1650,33
1650,1700,34
1700,1750,35
1750,1800,36
1800,1850,37
1850,1900,38
1900,1950,39
1950,2000,40
2000,2050,41
2050,2100,42
2100,2150,43
2150,2200,44
2200,2250,45
2250,2300,46
2300,2350,47
2350,2400,48
2400,2450,49
2450,2500,50
2500,2550,51
2550,2600,52
2600,2650,53
2650,2700,54
2700,2750,55
2750,2800,56
2800,2850,57
2850,2900,58
2900,2950,59
2950,3000,60
3000,3050,61
