comparison,FEATURE_ID,dm12279_38d_num_reps,dm11255_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm11255_38d_g1,counts_dm11255_38d_g2,counts_dm11255_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm11255_38d_g1,prior_dm11255_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm11255_38d_sampleprop,dm11255_38d_theta,dm11255_38d_q025,dm11255_38d_q975,dm11255_38d_Bayes_evidence,dm11255_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm11255_Low_38d,FBgn0027562,3,3,31,33,113,64,32,53,0.361581920903955,0.361581920903955,0.644295302013423,0.644295302013423,0.0931,0.4844,0.4885,0.3683,0.6098,0.8518,0,0.6667,0.6285,0.5199,0.7271,0.0231,1,1.0317,0.7713,1
dm12279_High_vs_dm11255_Low_38d,FBgn0027563,3,3,228,219,582,444,379,34,0.434402332361516,0.434402332361516,0.960326721120187,0.960326721120187,0.5479999999999999,0.5101,0.5105,0.4434,0.5757,0.7498,0,0.5395,0.5366,0.4792,0.5926,0.1951,0,0.9814,0.9305,1
dm12279_High_vs_dm11255_Low_38d,FBgn0027560,3,3,2713,5503,30403,2012,2387,24961,0.212745021880421,0.212745021880421,0.149829700272479,0.149829700272479,0.2342,0.3302,0.3665,0.2651,0.489,0.0344,1,0.4574,0.4639,0.3436,0.5899,0.55,0,1.3301,1.085,1
dm12279_High_vs_dm11255_Low_38d,FBgn0027561,3,3,95,205,199,147,157,159,0.6012024048096191,0.6012024048096191,0.65658747300216,0.65658747300216,0.0718,0.3167,0.3511,0.2633,0.4581,0.0104,1,0.4836,0.4813,0.3799,0.5836,0.7042,0,1.3719,1.0442,1
dm12279_High_vs_dm11255_Low_38d,FBgn0036173,3,3,649,81,422,907,8,294,0.633680555555556,0.633680555555556,0.75682382133995,0.75682382133995,0.7307,0.889,0.6295,0.4124,0.8092,0.23399999999999999,0,0.9913,0.6714,0.4413,0.8557,0.1453,0,0.7777,0.7076,1
dm12279_High_vs_dm11255_Low_38d,FBgn0027565,3,3,167,164,20,178,206,31,0.943019943019943,0.943019943019943,0.9253012048192769,0.9253012048192769,0.4673,0.5045,0.5026,0.4238,0.5823,0.946,0,0.4635,0.4625,0.3865,0.5408,0.3291,0,0.998,1.082,1
dm12279_High_vs_dm11255_Low_38d,FBgn0027569,3,3,64,88,132,73,65,119,0.535211267605634,0.535211267605634,0.5369649805447471,0.5369649805447471,0.3036,0.4211,0.4428,0.3396,0.5539999999999999,0.2927,0,0.529,0.5235,0.4114,0.6321,0.6762,0,1.1304,0.9598,1
dm12279_High_vs_dm11255_Low_38d,FBgn0010434,3,3,348,303,166,167,145,468,0.796817625458996,0.796817625458996,0.4,0.4,0.9873,0.5346,0.5309,0.45399999999999996,0.6093,0.4178,0,0.5353,0.5315,0.4461,0.6145,0.4698,0,0.9426,0.9421,1
dm12279_High_vs_dm11255_Low_38d,FBgn0010435,3,3,1819,1916,1164,1640,1579,963,0.7624004898958969,0.7624004898958969,0.769727403156385,0.769727403156385,0.5844,0.48700000000000004,0.4877,0.4321,0.5442,0.6447,0,0.5095,0.5083,0.452,0.5643,0.7644,0,1.0267,0.985,1
dm12279_High_vs_dm11255_Low_38d,FBgn0085212,3,3,157,24,260,189,19,232,0.41043083900226796,0.41043083900226796,0.47272727272727294,0.47272727272727294,0.5947,0.8674,0.7918,0.6634,0.8708,0.0002,1,0.9087,0.8202,0.6998,0.8913,0.0007,1,0.5121,0.4669,1
