comparison,FEATURE_ID,dm12272_01h_num_reps,dm11255_01h_num_reps,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,counts_dm11255_01h_g1,counts_dm11255_01h_g2,counts_dm11255_01h_both,prior_dm12272_01h_g1,prior_dm12272_01h_g2,prior_dm11255_01h_g1,prior_dm11255_01h_g2,H3_independence_Bayes_evidence,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,dm11255_01h_sampleprop,dm11255_01h_theta,dm11255_01h_q025,dm11255_01h_q975,dm11255_01h_Bayes_evidence,dm11255_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12272_High_vs_dm11255_Low_01h,FBgn0027560,3,3,1232,1291,109,43,77,1730,0.9585866261398179,0.9585866261398179,0.0648648648648648,0.0648648648648648,0.29600000000000004,0.4883,0.4908,0.3743,0.6083,0.8609,0,0.3583,0.397,0.2731,0.5461,0.146,0,1.026,1.2508,1
dm12272_High_vs_dm11255_Low_01h,FBgn0027561,3,3,30,95,147,37,54,101,0.4595588235294121,0.4595588235294121,0.4739583333333329,0.4739583333333329,0.1582,0.24,0.3094,0.2046,0.4447,0.0089,1,0.4066,0.4357,0.3113,0.5728,0.3209,0,1.521,1.1512,1
dm12272_High_vs_dm11255_Low_01h,FBgn0036173,3,3,134,65,124,101,1,89,0.61609907120743,0.61609907120743,0.534031413612565,0.534031413612565,0.0213,0.6734,0.6448,0.5211,0.7365,0.0287,1,0.9902,0.8534,0.7003,0.9225,0.0029,1,0.7447,0.4117,1
dm12272_High_vs_dm11255_Low_01h,FBgn0010435,3,3,449,447,349,218,200,254,0.7196787148594379,0.7196787148594379,0.6220238095238101,0.6220238095238101,0.8062,0.5011,0.5014,0.435,0.5684,0.9682,0,0.5215,0.5125,0.4388,0.5847,0.7144,0,0.9994,0.9778,1
dm12272_High_vs_dm11255_Low_01h,FBgn0033439,3,3,55,33,28,87,45,4,0.7586206896551719,0.7586206896551719,0.970588235294118,0.970588235294118,0.5767,0.625,0.598,0.4836,0.7019,0.0898,0,0.6591,0.6373,0.5355,0.7278,0.0111,1,0.8234,0.7564,1
dm12272_High_vs_dm11255_Low_01h,FBgn0051901,3,3,75,75,2,45,7,5,0.986842105263158,0.986842105263158,0.912280701754386,0.912280701754386,0.0042,0.5,0.4989,0.4019,0.5944,0.9851,0,0.8654,0.7440000000000001,0.6285,0.8383,0.0007,1,1.0073,0.5869,1
dm12272_High_vs_dm11255_Low_01h,FBgn0035871,3,3,95,247,196,112,146,29,0.635687732342007,0.635687732342007,0.898954703832753,0.898954703832753,0.013999999999999999,0.2778,0.2925,0.2277,0.3687,0.0004,1,0.4341,0.4457,0.3616,0.5337,0.2107,0,1.5661,1.1207,1
dm12272_High_vs_dm11255_Low_01h,FBgn0032472,3,3,112,72,0,148,99,4,0.5,0.5,0.98406374501992,0.98406374501992,0.9411,0.6087,0.5287,0.33799999999999997,0.7111,0.7762,0,0.5992,0.5173,0.3078,0.7224,0.8693,0,0.9615,0.9888,1
dm12272_High_vs_dm11255_Low_01h,FBgn0034614,3,3,33,16,32,43,15,2,0.604938271604938,0.604938271604938,0.966666666666667,0.966666666666667,0.6436,0.6735,0.6264,0.4924,0.7449,0.0616,0,0.7414,0.6665,0.5426,0.7741,0.0087,1,0.7762,0.7096,1
dm12272_High_vs_dm11255_Low_01h,FBgn0263081,3,3,165,173,79,72,53,49,0.810551558752998,0.810551558752998,0.718390804597701,0.718390804597701,0.2842,0.4882,0.4926,0.4103,0.5738,0.8556,0,0.5760000000000001,0.5611,0.4591,0.6579,0.2276,0,1.0185,0.888,1
