comparison,FEATURE_ID,dm12279_01h_num_reps,dm12272_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_01h,FBgn0032216,3,3,327,279,48,336,356,299,0.9266055045871558,0.9266055045871558,0.6982845610494449,0.6982845610494449,0.4342,0.5396,0.5291,0.4425,0.6111,0.4716,0,0.4855,0.4863,0.4107,0.5626,0.7244,0,0.9465,1.0311,1
dm12279_High_vs_dm12272_High_01h,FBgn0041094,3,3,95,123,580,321,279,883,0.27318295739348397,0.27318295739348397,0.40458530006743104,0.40458530006743104,0.1398,0.4358,0.4459,0.3591,0.5383,0.2404,0,0.535,0.5326,0.4623,0.6028,0.3453,0,1.1207,0.9388,1
dm12279_High_vs_dm12272_High_01h,FBgn0035542,3,3,99,335,183,155,481,778,0.703403565640194,0.703403565640194,0.44978783592645005,0.44978783592645005,0.8889,0.2281,0.2673,0.198,0.3606,0.0,1,0.2437,0.2737,0.2087,0.3598,0.0007,1,1.673,1.6431,1
dm12279_High_vs_dm12272_High_01h,FBgn0020765,3,3,753,124,206,1266,12,940,0.8097876269621421,0.8097876269621421,0.57619477006312,0.57619477006312,0.5658,0.8586,0.5788,0.3541,0.7771,0.4722,0,0.9906,0.6599,0.4186,0.8504,0.1778,0,0.8696,0.7277,1
dm12279_High_vs_dm12272_High_01h,FBgn0033728,3,3,322,386,56,1023,855,123,0.926701570680628,0.926701570680628,0.9385307346326841,0.9385307346326841,0.2507,0.4548,0.4723,0.3906,0.5592,0.4864,0,0.5447,0.5343,0.4638,0.6047,0.3133,0,1.0614,0.9356,1
dm12279_High_vs_dm12272_High_01h,FBgn0035763,3,3,100,120,69,148,153,146,0.7612456747404841,0.7612456747404841,0.67337807606264,0.67337807606264,0.4571,0.4545,0.4484,0.3581,0.5399,0.2551,0,0.4917,0.4935,0.4176,0.5705,0.852,0,1.115,1.0163,1
dm12279_High_vs_dm12272_High_01h,FBgn0025700,3,3,158,160,3,264,266,70,0.990654205607477,0.990654205607477,0.883333333333333,0.883333333333333,0.9487,0.4969,0.5058,0.4173,0.5956,0.8953,0,0.4981,0.5016,0.4263,0.574,0.9567,0,0.9924,0.9996,1
dm12279_High_vs_dm12272_High_01h,FBgn0036030,3,3,181,209,596,450,509,1098,0.395537525354969,0.395537525354969,0.466212931453573,0.466212931453573,0.9473,0.4641,0.4673,0.3513,0.5855,0.5502,0,0.4692,0.4724,0.3754,0.5727,0.5607,0,1.0761,1.0628,1
dm12279_High_vs_dm12272_High_01h,FBgn0001124,3,3,209,190,186,348,291,225,0.682051282051282,0.682051282051282,0.739583333333333,0.739583333333333,0.7591,0.5238,0.5273,0.4508,0.6038,0.4796,0,0.5446,0.5426,0.4745,0.609,0.2031,0,0.9495,0.9199,1
dm12279_High_vs_dm12272_High_01h,FBgn0001128,3,3,549,1013,748,1345,1065,855,0.6761904761904761,0.6761904761904761,0.7381316998468609,0.7381316998468609,0.0633,0.3515,0.3778,0.267,0.5126,0.0738,0,0.5581,0.5475,0.4302,0.6555,0.3976,0,1.3002,0.9144,1
dm12279_High_vs_dm12272_High_01h,FBgn0032350,3,3,389,335,26,801,388,185,0.9653333333333329,0.9653333333333329,0.8653566229985441,0.8653566229985441,0.0327,0.5373,0.5475,0.4724,0.6229,0.1987,0,0.6737,0.6583,0.5903,0.7138,0.0002,1,0.9112,0.7211,1
dm12279_High_vs_dm12272_High_01h,FBgn0002789,3,3,1698,1658,2134,3480,3616,3029,0.611293260473588,0.611293260473588,0.70083950617284,0.70083950617284,0.8958,0.506,0.5077,0.3322,0.6754,0.9176,0,0.4904,0.4935,0.3421,0.6457,0.9371,0,1.0011,1.0265,1
dm12279_High_vs_dm12272_High_01h,FBgn0046302,3,3,71,95,10,129,129,40,0.943181818181818,0.943181818181818,0.8657718120805369,0.8657718120805369,0.3571,0.4277,0.4409,0.3527,0.5339,0.1987,0,0.5,0.499,0.4162,0.5825,0.988,0,1.1323,1.0059,1
