comparison,FEATURE_ID,dm11037_38d_num_reps,counts_dm11037_38d_g1,counts_dm11037_38d_g2,counts_dm11037_38d_both,prior_dm11037_38d_g1,prior_dm11037_38d_g2,H3_independence_Bayes_evidence,dm11037_38d_sampleprop,dm11037_38d_theta,dm11037_38d_q025,dm11037_38d_q975,dm11037_38d_Bayes_evidence,dm11037_38d_AI_decision,alpha1_postmean,flaganalyze
dm11037_38d,FBgn0027562,3,48,25,40,0.6460176991150439,0.6460176991150439,NA,0.6575,0.6076,0.4753,0.7251,0.1028,0,0.8079999999999999,1
dm11037_38d,FBgn0027563,3,172,130,472,0.39018087855297207,0.39018087855297207,NA,0.5695,0.5626,0.4834,0.6387,0.1168,0,0.8839,1
dm11037_38d,FBgn0027560,3,1460,3236,22977,0.169696093665305,0.169696093665305,NA,0.3109,0.3321,0.2778,0.3977,0.0003,1,1.4237,1
dm11037_38d,FBgn0027561,3,69,122,122,0.610223642172524,0.610223642172524,NA,0.3613,0.3824,0.2984,0.47600000000000003,0.017,1,1.2795,1
dm11037_38d,FBgn0036173,3,433,198,301,0.6770386266094421,0.6770386266094421,NA,0.6862,0.6746,0.6058,0.7331,0.0002,1,0.6951,1
dm11037_38d,FBgn0027567,3,252,243,187,0.7258064516129029,0.7258064516129029,NA,0.5091,0.5082,0.4367,0.5794,0.8114,0,0.9862,1
dm11037_38d,FBgn0027564,3,20,42,58,0.516666666666667,0.516666666666667,NA,0.3226,0.3721,0.2654,0.4918,0.0372,1,1.3143,1
dm11037_38d,FBgn0027565,3,127,125,28,0.9,0.9,NA,0.504,0.5023,0.4191,0.5847,0.9513,0,0.9989,1
dm11037_38d,FBgn0027568,3,44,55,108,0.4782608695652171,0.4782608695652171,NA,0.4444,0.4549,0.3536,0.5597,0.3902,0,1.1021,1
dm11037_38d,FBgn0027569,3,32,55,90,0.49152542372881397,0.49152542372881397,NA,0.3678,0.3994,0.2887,0.5219,0.1015,0,1.2399,1
dm11037_38d,FBgn0010434,3,121,131,374,0.402555910543131,0.402555910543131,NA,0.4802,0.4883,0.4049,0.573,0.7784,0,1.0276,1
dm11037_38d,FBgn0010435,3,1457,1471,565,0.838247924420269,0.838247924420269,NA,0.4976,0.4965,0.4208,0.5731,0.9205,0,1.01,1
dm11037_38d,FBgn0259482,3,218,159,11,0.971649484536082,0.971649484536082,NA,0.5782,0.5695,0.4853,0.6482,0.0942,0,0.8717,1
dm11037_38d,FBgn0085212,3,144,18,285,0.36241610738255003,0.36241610738255003,NA,0.8889,0.8263,0.7356,0.8878,0.0004,1,0.4574,1
dm11037_38d,FBgn0266101,3,48,46,90,0.5108695652173909,0.5108695652173909,NA,0.5106,0.5098,0.3952,0.6244,0.8645,0,0.9872,1
dm11037_38d,FBgn0033434,3,108,166,173,0.612975391498881,0.612975391498881,NA,0.3942,0.4073,0.3301,0.4913,0.0323,1,1.2122,1
dm11037_38d,FBgn0040752,3,201,195,139,0.7401869158878499,0.7401869158878499,NA,0.5076,0.5072,0.4263,0.5869,0.8507,0,0.9889,1
dm11037_38d,FBgn0038244,3,24,50,98,0.430232558139535,0.430232558139535,NA,0.3243,0.3671,0.2608,0.4858,0.0298,1,1.3288,1
dm11037_38d,FBgn0038243,3,40,55,1468,0.0607805502239283,0.0607805502239283,NA,0.4211,0.4458,0.3352,0.5628,0.349,0,1.1246,1
dm11037_38d,FBgn0032864,3,465,500,12,0.987717502558854,0.987717502558854,NA,0.4819,0.48200000000000004,0.4063,0.5591,0.6146,0,1.0401,1
dm11037_38d,FBgn0033574,3,40,8,23,0.676056338028169,0.676056338028169,NA,0.8333,0.7267,0.5985,0.8314,0.0023,1,0.614,1
dm11037_38d,FBgn0036373,3,67,59,60,0.67741935483871,0.67741935483871,NA,0.5317,0.5311,0.4266,0.6346,0.5537,0,0.9443,1
dm11037_38d,FBgn0051908,3,214,217,21,0.9535398230088499,0.9535398230088499,NA,0.4965,0.4964,0.4233,0.57,0.9195,0,1.0101,1
dm11037_38d,FBgn0005617,3,47,55,53,0.658064516129032,0.658064516129032,NA,0.4608,0.457,0.3427,0.5748,0.4583,0,1.0992,1
dm11037_38d,FBgn0261373,3,88,66,34,0.8191489361702131,0.8191489361702131,NA,0.5714,0.5412,0.418,0.6563,0.4783,0,0.9266,1
