comparison,FEATURE_ID,dm12272_38d_num_reps,dm11255_38d_num_reps,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,counts_dm11255_38d_g1,counts_dm11255_38d_g2,counts_dm11255_38d_both,prior_dm12272_38d_g1,prior_dm12272_38d_g2,prior_dm11255_38d_g1,prior_dm11255_38d_g2,H3_independence_Bayes_evidence,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,dm11255_38d_sampleprop,dm11255_38d_theta,dm11255_38d_q025,dm11255_38d_q975,dm11255_38d_Bayes_evidence,dm11255_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12272_High_vs_dm11255_Low_38d,FBgn0027562,3,3,59,62,40,64,32,53,0.751552795031056,0.751552795031056,0.644295302013423,0.644295302013423,0.0631,0.4876,0.4889,0.3896,0.5894,0.8320000000000001,0,0.6667,0.6311,0.5195,0.7304,0.0202,1,1.028,0.767,1
dm12272_High_vs_dm11255_Low_38d,FBgn0027563,3,3,440,306,21,444,379,34,0.972620599739244,0.972620599739244,0.960326721120187,0.960326721120187,0.3324,0.5898,0.5795,0.5145,0.6409999999999999,0.02,1,0.5395,0.5369,0.4738,0.5978,0.24,0,0.8531,0.9303,1
dm12272_High_vs_dm11255_Low_38d,FBgn0027560,3,3,10376,10553,707,2012,2387,24961,0.9673229802181551,0.9673229802181551,0.149829700272479,0.149829700272479,0.5693,0.4958,0.4964,0.3933,0.6017,0.9456,0,0.4574,0.4531,0.3475,0.5670000000000001,0.3904,0,1.013,1.1069,1
dm12272_High_vs_dm11255_Low_38d,FBgn0027561,3,3,101,149,137,147,157,159,0.645994832041344,0.645994832041344,0.65658747300216,0.65658747300216,0.2764,0.40399999999999997,0.4169,0.3386,0.4996,0.0484,1,0.4836,0.4801,0.3993,0.5607,0.6144,0,1.1884,1.0445,1
dm12272_High_vs_dm11255_Low_38d,FBgn0036173,3,3,371,237,305,907,8,294,0.665936473165389,0.665936473165389,0.75682382133995,0.75682382133995,0.2122,0.6102,0.5373,0.3455,0.7170000000000001,0.6998,0,0.9913,0.713,0.4785,0.8931,0.0744,0,0.9447,0.6388,1
dm12272_High_vs_dm11255_Low_38d,FBgn0027565,3,3,129,142,20,178,206,31,0.93127147766323,0.93127147766323,0.9253012048192769,0.9253012048192769,0.7349,0.47600000000000003,0.4805,0.3987,0.5623,0.6329,0,0.4635,0.462,0.3837,0.5395,0.3247,0,1.0437,1.0831,1
dm12272_High_vs_dm11255_Low_38d,FBgn0027569,3,3,44,67,91,73,65,119,0.54950495049505,0.54950495049505,0.5369649805447471,0.5369649805447471,0.146,0.3964,0.4189,0.319,0.5237,0.1224,0,0.529,0.5259,0.4249,0.6233,0.6062,0,1.1868,0.9541,1
dm12272_High_vs_dm11255_Low_38d,FBgn0010434,3,3,110,2,594,167,145,468,0.158640226628895,0.158640226628895,0.4,0.4,0.0064,0.9821,0.8367,0.6970000000000001,0.9076,0.0018,1,0.5353,0.5301,0.4101,0.6413,0.5744,0,0.4397,0.9474,1
dm12272_High_vs_dm11255_Low_38d,FBgn0010435,3,3,1534,1646,437,1640,1579,963,0.8791816422449541,0.8791816422449541,0.769727403156385,0.769727403156385,0.6462,0.4824,0.4866,0.4184,0.5581,0.6769,0,0.5095,0.5088,0.4378,0.5805,0.7978,0,1.0298,0.985,1
dm12272_High_vs_dm11255_Low_38d,FBgn0085212,3,3,211,224,10,189,19,232,0.9775280898876401,0.9775280898876401,0.47272727272727294,0.47272727272727294,0.0049,0.4851,0.4903,0.3778,0.6106,0.8509,0,0.9087,0.8128,0.6797,0.8864,0.0009,1,1.0272,0.4787,1
dm12272_High_vs_dm11255_Low_38d,FBgn0033439,3,3,69,19,14,50,37,3,0.862745098039216,0.862745098039216,0.966666666666667,0.966666666666667,0.0431,0.7841,0.7202,0.606,0.8109,0.0011,1,0.5747,0.5593,0.4429,0.6674,0.3011,0,0.6241,0.8926,1
dm12272_High_vs_dm11255_Low_38d,FBgn0040752,3,3,281,308,121,371,340,239,0.8295774647887321,0.8295774647887321,0.748421052631579,0.748421052631579,0.6678,0.4771,0.4828,0.3889,0.5803,0.7156,0,0.5218,0.5111,0.4182,0.6036,0.8038,0,1.0404,0.9822,1
dm12272_High_vs_dm11255_Low_38d,FBgn0038243,3,3,55,42,1654,33,37,1569,0.0553969160479725,0.0553969160479725,0.0427089688834655,0.0427089688834655,0.3276,0.5670000000000001,0.5547,0.4487,0.6579,0.3064,0,0.4714,0.4786,0.364,0.5933,0.7133,0,0.9002,1.0519,1
dm12272_High_vs_dm11255_Low_38d,FBgn0032864,3,3,406,498,3,368,514,419,0.996692392502756,0.996692392502756,0.67794004611837,0.67794004611837,0.4893,0.4491,0.4609,0.3795,0.5456,0.3189,0,0.4172,0.4219,0.3389,0.5114,0.0789,0,1.0859,1.1766,1
dm12272_High_vs_dm11255_Low_38d,FBgn0033574,3,3,62,27,17,58,42,16,0.8396226415094341,0.8396226415094341,0.8620689655172409,0.8620689655172409,0.3271,0.6966,0.6396,0.5178,0.7444,0.0282,1,0.58,0.5606,0.4441,0.6732,0.3013,0,0.7534,0.8903,1
dm12272_High_vs_dm11255_Low_38d,FBgn0051908,3,3,250,7,220,223,268,11,0.5387840670859539,0.5387840670859539,0.97808764940239,0.97808764940239,0.0213,0.9728,0.8203,0.6017,0.9202,0.0082,1,0.4542,0.466,0.3343,0.6157,0.5631,0,0.4644,1.0824,1
dm12272_High_vs_dm11255_Low_38d,FBgn0051901,3,3,77,72,7,49,17,10,0.955128205128205,0.955128205128205,0.8684210526315791,0.8684210526315791,0.0889,0.5168,0.5176,0.4048,0.6288,0.7378,0,0.7424,0.6641,0.5359,0.7747,0.0124,1,0.9712,0.7136,1
dm12272_High_vs_dm11255_Low_38d,FBgn0261373,3,3,101,75,42,109,98,56,0.807339449541284,0.807339449541284,0.7870722433460079,0.7870722433460079,0.7911,0.5739,0.5517,0.4514,0.6479,0.308,0,0.5266,0.5338,0.4361,0.6323,0.4996,0,0.9052,0.9388,1
dm12272_High_vs_dm11255_Low_38d,FBgn0035876,3,3,344,10,176,267,277,46,0.6679245283018871,0.6679245283018871,0.922033898305085,0.922033898305085,0.024,0.9718,0.8349,0.6032,0.9364,0.0078,1,0.4908,0.504,0.3685,0.6374,0.9436,0,0.4392,1.0012,1
dm12272_High_vs_dm11255_Low_38d,FBgn0035872,3,3,73,70,188,106,131,225,0.43202416918428993,0.43202416918428993,0.512987012987013,0.512987012987013,0.4953,0.5105,0.499,0.3784,0.6237,0.9851,0,0.4473,0.4418,0.3253,0.5612,0.3229,0,1.0103,1.1346,1
dm12272_High_vs_dm11255_Low_38d,FBgn0035871,3,3,1159,1229,421,1134,1587,115,0.850124599501602,0.850124599501602,0.9594499294781379,0.9594499294781379,0.48200000000000004,0.4853,0.4849,0.3755,0.5937,0.7791,0,0.4168,0.4338,0.3326,0.545,0.2193,0,1.0374,1.1512,1
dm12272_High_vs_dm11255_Low_38d,FBgn0028648,3,3,152,149,30,195,213,51,0.909365558912387,0.909365558912387,0.8888888888888891,0.8888888888888891,0.7269,0.505,0.5015,0.4065,0.5969,0.9664,0,0.4779,0.4795,0.3844,0.5748,0.6544,0,1.0018,1.0471,1
dm12272_High_vs_dm11255_Low_38d,FBgn0032479,3,3,103,93,173,102,107,252,0.531165311653117,0.531165311653117,0.45336225596529295,0.45336225596529295,0.7484,0.5255,0.5103,0.3763,0.6425,0.8727,0,0.488,0.4809,0.3425,0.623,0.7762,0,0.9886,1.0509,1
dm12272_High_vs_dm11255_Low_38d,FBgn0032476,3,3,44,72,13,71,82,12,0.8992248062015501,0.8992248062015501,0.927272727272727,0.927272727272727,0.3762,0.3793,0.4031,0.3059,0.5123,0.0764,0,0.4641,0.4679,0.368,0.5720000000000001,0.5384,0,1.2271,1.0731,1
dm12272_High_vs_dm11255_Low_38d,FBgn0032475,3,3,64,88,25,68,75,48,0.858757062146893,0.858757062146893,0.74869109947644,0.74869109947644,0.5393,0.4211,0.43799999999999994,0.3448,0.5378,0.2098,0,0.4755,0.4799,0.3813,0.5787,0.6822,0,1.1399,1.047,1
dm12272_High_vs_dm11255_Low_38d,FBgn0032472,3,3,2448,2575,31,4367,4828,126,0.993866244558765,0.993866244558765,0.9864821371097522,0.9864821371097522,0.7067,0.4874,0.4892,0.4399,0.5397,0.64,0,0.4749,0.4767,0.4293,0.5257,0.3113,0,1.0232,1.0490000000000002,1
