comparison,FEATURE_ID,dm12279_38d_num_reps,dm12272_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_38d,FBgn0083962,3,3,86,103,124,79,86,52,0.603833865814696,0.603833865814696,0.76036866359447,0.76036866359447,0.7011,0.455,0.45799999999999996,0.3688,0.5458,0.3393,0,0.4788,0.4818,0.3899,0.5735,0.6944,0,1.0931,1.042,1
dm12279_High_vs_dm12272_High_38d,FBgn0032454,3,3,34,26,82,44,33,34,0.422535211267606,0.422535211267606,0.693693693693694,0.693693693693694,0.9669,0.5667,0.5529,0.4239,0.6726,0.4127,0,0.5714,0.556,0.44299999999999995,0.6667,0.3258,0,0.9055,0.8984,1
dm12279_High_vs_dm12272_High_38d,FBgn0036039,3,3,46,51,11,36,35,2,0.8981481481481479,0.8981481481481479,0.972602739726027,0.972602739726027,0.7562,0.4742,0.4807,0.3688,0.5934,0.7431,0,0.507,0.5067,0.3928,0.62,0.9113,0,1.047,0.9936,1
dm12279_High_vs_dm12272_High_38d,FBgn0032455,3,3,167,193,241,249,224,45,0.599001663893511,0.599001663893511,0.913127413127413,0.913127413127413,0.3204,0.4639,0.4589,0.3821,0.5372,0.2947,0,0.5264,0.5139,0.4358,0.589,0.7042,0,1.0899,0.9755,1
dm12279_High_vs_dm12272_High_38d,FBgn0036032,3,3,88,62,286,46,78,213,0.34403669724770597,0.34403669724770597,0.367952522255193,0.367952522255193,0.0122,0.5867,0.5773,0.4814,0.6664,0.102,0,0.371,0.3992,0.308,0.4965,0.0404,1,0.8585,1.2354,1
dm12279_High_vs_dm12272_High_38d,FBgn0036030,3,3,3290,3844,2183,1625,1918,953,0.765697112804551,0.765697112804551,0.788033807829182,0.788033807829182,0.9262,0.4612,0.4638,0.39,0.5394,0.3342,0,0.4587,0.4595,0.3872,0.5352,0.2744,0,1.0787,1.0881,1
dm12279_High_vs_dm12272_High_38d,FBgn0036035,3,3,154,151,14,144,142,14,0.956112852664577,0.956112852664577,0.953333333333333,0.953333333333333,0.8818,0.5049,0.5196,0.4259,0.614,0.6698,0,0.5035,0.5105,0.4202,0.601,0.8113,0,0.9657,0.9834,1
dm12279_High_vs_dm12272_High_38d,FBgn0040475,3,3,68,34,388,68,64,302,0.208163265306123,0.208163265306123,0.30414746543778803,0.30414746543778803,0.0733,0.6667,0.6389,0.5391,0.7313,0.0096,1,0.5152,0.5129,0.4179,0.6086,0.7878,0,0.7537,0.9790000000000001,1
dm12279_High_vs_dm12272_High_38d,FBgn0001124,3,3,2463,2021,790,1536,1208,416,0.8502085703450891,0.8502085703450891,0.868354430379747,0.868354430379747,0.6462,0.5493,0.5455,0.4946,0.5951,0.07200000000000001,0,0.5598,0.5616,0.507,0.6123,0.0264,1,0.9138,0.8845,1
dm12279_High_vs_dm12272_High_38d,FBgn0001122,3,3,397,398,166,142,253,322,0.827263267429761,0.827263267429761,0.550906555090656,0.550906555090656,0.0153,0.4994,0.5022,0.4383,0.5667,0.9442,0,0.3595,0.3751,0.3093,0.4484,0.0018,1,0.9976,1.296,1
dm12279_High_vs_dm12272_High_38d,FBgn0001123,3,3,180,51,397,163,115,246,0.36783439490445896,0.36783439490445896,0.5305343511450379,0.5305343511450379,0.0093,0.7792,0.7394,0.649,0.8094,0.0002,1,0.5863,0.5686,0.4737,0.6576,0.1504,0,0.5939,0.8741,1
dm12279_High_vs_dm12272_High_38d,FBgn0001128,3,3,7032,12050,3458,8355,2870,2409,0.8465838509316771,0.8465838509316771,0.8233093736247622,0.8233093736247622,0.0,0.3685,0.3721,0.3273,0.4195,0.0,1,0.7443,0.7323,0.6882,0.7688,0.0,1,1.3014,0.6047,1
dm12279_High_vs_dm12272_High_38d,FBgn0004449,3,3,51,53,413,28,43,226,0.201160541586073,0.201160541586073,0.239057239057239,0.239057239057239,0.3982,0.4904,0.4912,0.3888,0.5976,0.8696,0,0.3944,0.4252,0.3188,0.5406,0.1918,0,1.0239,1.173,1
dm12279_High_vs_dm12272_High_38d,FBgn0003870,3,3,52,29,430,45,32,297,0.158512720156556,0.158512720156556,0.20588235294117604,0.20588235294117604,0.4218,0.642,0.6212,0.5061,0.7265,0.0416,1,0.5844,0.5589999999999999,0.4523,0.6612,0.2787,0,0.7838,0.8923,1
dm12279_High_vs_dm12272_High_38d,FBgn0250867,3,3,95,66,66,40,52,43,0.709251101321586,0.709251101321586,0.6814814814814809,0.6814814814814809,0.1116,0.5901,0.5708,0.47,0.6634,0.1569,0,0.4348,0.4483,0.3419,0.5599,0.3602,0,0.8704,1.1184,1
dm12279_High_vs_dm12272_High_38d,FBgn0036545,3,3,89,92,218,99,81,132,0.45363408521303294,0.45363408521303294,0.576923076923077,0.576923076923077,0.4576,0.4917,0.4916,0.3992,0.5863,0.8593,0,0.55,0.5398,0.4475,0.6279,0.3953,0,1.0217,0.9267,1
