comparison,FEATURE_ID,dm12272_01h_num_reps,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,flaganalyze
dm12272_01h,FBgn0014930,3,78,93,85,0.66796875,0.66796875,NA,0.4561,0.4591,0.3679,0.5529,0.3823,0,1.0913,1
dm12272_01h,FBgn0027562,3,25,19,15,0.7457627118644069,0.7457627118644069,NA,0.5682,0.5471,0.4125,0.6768,0.4883,0,0.9171,1
dm12272_01h,FBgn0027563,3,47,25,5,0.935064935064935,0.935064935064935,NA,0.6528,0.6145,0.4935,0.7243,0.0623,0,0.7955,1
dm12272_01h,FBgn0027560,3,1232,1291,109,0.9585866261398179,0.9585866261398179,NA,0.4883,0.4883,0.4307,0.5468,0.6628,0,1.0256,1
dm12272_01h,FBgn0027561,3,30,95,147,0.4595588235294121,0.4595588235294121,NA,0.24,0.2967,0.2062,0.4141,0.005,1,1.5618,1
dm12272_01h,FBgn0036173,3,134,65,124,0.61609907120743,0.61609907120743,NA,0.6734,0.65,0.563,0.7275,0.0019,1,0.7351,1
dm12272_01h,FBgn0027567,3,52,42,58,0.618421052631579,0.618421052631579,NA,0.5532,0.54,0.4212,0.6536,0.4946,0,0.9287,1
dm12272_01h,FBgn0027565,3,30,28,7,0.892307692307692,0.892307692307692,NA,0.5172,0.5125,0.3893,0.6349,0.8407,0,0.983,1
dm12272_01h,FBgn0010435,3,449,447,349,0.7196787148594379,0.7196787148594379,NA,0.5011,0.5014,0.4364,0.5665,0.9663,0,0.9994,1
dm12272_01h,FBgn0259482,3,54,29,3,0.9651162790697679,0.9651162790697679,NA,0.6506,0.6146,0.4964,0.7211,0.0568,0,0.7952,1
dm12272_01h,FBgn0033437,3,146,74,35,0.862745098039216,0.862745098039216,NA,0.6636,0.6434,0.5588,0.7192,0.0031,1,0.7458,1
dm12272_01h,FBgn0033439,3,55,33,28,0.7586206896551719,0.7586206896551719,NA,0.625,0.5988,0.484,0.7041,0.0878,0,0.8221,1
dm12272_01h,FBgn0040752,3,41,16,21,0.7307692307692311,0.7307692307692311,NA,0.7193,0.657,0.5323,0.7666,0.0161,1,0.7251,1
dm12272_01h,FBgn0040754,3,195,185,16,0.9595959595959599,0.9595959595959599,NA,0.5132,0.5099,0.43200000000000005,0.5877,0.7964,0,0.9834,1
dm12272_01h,FBgn0040759,3,39,64,31,0.76865671641791,0.76865671641791,NA,0.3786,0.4051,0.3025,0.5165,0.0926,0,1.2227,1
dm12272_01h,FBgn0032864,3,87,80,9,0.9488636363636359,0.9488636363636359,NA,0.521,0.5178,0.4228,0.6107,0.6998,0,0.9692,1
dm12272_01h,FBgn0051908,3,59,1,81,0.425531914893617,0.425531914893617,NA,0.9833,0.812,0.5862,0.9088,0.0163,1,0.4795,1
dm12272_01h,FBgn0051901,3,75,75,2,0.986842105263158,0.986842105263158,NA,0.5,0.4998,0.4041,0.5954,0.9963,0,1.0053,1
dm12272_01h,FBgn0033081,3,45,32,90,0.46107784431137705,0.46107784431137705,NA,0.5844,0.5660000000000001,0.4507,0.6757,0.2542,0,0.8802,1
