comparison,FEATURE_ID,dm11255_01h_num_reps,dm11255_38d_num_reps,counts_dm11255_01h_g1,counts_dm11255_01h_g2,counts_dm11255_01h_both,counts_dm11255_38d_g1,counts_dm11255_38d_g2,counts_dm11255_38d_both,prior_dm11255_01h_g1,prior_dm11255_01h_g2,prior_dm11255_38d_g1,prior_dm11255_38d_g2,H3_independence_Bayes_evidence,dm11255_01h_sampleprop,dm11255_01h_theta,dm11255_01h_q025,dm11255_01h_q975,dm11255_01h_Bayes_evidence,dm11255_01h_AI_decision,dm11255_38d_sampleprop,dm11255_38d_theta,dm11255_38d_q025,dm11255_38d_q975,dm11255_38d_Bayes_evidence,dm11255_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm11255_01h_vs_dm11255_38d,FBgn0027560,3,3,43,77,1730,2012,2387,24961,0.0648648648648648,0.0648648648648648,0.149829700272479,0.149829700272479,0.6249,0.3583,0.4082,0.2562,0.5817,0.272,0,0.4574,0.462,0.3142,0.6168,0.6104,0,1.2294,1.0945,1
dm11255_01h_vs_dm11255_38d,FBgn0027561,3,3,37,54,101,147,157,159,0.4739583333333329,0.4739583333333329,0.65658747300216,0.65658747300216,0.5609,0.4066,0.4339,0.312,0.5629,0.2896,0,0.4836,0.4805,0.3732,0.5913,0.706,0,1.1544,1.0465,1
dm11255_01h_vs_dm11255_38d,FBgn0036173,3,3,101,1,89,907,8,294,0.534031413612565,0.534031413612565,0.75682382133995,0.75682382133995,0.7064,0.9902,0.5693,0.337,0.7802,0.5462,0,0.9913,0.6254,0.3845,0.8256,0.3067,0,0.8893,0.7878,1
dm11255_01h_vs_dm11255_38d,FBgn0010435,3,3,218,200,254,1640,1579,963,0.6220238095238101,0.6220238095238101,0.769727403156385,0.769727403156385,0.946,0.5215,0.5121,0.4367,0.585,0.7424,0,0.5095,0.5087,0.4498,0.5671,0.7549,0,0.9787,0.9844,1
dm11255_01h_vs_dm11255_38d,FBgn0036116,3,3,49,35,10,136,132,20,0.8936170212765959,0.8936170212765959,0.930555555555556,0.930555555555556,0.3384,0.5833,0.5642,0.446,0.6751,0.2642,0,0.5075,0.4924,0.3967,0.5870000000000001,0.8749,0,0.8836,1.0203,1
dm11255_01h_vs_dm11255_38d,FBgn0033439,3,3,87,45,4,50,37,3,0.970588235294118,0.970588235294118,0.966666666666667,0.966666666666667,0.2982,0.6591,0.6374,0.5338,0.7308,0.0142,1,0.5747,0.5588,0.4413,0.6701,0.31,0,0.7563,0.8935,1
dm11255_01h_vs_dm11255_38d,FBgn0051901,3,3,45,7,5,49,17,10,0.912280701754386,0.912280701754386,0.8684210526315791,0.8684210526315791,0.4004,0.8654,0.7468,0.6258,0.8432,0.0007,1,0.7424,0.6815,0.552,0.7879,0.01,1,0.5824,0.6856,1
dm11255_01h_vs_dm11255_38d,FBgn0035876,3,3,28,22,8,267,277,46,0.8620689655172409,0.8620689655172409,0.922033898305085,0.922033898305085,0.6438,0.56,0.5421,0.4119,0.6693,0.5218,0,0.4908,0.507,0.4259,0.5901,0.8607,0,0.9259999999999999,0.9896,1
dm11255_01h_vs_dm11255_38d,FBgn0035871,3,3,112,146,29,1134,1587,115,0.898954703832753,0.898954703832753,0.9594499294781379,0.9594499294781379,0.8287,0.4341,0.4557,0.336,0.5826,0.486,0,0.4168,0.4363,0.3256,0.5576,0.2793,0,1.1038,1.1473,1
dm11255_01h_vs_dm11255_38d,FBgn0032472,3,3,148,99,4,4367,4828,126,0.98406374501992,0.98406374501992,0.9864821371097522,0.9864821371097522,0.0464,0.5992,0.581,0.4951,0.6609,0.0624,0,0.4749,0.4767,0.4201,0.5327,0.3931,0,0.8515,1.0497,1
