comparison,FEATURE_ID,dm12279_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,alpha1_postmean,flaganalyze
dm12279_01h,FBgn0000044,3,1451,1373,1246,0.693857493857494,0.693857493857494,NA,0.5138,0.5107,0.3223,0.6965,0.9095,0,0.9981,1
dm12279_01h,FBgn0010611,3,61,75,9,0.937931034482759,0.937931034482759,NA,0.4485,0.461,0.3596,0.5658,0.449,0,1.0885,1
dm12279_01h,FBgn0050016,3,50,131,6,0.9679144385026741,0.9679144385026741,NA,0.2762,0.3101,0.2269,0.4121,0.0032,1,1.5072,1
dm12279_01h,FBgn0053281,3,249,233,39,0.925143953934741,0.925143953934741,NA,0.5166,0.5011,0.4075,0.5902,0.9661,0,1.0022,1
dm12279_01h,FBgn0039031,3,114,108,68,0.76551724137931,0.76551724137931,NA,0.5135,0.5153,0.4082,0.6232,0.7666,0,0.9754,1
dm12279_01h,FBgn0016120,3,970,887,333,0.8479452054794521,0.8479452054794521,NA,0.5223,0.5218,0.3709,0.6654,0.7614,0,0.9679,1
dm12279_01h,FBgn0261602,3,1581,2873,191,0.9588805166846072,0.9588805166846072,NA,0.355,0.3341,0.2657,0.4204,0.0033,1,1.4204,1
dm12279_01h,FBgn0033570,3,407,436,104,0.8901795142555441,0.8901795142555441,NA,0.4828,0.4752,0.3865,0.5652,0.5559,0,1.0556,1
dm12279_01h,FBgn0034276,3,21,49,3,0.9589041095890408,0.9589041095890408,NA,0.3,0.3499,0.2442,0.4693,0.0159,1,1.3809,1
dm12279_01h,FBgn0034275,3,68,143,34,0.861224489795918,0.861224489795918,NA,0.3223,0.3423,0.2608,0.4358,0.0035,1,1.3973,1
dm12279_01h,FBgn0036213,3,2807,2859,1006,0.8492206235011991,0.8492206235011991,NA,0.4954,0.4961,0.3668,0.6272,0.9512,0,1.0170000000000001,1
dm12279_01h,FBgn0001092,3,904,1696,636,0.8034610630407909,0.8034610630407909,NA,0.3477,0.3637,0.2767,0.4776,0.0245,1,1.3344,1
dm12279_01h,FBgn0038126,3,363,216,287,0.668591224018476,0.668591224018476,NA,0.6269,0.5945,0.4699,0.7015,0.1216,0,0.8299,1
dm12279_01h,FBgn0032835,3,654,509,6,0.9948674080410609,0.9948674080410609,NA,0.5623,0.5676,0.4838,0.6463,0.1001,0,0.8751,1
dm12279_01h,FBgn0039359,3,2986,3224,1634,0.7916879143294241,0.7916879143294241,NA,0.4808,0.4873,0.3167,0.6622,0.8845,0,1.044,1
