comparison,FEATURE_ID,dm12272_38d_num_reps,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,flaganalyze
dm12272_38d,FBgn0032455,3,249,224,45,0.913127413127413,0.913127413127413,NA,0.5264,0.5141,0.4342,0.5914,0.7072,0,0.9752,1
dm12272_38d,FBgn0036032,3,46,78,213,0.367952522255193,0.367952522255193,NA,0.371,0.3961,0.2999,0.5011,0.0522,0,1.2448,1
dm12272_38d,FBgn0036030,3,1625,1918,953,0.788033807829182,0.788033807829182,NA,0.4587,0.4605,0.3798,0.5458,0.3202,0,1.0869,1
dm12272_38d,FBgn0036035,3,144,142,14,0.953333333333333,0.953333333333333,NA,0.5035,0.51,0.4176,0.6023,0.8222,0,0.9843,1
dm12272_38d,FBgn0040475,3,68,64,302,0.30414746543778803,0.30414746543778803,NA,0.5152,0.5132,0.4137,0.6118,0.7922,0,0.9788,1
dm12272_38d,FBgn0001124,3,1536,1208,416,0.868354430379747,0.868354430379747,NA,0.5598,0.5615,0.5025,0.6169,0.0426,1,0.8848,1
dm12272_38d,FBgn0001122,3,142,253,322,0.550906555090656,0.550906555090656,NA,0.3595,0.3736,0.3042,0.4516,0.0047,1,1.301,1
dm12272_38d,FBgn0001123,3,163,115,246,0.5305343511450379,0.5305343511450379,NA,0.5863,0.5641,0.45,0.6679999999999999,0.2442,0,0.8833,1
dm12272_38d,FBgn0001128,3,8355,2870,2409,0.8233093736247622,0.8233093736247622,NA,0.7443,0.7329,0.6845,0.7709999999999999,0.0,1,0.6037,1
dm12272_38d,FBgn0004449,3,28,43,226,0.239057239057239,0.239057239057239,NA,0.3944,0.4216,0.31,0.5402,0.1897,0,1.1829,1
dm12272_38d,FBgn0003870,3,45,32,297,0.20588235294117604,0.20588235294117604,NA,0.5844,0.563,0.4416,0.6774,0.2955,0,0.8862,1
dm12272_38d,FBgn0250867,3,40,52,43,0.6814814814814809,0.6814814814814809,NA,0.4348,0.4467,0.3377,0.561,0.34600000000000003,0,1.1222,1
dm12272_38d,FBgn0036545,3,99,81,132,0.576923076923077,0.576923076923077,NA,0.55,0.5411,0.4434,0.6343,0.3892,0,0.9248,1
dm12272_38d,FBgn0036018,3,53,61,74,0.606382978723404,0.606382978723404,NA,0.4649,0.4683,0.3646,0.5739,0.5487,0,1.0726,1
dm12272_38d,FBgn0037012,3,45,44,73,0.5493827160493829,0.5493827160493829,NA,0.5056,0.5055,0.3922,0.6186,0.9212,0,0.9956,1
dm12272_38d,FBgn0039590,3,60,54,15,0.8837209302325579,0.8837209302325579,NA,0.5263,0.5215,0.4162,0.6253,0.6837,0,0.963,1
dm12272_38d,FBgn0051040,3,201,107,3,0.990353697749196,0.990353697749196,NA,0.6526,0.6345,0.5497,0.7087,0.0045,1,0.7604,1
dm12272_38d,FBgn0032358,3,333,434,20,0.9745870393900891,0.9745870393900891,NA,0.4342,0.4401,0.3679,0.5169,0.1127,0,1.1320000000000001,1
dm12272_38d,FBgn0039873,3,452,330,18,0.9775,0.9775,NA,0.578,0.5715,0.4862,0.6491,0.0889,0,0.8682,1
dm12272_38d,FBgn0039872,3,182,139,283,0.531456953642384,0.531456953642384,NA,0.5670000000000001,0.5589999999999999,0.4615,0.6504,0.2124,0,0.8916,1
dm12272_38d,FBgn0032350,3,3637,2831,480,0.930915371329879,0.930915371329879,NA,0.5623,0.5521,0.4565,0.64,0.2477,0,0.9039,1
dm12272_38d,FBgn0039876,3,60,81,19,0.88125,0.88125,NA,0.4255,0.4361,0.3423,0.5347,0.19399999999999998,0,1.1443,1
dm12272_38d,FBgn0039875,3,65,50,332,0.25727069351230397,0.25727069351230397,NA,0.5652,0.551,0.4315,0.6636,0.3832,0,0.9079999999999999,1
dm12272_38d,FBgn0035959,3,62,75,505,0.213395638629283,0.213395638629283,NA,0.4526,0.4595,0.3554,0.5681,0.4502,0,1.0922,1
dm12272_38d,FBgn0287828,3,52,73,147,0.4595588235294121,0.4595588235294121,NA,0.41600000000000004,0.4272,0.3319,0.5271,0.1487,0,1.1658,1
dm12272_38d,FBgn0035951,3,73,85,30,0.840425531914894,0.840425531914894,NA,0.462,0.4761,0.3811,0.5755,0.6205,0,1.0547,1
dm12272_38d,FBgn0024289,3,2828,2302,2601,0.663562281722934,0.663562281722934,NA,0.5513,0.5485,0.4714,0.6208,0.1924,0,0.9094,1
dm12272_38d,FBgn0028703,3,146,130,103,0.7282321899736149,0.7282321899736149,NA,0.529,0.5206,0.4255,0.6123,0.6414,0,0.9636,1
dm12272_38d,FBgn0040066,3,83,93,144,0.55,0.55,NA,0.4716,0.488,0.387,0.5933,0.8056,0,1.0302,1
dm12272_38d,FBgn0003257,3,57,70,56,0.6939890710382509,0.6939890710382509,NA,0.4488,0.4787,0.3672,0.6001,0.6920000000000001,0,1.0515,1
dm12272_38d,FBgn0040068,3,47,59,231,0.31454005934718104,0.31454005934718104,NA,0.4434,0.4551,0.3485,0.5670000000000001,0.4187,0,1.1026,1
dm12272_38d,FBgn0261793,3,220,250,440,0.516483516483516,0.516483516483516,NA,0.4681,0.4685,0.3983,0.5398,0.3675,0,1.0683,1
dm12272_38d,FBgn0033753,3,19,29,1,0.9795918367346941,0.9795918367346941,NA,0.3958,0.4274,0.3024,0.56,0.2807,0,1.1716,1
dm12272_38d,FBgn0037801,3,69,68,135,0.503676470588235,0.503676470588235,NA,0.5036,0.5244,0.4135,0.6371,0.6679999999999999,0,0.9581,1
dm12272_38d,FBgn0037807,3,92,46,76,0.644859813084112,0.644859813084112,NA,0.6667,0.5867,0.4453,0.7041,0.2009,0,0.8448,1
dm12272_38d,FBgn0037809,3,90,72,19,0.8950276243093921,0.8950276243093921,NA,0.5556,0.5446,0.4489,0.6364,0.3478,0,0.9179999999999999,1
dm12272_38d,FBgn0002789,3,4825,6047,2074,0.839796076008033,0.839796076008033,NA,0.4438,0.4571,0.3659,0.5545,0.3465,0,1.0958,1
