comparison,FEATURE_ID,dm12279_01h_num_reps,dm11037_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm11037_01h_g1,counts_dm11037_01h_g2,counts_dm11037_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm11037_01h_g1,prior_dm11037_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm11037_01h_sampleprop,dm11037_01h_theta,dm11037_01h_q025,dm11037_01h_q975,dm11037_01h_Bayes_evidence,dm11037_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm11037_Low_01h,FBgn0010435,3,3,211,216,263,232,261,241,0.618840579710145,0.618840579710145,0.671662125340599,0.671662125340599,0.6291,0.4941,0.4977,0.4247,0.5707,0.9544,0,0.4706,0.4731,0.4054,0.54,0.4136,0,1.0075,1.0581,1
dm12279_High_vs_dm11037_Low_01h,FBgn0035871,3,3,119,181,38,53,85,124,0.887573964497041,0.887573964497041,0.5267175572519079,0.5267175572519079,0.9362,0.3967,0.4316,0.2948,0.5844,0.358,0,0.3841,0.4236,0.284,0.5771,0.3131,0,1.165,1.1849,1
dm12279_High_vs_dm11037_Low_01h,FBgn0263081,3,3,90,183,2,89,86,71,0.9927272727272729,0.9927272727272729,0.711382113821138,0.711382113821138,0.0073,0.3297,0.3452,0.2726,0.425,0.0004,1,0.5086,0.5081,0.42,0.5959,0.8578,0,1.3856,0.9877,1
dm12279_High_vs_dm11037_Low_01h,FBgn0004432,3,3,1950,1688,1019,561,83,4788,0.781189607043161,0.781189607043161,0.11855670103092801,0.11855670103092801,0.0918,0.536,0.5102,0.3414,0.6765,0.8987,0,0.8711,0.7323,0.53,0.868,0.0278,1,0.9948,0.6067,1
dm12279_High_vs_dm11037_Low_01h,FBgn0266696,3,3,40,46,53,35,30,81,0.6187050359712231,0.6187050359712231,0.445205479452055,0.445205479452055,0.5229,0.4651,0.4764,0.3651,0.5886,0.6753,0,0.5385,0.5294,0.4086,0.6474,0.6304,0,1.0561,0.9494,1
dm12279_High_vs_dm11037_Low_01h,FBgn0031971,3,3,253,345,5,297,7,298,0.991708126036484,0.991708126036484,0.504983388704319,0.504983388704319,0.048,0.4231,0.4624,0.326,0.632,0.5227,0,0.977,0.8329,0.5432,0.9505,0.0276,1,1.0921,0.4391,1
dm12279_High_vs_dm11037_Low_01h,FBgn0040102,3,3,165,81,3,64,98,22,0.9879518072289158,0.9879518072289158,0.8804347826086959,0.8804347826086959,0.0018,0.6707,0.6497,0.5633,0.7263,0.0036,1,0.3951,0.4132,0.327,0.5075,0.0658,0,0.7355,1.1989,1
dm12279_High_vs_dm11037_Low_01h,FBgn0003721,3,3,108,84,2088,630,730,782,0.0842105263157895,0.0842105263157895,0.634920634920635,0.634920634920635,0.0758,0.5625,0.5557,0.4702,0.6365,0.1938,0,0.4632,0.4644,0.4114,0.5192,0.1942,0,0.8967,1.0759,1
dm12279_High_vs_dm11037_Low_01h,FBgn0043471,3,3,137,129,14,42,41,219,0.95,0.95,0.274834437086093,0.274834437086093,0.8516,0.515,0.5175,0.4328,0.6025,0.6822,0,0.506,0.5041,0.395,0.6111,0.9298,0,0.9689,0.9979,1
dm12279_High_vs_dm11037_Low_01h,FBgn0040653,3,3,817,1981,46,379,686,19,0.983825597749648,0.983825597749648,0.9824723247232472,0.9824723247232472,0.2031,0.292,0.3109,0.2493,0.3908,0.0004,1,0.3559,0.3704,0.3066,0.4467,0.0051,1,1.4974,1.3093,1
dm12279_High_vs_dm11037_Low_01h,FBgn0000579,3,3,715,801,173,852,855,79,0.89757252812315,0.89757252812315,0.9557670772676371,0.9557670772676371,0.5127,0.4716,0.4697,0.4034,0.5393,0.3487,0,0.4991,0.4987,0.4333,0.5632,0.9658,0,1.0654,1.0047,1
dm12279_High_vs_dm11037_Low_01h,FBgn0259736,3,3,116,108,18,115,107,10,0.925619834710744,0.925619834710744,0.956896551724138,0.956896551724138,0.8311,0.5179,0.4995,0.4042,0.5922,0.9973,0,0.518,0.5144,0.4219,0.6054,0.7496,0,1.0056,0.9757,1
dm12279_High_vs_dm11037_Low_01h,FBgn0040734,3,3,132,938,84,82,538,42,0.927209705372617,0.927209705372617,0.9365558912386709,0.9365558912386709,0.8282,0.1234,0.2029,0.1227,0.3616,0.0027,1,0.1323,0.2153,0.1331,0.3761,0.0033,1,2.049,1.9684,1
dm12279_High_vs_dm11037_Low_01h,FBgn0040735,3,3,1779,3343,1244,769,1530,793,0.804586867734841,0.804586867734841,0.7435316946959899,0.7435316946959899,0.8633,0.3473,0.3875,0.2653,0.537,0.1242,0,0.3345,0.4025,0.2813,0.5414,0.1596,0,1.2766,1.2348,1
