comparison,FEATURE_ID,dm12272_01h_num_reps,dm12272_38d_num_reps,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_01h_g1,prior_dm12272_01h_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12272_01h_vs_dm12272_38d,FBgn0034789,3,3,17,15,1,23,27,5,0.96969696969697,0.96969696969697,0.9090909090909091,0.9090909090909091,0.62,0.5312,0.5174,0.3806,0.6541,0.8098,0,0.46,0.4691,0.3426,0.5994,0.6476,0,0.9751,1.075,1
dm12272_01h_vs_dm12272_38d,FBgn0051288,3,3,156,130,2,143,94,1,0.993055555555556,0.993055555555556,0.995798319327731,0.995798319327731,0.4393,0.5455,0.5417,0.4562,0.6233,0.3236,0,0.6034,0.5871,0.4997,0.6698,0.0511,0,0.9227,0.8409,1
dm12272_01h_vs_dm12272_38d,FBgn0036258,3,3,261,219,31,1347,1227,258,0.939334637964775,0.939334637964775,0.908898305084746,0.908898305084746,0.6542,0.5438,0.544,0.4751,0.6115,0.2096,0,0.5233,0.5237,0.4638,0.5817,0.3969,0,0.9174,0.9552,1
dm12272_01h_vs_dm12272_38d,FBgn0036257,3,3,50,38,24,278,272,80,0.7857142857142858,0.7857142857142858,0.873015873015873,0.873015873015873,0.4667,0.5682,0.5516,0.445,0.6549,0.3347,0,0.5055,0.5056,0.4342,0.5751,0.8664,0,0.9058,0.9915,1
dm12272_01h_vs_dm12272_38d,FBgn0034876,3,3,189,314,469,88,124,110,0.5174897119341559,0.5174897119341559,0.658385093167702,0.658385093167702,0.4731,0.3757,0.3889,0.3214,0.4647,0.0087,1,0.4151,0.4292,0.3455,0.5182,0.1087,0,1.2589,1.1592,1
dm12272_01h_vs_dm12272_38d,FBgn0034877,3,3,166,193,4113,580,723,14061,0.0802772808586762,0.0802772808586762,0.0848086435824003,0.0848086435824003,0.6713,0.4624,0.4654,0.4,0.5317,0.3031,0,0.4451,0.44799999999999995,0.3974,0.5001,0.0504,0,1.0745,1.1119,1
dm12272_01h_vs_dm12272_38d,FBgn0034879,3,3,47,40,25,110,149,37,0.7767857142857142,0.7767857142857142,0.875,0.875,0.2229,0.5402,0.5245,0.4054,0.6403,0.6782,0,0.4247,0.4291,0.3331,0.5339,0.1671,0,0.9588,1.1615,1
dm12272_01h_vs_dm12272_38d,FBgn0033153,3,3,139,3,63,147,5,36,0.6926829268292679,0.6926829268292679,0.8085106382978721,0.8085106382978721,0.912,0.9789,0.6559999999999999,0.4148,0.86,0.1947,0,0.9671,0.6421,0.4083,0.8504,0.2298,0,0.7342,0.7578,1
dm12272_01h_vs_dm12272_38d,FBgn0010238,3,3,63,38,11,286,156,42,0.9017857142857142,0.9017857142857142,0.9132231404958678,0.9132231404958678,0.5329,0.6238,0.597,0.4892,0.6982,0.0791,0,0.6471,0.6368,0.5593,0.7042,0.0031,1,0.8248,0.7563,1
dm12272_01h_vs_dm12272_38d,FBgn0015766,3,3,148,148,1076,1190,1103,1911,0.21574344023323602,0.21574344023323602,0.5454329210275929,0.5454329210275929,0.828,0.5,0.4988,0.4102,0.589,0.9773,0,0.519,0.5112,0.4336,0.5870000000000001,0.7673,0,1.0066,0.9807,1
dm12272_01h_vs_dm12272_38d,FBgn0064237,3,3,175,4,37,754,12,51,0.828703703703704,0.828703703703704,0.937576499388005,0.937576499388005,0.6887,0.9777,0.5924,0.3615,0.7969,0.4329,0,0.9843,0.6528,0.418,0.8449,0.1927,0,0.846,0.7392,1
