comparison,FEATURE_ID,dm11037_01h_num_reps,counts_dm11037_01h_g1,counts_dm11037_01h_g2,counts_dm11037_01h_both,prior_dm11037_01h_g1,prior_dm11037_01h_g2,H3_independence_Bayes_evidence,dm11037_01h_sampleprop,dm11037_01h_theta,dm11037_01h_q025,dm11037_01h_q975,dm11037_01h_Bayes_evidence,dm11037_01h_AI_decision,alpha1_postmean,flaganalyze
dm11037_01h,FBgn0027560,3,30,70,1859,0.0510464522715671,0.0510464522715671,NA,0.3,0.3666,0.2452,0.5252,0.0887,0,1.3378,1
dm11037_01h,FBgn0027561,3,28,49,104,0.42541436464088395,0.42541436464088395,NA,0.3636,0.396,0.2892,0.5115,0.0751,0,1.2477,1
dm11037_01h,FBgn0036173,3,45,32,103,0.427777777777778,0.427777777777778,NA,0.5844,0.5660000000000001,0.449,0.677,0.259,0,0.8804,1
dm11037_01h,FBgn0010435,3,232,261,241,0.671662125340599,0.671662125340599,NA,0.4706,0.4729,0.4046,0.5424,0.4269,0,1.0586,1
dm11037_01h,FBgn0033434,3,28,18,63,0.42201834862385296,0.42201834862385296,NA,0.6087,0.5746,0.4407,0.7012,0.2684,0,0.8664,1
dm11037_01h,FBgn0033437,3,107,100,19,0.915929203539823,0.915929203539823,NA,0.5169,0.5152,0.428,0.6017,0.7235,0,0.9738,1
dm11037_01h,FBgn0032864,3,59,42,6,0.9439252336448599,0.9439252336448599,NA,0.5842,0.5670000000000001,0.4589,0.6701,0.2163,0,0.8779,1
dm11037_01h,FBgn0051901,3,19,19,0,0.5,0.5,NA,0.5,0.5006,0.3189,0.6816,0.9937,0,1.0176,1
dm11037_01h,FBgn0261373,3,22,13,33,0.514705882352941,0.514705882352941,NA,0.6286,0.5821,0.4388,0.716,0.2542,0,0.8537,1
dm11037_01h,FBgn0035871,3,53,85,124,0.5267175572519079,0.5267175572519079,NA,0.3841,0.4185,0.2995,0.5543,0.2156,0,1.1929,1
dm11037_01h,FBgn0028648,3,19,19,20,0.655172413793103,0.655172413793103,NA,0.5,0.4996,0.3607,0.6383,0.9971,0,1.0115,1
dm11037_01h,FBgn0035290,3,23,15,5,0.8837209302325579,0.8837209302325579,NA,0.6053,0.5686,0.4294,0.7001,0.32799999999999996,0,0.8777,1
dm11037_01h,FBgn0263081,3,89,86,71,0.711382113821138,0.711382113821138,NA,0.5086,0.5078,0.4174,0.597,0.8637,0,0.9887,1
dm11037_01h,FBgn0004432,3,561,83,4788,0.11855670103092801,0.11855670103092801,NA,0.8711,0.6698,0.447,0.8351,0.1227,0,0.7094,1
dm11037_01h,FBgn0266696,3,35,30,81,0.445205479452055,0.445205479452055,NA,0.5385,0.5291,0.4085,0.648,0.6356,0,0.9499,1
dm11037_01h,FBgn0031971,3,297,7,298,0.504983388704319,0.504983388704319,NA,0.977,0.6978,0.4216,0.9379,0.1632,0,0.6655,1
dm11037_01h,FBgn0034180,3,27,35,9,0.873239436619718,0.873239436619718,NA,0.4355,0.4524,0.3342,0.5755,0.4433,0,1.1108,1
dm11037_01h,FBgn0034181,3,28,53,119,0.405,0.405,NA,0.3457,0.3823,0.2831,0.4904,0.0342,1,1.2831,1
dm11037_01h,FBgn0030510,3,20,20,36,0.526315789473684,0.526315789473684,NA,0.5,0.5003,0.3647,0.6363,0.9988,0,1.0096,1
dm11037_01h,FBgn0036111,3,68,58,135,0.482758620689655,0.482758620689655,NA,0.5397,0.5331,0.434,0.6298,0.5046,0,0.94,1
dm11037_01h,FBgn0034988,3,13,21,17,0.666666666666667,0.666666666666667,NA,0.3824,0.4274,0.2888,0.5760000000000001,0.3278,0,1.1753,1
dm11037_01h,FBgn0010228,3,309,233,897,0.37665045170257105,0.37665045170257105,NA,0.5701,0.5642,0.4846,0.6393,0.1053,0,0.8809999999999999,1
dm11037_01h,FBgn0040102,3,64,98,22,0.8804347826086959,0.8804347826086959,NA,0.3951,0.4132,0.3235,0.5095,0.0741,0,1.1995,1
dm11037_01h,FBgn0031607,3,17,23,0,0.5,0.5,NA,0.425,0.475,0.2961,0.66,0.7841,0,1.0735,1
dm11037_01h,FBgn0037188,3,14,20,5,0.8717948717948721,0.8717948717948721,NA,0.4118,0.4439,0.3072,0.5881,0.4422,0,1.1345,1
dm11037_01h,FBgn0026570,3,21,13,7,0.8292682926829269,0.8292682926829269,NA,0.6176,0.5726,0.4297,0.7067,0.3167,0,0.8708,1
dm11037_01h,FBgn0037186,3,18,15,38,0.464788732394366,0.464788732394366,NA,0.5455,0.5283,0.3844,0.6694,0.6982,0,0.9544,1
dm11037_01h,FBgn0260855,3,30,16,117,0.282208588957055,0.282208588957055,NA,0.6522,0.6045,0.4689,0.7286,0.126,0,0.8136,1
dm11037_01h,FBgn0036588,3,98,70,5,0.971098265895954,0.971098265895954,NA,0.5833,0.5691,0.4727,0.6597,0.1493,0,0.8732,1
dm11037_01h,FBgn0036589,3,430,319,263,0.7401185770750991,0.7401185770750991,NA,0.5741,0.5652,0.4957,0.63,0.0643,0,0.8787,1
dm11037_01h,FBgn0263316,3,34,40,1,0.986666666666667,0.986666666666667,NA,0.4595,0.4692,0.3538,0.5866,0.6002,0,1.0725,1
dm11037_01h,FBgn0035469,3,70,56,4,0.969230769230769,0.969230769230769,NA,0.5556,0.547,0.4432,0.6471,0.361,0,0.9141,1
dm11037_01h,FBgn0020647,3,24,17,48,0.4606741573033711,0.4606741573033711,NA,0.5854,0.5572,0.4215,0.6866,0.4023,0,0.8984,1
dm11037_01h,FBgn0035600,3,195,210,897,0.31105990783410103,0.31105990783410103,NA,0.4815,0.4831,0.4125,0.5547,0.6286,0,1.0373,1
dm11037_01h,FBgn0035601,3,99,81,222,0.44776119402985104,0.44776119402985104,NA,0.55,0.5431,0.4529,0.6308,0.33899999999999997,0,0.9205,1
dm11037_01h,FBgn0035603,3,115,92,6,0.9718309859154929,0.9718309859154929,NA,0.5556,0.5479999999999999,0.4582,0.6343,0.2778,0,0.9113,1
dm11037_01h,FBgn0003721,3,630,730,782,0.634920634920635,0.634920634920635,NA,0.4632,0.4651,0.4081,0.5236,0.2232,0,1.0746,1
dm11037_01h,FBgn0025682,3,94,96,27,0.875576036866359,0.875576036866359,NA,0.4947,0.4955,0.4065,0.5857,0.9159999999999999,0,1.0133,1
dm11037_01h,FBgn0043470,3,49,44,81,0.5344827586206901,0.5344827586206901,NA,0.5269,0.5215,0.41200000000000003,0.6291,0.6990000000000001,0,0.9634,1
dm11037_01h,FBgn0043471,3,42,41,219,0.274834437086093,0.274834437086093,NA,0.506,0.5039,0.3912,0.6168,0.9446,0,0.9989,1
dm11037_01h,FBgn0040653,3,379,686,19,0.9824723247232472,0.9824723247232472,NA,0.3559,0.3703,0.3041,0.4489,0.0062,1,1.31,1
dm11037_01h,FBgn0003189,3,37,34,42,0.628318584070796,0.628318584070796,NA,0.5211,0.5155,0.3966,0.6333,0.7987,0,0.9764,1
dm11037_01h,FBgn0037973,3,74,3,305,0.201570680628272,0.201570680628272,NA,0.961,0.8387,0.7456,0.9038,0.0005,1,0.43700000000000006,1
dm11037_01h,FBgn0000579,3,852,855,79,0.9557670772676371,0.9557670772676371,NA,0.4991,0.4989,0.4414,0.5569,0.9667,0,1.0038,1
dm11037_01h,FBgn0259736,3,115,107,10,0.956896551724138,0.956896551724138,NA,0.518,0.5156,0.4283,0.6023,0.7187,0,0.973,1
dm11037_01h,FBgn0011327,3,30,49,211,0.272413793103448,0.272413793103448,NA,0.3797,0.4058,0.2995,0.5194,0.1023,0,1.2218,1
dm11037_01h,FBgn0011638,3,42,48,91,0.49723756906077293,0.49723756906077293,NA,0.4667,0.4737,0.3647,0.5838,0.6366,0,1.0615,1
dm11037_01h,FBgn0262965,3,34,36,20,0.7777777777777779,0.7777777777777779,NA,0.4857,0.4885,0.3714,0.6065,0.8479,0,1.0312,1
dm11037_01h,FBgn0050344,3,55,70,97,0.563063063063063,0.563063063063063,NA,0.44,0.4525,0.3527,0.5574,0.3556,0,1.1072,1
dm11037_01h,FBgn0050349,3,56,53,5,0.9561403508771931,0.9561403508771931,NA,0.5138,0.5113,0.4053,0.6167,0.8331,0,0.9831,1
dm11037_01h,FBgn0040734,3,82,538,42,0.9365558912386709,0.9365558912386709,NA,0.1323,0.2101,0.1318,0.3611,0.0032,1,1.9953,1
dm11037_01h,FBgn0040735,3,769,1530,793,0.7435316946959899,0.7435316946959899,NA,0.3345,0.3911,0.2821,0.5228,0.0933,0,1.2625,1
dm11037_01h,FBgn0040736,3,2207,2490,604,0.8860592341067719,0.8860592341067719,NA,0.4699,0.4799,0.3503,0.6131,0.7503,0,1.0515,1
dm11037_01h,FBgn0040730,3,38,1,17,0.6964285714285711,0.6964285714285711,NA,0.9744,0.7919,0.6561,0.8856,0.0026,1,0.5117,1
dm11037_01h,FBgn0040732,3,1091,1011,58,0.9731481481481479,0.9731481481481479,NA,0.519,0.516,0.4541,0.5768,0.5732,0,0.9702,1
dm11037_01h,FBgn0040733,3,3038,4730,1522,0.8361679224973092,0.8361679224973092,NA,0.3911,0.4203,0.3106,0.5434,0.1848,0,1.1859,1
dm11037_01h,FBgn0005585,3,117,126,1562,0.134626038781163,0.134626038781163,NA,0.4815,0.4842,0.4038,0.5647,0.6936,0,1.0359,1
dm11037_01h,FBgn0267330,3,53,48,104,0.49268292682926795,0.49268292682926795,NA,0.5248,0.5205,0.4129,0.6271,0.7024,0,0.9653,1
dm11037_01h,FBgn0029506,3,280,402,29,0.9592123769338959,0.9592123769338959,NA,0.4106,0.4174,0.3516,0.4887,0.0272,1,1.1856,1
dm11037_01h,FBgn0023507,3,187,150,229,0.595406360424028,0.595406360424028,NA,0.5549,0.5494,0.4733,0.6233,0.1919,0,0.9078,1
dm11037_01h,FBgn0032494,3,58,86,82,0.63716814159292,0.63716814159292,NA,0.4028,0.41700000000000004,0.3265,0.5138,0.0897,0,1.1902,1
dm11037_01h,FBgn0053196,3,45,31,78,0.49350649350649395,0.49350649350649395,NA,0.5921,0.5699,0.4541,0.6801,0.2302,0,0.8732,1
dm11037_01h,FBgn0015039,3,40,23,247,0.203225806451613,0.203225806451613,NA,0.6349,0.6018,0.4806,0.7155,0.0979,0,0.8174,1
dm11037_01h,FBgn0053198,3,17,53,0,0.5,0.5,NA,0.2429,0.4359,0.2518,0.6405,0.5244,0,1.1698,1
dm11037_01h,FBgn0019936,3,2248,2604,1800,0.7294046903187009,0.7294046903187009,NA,0.4633,0.466,0.4072,0.5274,0.2455,0,1.0727,1
dm11037_01h,FBgn0003068,3,35,30,2,0.970149253731343,0.970149253731343,NA,0.5385,0.5263,0.4034,0.6466,0.6689,0,0.9556,1
