comparison,FEATURE_ID,dm12279_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,alpha1_postmean,flaganalyze
dm12279_38d,FBgn0014930,3,349,344,164,0.808634772462077,0.808634772462077,NA,0.5036,0.5042,0.4314,0.5767,0.9055,0,0.9942,1
dm12279_38d,FBgn0027562,3,31,33,113,0.361581920903955,0.361581920903955,NA,0.4844,0.4884,0.371,0.6078,0.8454,0,1.0315,1
dm12279_38d,FBgn0027563,3,228,219,582,0.434402332361516,0.434402332361516,NA,0.5101,0.5103,0.44,0.5799,0.7611,0,0.982,1
dm12279_38d,FBgn0027560,3,2713,5503,30403,0.212745021880421,0.212745021880421,NA,0.3302,0.3486,0.2797,0.4336,0.0029,1,1.3749,1
dm12279_38d,FBgn0027561,3,95,205,199,0.6012024048096191,0.6012024048096191,NA,0.3167,0.3556,0.2617,0.473,0.0217,1,1.3607,1
dm12279_38d,FBgn0036173,3,649,81,422,0.633680555555556,0.633680555555556,NA,0.889,0.8658,0.8206,0.8984,0.0,1,0.39299999999999996,1
dm12279_38d,FBgn0027567,3,416,381,280,0.740018570102136,0.740018570102136,NA,0.522,0.5268,0.4436,0.6077,0.4935,0,0.9507,1
dm12279_38d,FBgn0027564,3,55,43,118,0.45370370370370394,0.45370370370370394,NA,0.5612,0.5531,0.4387,0.6615,0.3454,0,0.9038,1
dm12279_38d,FBgn0027565,3,167,164,20,0.943019943019943,0.943019943019943,NA,0.5045,0.5025,0.4214,0.5838,0.9496,0,0.9984,1
dm12279_38d,FBgn0027569,3,64,88,132,0.535211267605634,0.535211267605634,NA,0.4211,0.4431,0.3398,0.5537,0.2901,0,1.1295,1
dm12279_38d,FBgn0010434,3,348,303,166,0.796817625458996,0.796817625458996,NA,0.5346,0.5303,0.4479,0.6096,0.4342,0,0.9439,1
dm12279_38d,FBgn0010435,3,1819,1916,1164,0.7624004898958969,0.7624004898958969,NA,0.48700000000000004,0.4878,0.4298,0.5468,0.6629999999999999,0,1.0265,1
dm12279_38d,FBgn0259482,3,214,183,103,0.794,0.794,NA,0.539,0.5365,0.4594,0.612,0.3324,0,0.932,1
dm12279_38d,FBgn0085212,3,157,24,260,0.41043083900226796,0.41043083900226796,NA,0.8674,0.8144,0.7386,0.8729,0.0001,1,0.4766,1
dm12279_38d,FBgn0266101,3,49,44,174,0.348314606741573,0.348314606741573,NA,0.5269,0.5016,0.3819,0.6172,0.9690000000000001,0,1.0043,1
dm12279_38d,FBgn0033434,3,128,281,271,0.601470588235294,0.601470588235294,NA,0.313,0.3334,0.2646,0.4146,0.0013,1,1.4227,1
dm12279_38d,FBgn0033437,3,47,45,13,0.876190476190476,0.876190476190476,NA,0.5109,0.5097,0.3928,0.6251,0.8648,0,0.9876,1
dm12279_38d,FBgn0036116,3,91,70,15,0.9147727272727271,0.9147727272727271,NA,0.5652,0.5563,0.4576,0.6498,0.2472,0,0.8965,1
dm12279_38d,FBgn0040752,3,314,277,196,0.7509529860228721,0.7509529860228721,NA,0.5313,0.5327,0.46,0.6036,0.3553,0,0.9389,1
dm12279_38d,FBgn0015558,3,44,19,85,0.425675675675676,0.425675675675676,NA,0.6984,0.6445,0.5166,0.7567,0.0288,1,0.7456,1
dm12279_38d,FBgn0038244,3,65,124,129,0.5943396226415091,0.5943396226415091,NA,0.3439,0.3765,0.2854,0.4843,0.0295,1,1.298,1
dm12279_38d,FBgn0038243,3,66,75,2420,0.0550566185083951,0.0550566185083951,NA,0.4681,0.4727,0.3728,0.5743,0.5903,0,1.0625,1
dm12279_38d,FBgn0032864,3,588,713,13,0.990106544901065,0.990106544901065,NA,0.452,0.4582,0.3947,0.5253,0.1891,0,1.0901,1
dm12279_38d,FBgn0033574,3,84,29,3,0.9741379310344829,0.9741379310344829,NA,0.7434,0.6941,0.5784,0.7863,0.0052,1,0.6652,1
dm12279_38d,FBgn0036373,3,47,44,230,0.283489096573209,0.283489096573209,NA,0.5165,0.514,0.4071,0.6201,0.7973,0,0.978,1
dm12279_38d,FBgn0036376,3,76,1,327,0.19059405940594099,0.19059405940594099,NA,0.987,0.8540000000000001,0.6714,0.9266,0.0076,1,0.4106,1
dm12279_38d,FBgn0051908,3,158,148,189,0.6181818181818179,0.6181818181818179,NA,0.5163,0.5126,0.4332,0.5908,0.7438,0,0.9781,1
dm12279_38d,FBgn0051901,3,92,27,22,0.8439716312056741,0.8439716312056741,NA,0.7731,0.7133,0.6014,0.8015,0.0019,1,0.6348,1
dm12279_38d,FBgn0261373,3,99,104,50,0.802371541501976,0.802371541501976,NA,0.4877,0.4884,0.4012,0.5760000000000001,0.7891,0,1.0277,1
dm12279_38d,FBgn0035876,3,449,10,282,0.619433198380567,0.619433198380567,NA,0.9782,0.7082,0.4401,0.9458,0.1322,0,0.647,1
dm12279_38d,FBgn0035872,3,77,80,285,0.35520361990950206,0.35520361990950206,NA,0.4904,0.4989,0.4043,0.5951,0.9782,0,1.0070000000000001,1
dm12279_38d,FBgn0035871,3,1106,1776,592,0.829591249280368,0.829591249280368,NA,0.3838,0.3889,0.3284,0.4581,0.0059,1,1.2578,1
dm12279_38d,FBgn0028648,3,164,245,70,0.8538622129436328,0.8538622129436328,NA,0.401,0.40700000000000003,0.3346,0.4853,0.0241,1,1.2123,1
dm12279_38d,FBgn0032475,3,86,5,37,0.7109375,0.7109375,NA,0.9451,0.8398,0.726,0.9086,0.0009,1,0.4349,1
dm12279_38d,FBgn0086895,3,51,37,49,0.6423357664233579,0.6423357664233579,NA,0.5795,0.5532,0.4367,0.6629,0.3563,0,0.9038,1
dm12279_38d,FBgn0003048,3,81,74,107,0.591603053435114,0.591603053435114,NA,0.5226,0.5182,0.42,0.6144,0.7040000000000001,0,0.9688,1
dm12279_38d,FBgn0003044,3,51,31,155,0.345991561181435,0.345991561181435,NA,0.622,0.5989,0.4827,0.7074,0.0918,0,0.8220000000000001,1
dm12279_38d,FBgn0003041,3,31,35,75,0.468085106382979,0.468085106382979,NA,0.4697,0.4765,0.3579,0.5972,0.6956,0,1.0571,1
dm12279_38d,FBgn0042627,3,997,1842,4709,0.37612612612612606,0.37612612612612606,NA,0.3512,0.3786,0.2897,0.4852,0.0296,1,1.2915,1
