comparison,FEATURE_ID,dm12279_01h_num_reps,dm11255_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm11255_01h_g1,counts_dm11255_01h_g2,counts_dm11255_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm11255_01h_g1,prior_dm11255_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm11255_01h_sampleprop,dm11255_01h_theta,dm11255_01h_q025,dm11255_01h_q975,dm11255_01h_Bayes_evidence,dm11255_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm11255_Low_01h,FBgn0010435,3,3,211,216,263,218,200,254,0.618840579710145,0.618840579710145,0.6220238095238101,0.6220238095238101,0.7859999999999999,0.4941,0.4976,0.42,0.5759,0.9482,0,0.5215,0.5119,0.4368,0.5854,0.74,0,1.0079,0.9792,1
dm12279_High_vs_dm11255_Low_01h,FBgn0035871,3,3,119,181,38,112,146,29,0.887573964497041,0.887573964497041,0.898954703832753,0.898954703832753,0.6187,0.3967,0.4129,0.3124,0.5308,0.1264,0,0.4341,0.4489,0.3491,0.557,0.3144,0,1.2029,1.1156,1
dm12279_High_vs_dm11255_Low_01h,FBgn0263081,3,3,90,183,2,72,53,49,0.9927272727272729,0.9927272727272729,0.718390804597701,0.718390804597701,0.0051,0.3297,0.34700000000000003,0.2691,0.4375,0.0062,1,0.5760000000000001,0.5629,0.4578,0.6609999999999999,0.2293,0,1.3815,0.8849,1
dm12279_High_vs_dm11255_Low_01h,FBgn0004432,3,3,1950,1688,1019,658,215,6643,0.781189607043161,0.781189607043161,0.116152208621607,0.116152208621607,0.0122,0.536,0.5139,0.4048,0.6212,0.7849,0,0.7537,0.7087,0.6046,0.7876,0.0009,1,0.9784,0.642,1
dm12279_High_vs_dm11255_Low_01h,FBgn0266696,3,3,40,46,53,32,36,105,0.6187050359712231,0.6187050359712231,0.393063583815029,0.393063583815029,0.9918,0.4651,0.4761,0.3689,0.5863,0.6622,0,0.4706,0.4761,0.3582,0.5945,0.6991,0,1.0564,1.0575,1
dm12279_High_vs_dm11255_Low_01h,FBgn0031971,3,3,253,345,5,284,319,10,0.991708126036484,0.991708126036484,0.9836867862969001,0.9836867862969001,0.4842,0.4231,0.4394,0.3719,0.5156,0.1027,0,0.47100000000000003,0.473,0.40399999999999997,0.5424,0.4204,0,1.1334,1.0583,1
dm12279_High_vs_dm11255_Low_01h,FBgn0040102,3,3,165,81,3,54,43,48,0.9879518072289158,0.9879518072289158,0.668965517241379,0.668965517241379,0.2,0.6707,0.6414,0.5338,0.7307,0.0167,1,0.5567,0.5436,0.4224,0.6596,0.4576,0,0.7498,0.9219,1
dm12279_High_vs_dm11255_Low_01h,FBgn0032803,3,3,115,119,21,62,73,78,0.917647058823529,0.917647058823529,0.6338028169014079,0.6338028169014079,0.8231,0.4915,0.4836,0.3882,0.5792,0.7307,0,0.4593,0.4676,0.3661,0.5724,0.5302,0,1.0388,1.074,1
dm12279_High_vs_dm11255_Low_01h,FBgn0003721,3,3,108,84,2088,65,78,1862,0.0842105263157895,0.0842105263157895,0.0713216957605985,0.0713216957605985,0.1333,0.5625,0.5545,0.4635,0.6434,0.2331,0,0.4545,0.4536,0.3556,0.5495,0.3424,0,0.8994,1.104,1
dm12279_High_vs_dm11255_Low_01h,FBgn0043471,3,3,137,129,14,174,168,0,0.95,0.95,0.5,0.5,0.9964,0.515,0.5035,0.3,0.7109,0.9756,0,0.5088,0.5032,0.3137,0.6881,0.9747,0,1.0178,1.0138,1
