Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
6a-K27_S144_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,WARN,72.72
5a-I_S118_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS,PASS,72.72
4b-K27_S108_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
1c-K4_S92_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
5d-K27_S135_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
1a-K4_S89_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
2c-K27_S117_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
5b-K27_S132_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
4d-K4_S110_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
3b-K4_S149_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
5b-K4_S131_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,WARN,72.72
6a-K27_S144_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
1a-I_S88_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
2b-I_S124_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,PASS,72.72
2a-K4_S113_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,100
2d-K4_S128_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
4c-K27_S99_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,PASS,72.72
4d-I_S109_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,PASS,54.54
1c-K4_S92_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
2a-K4_S113_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
3d-I_S151_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
3b-K4_S149_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
6d-K27_S159_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,WARN,63.63
5c-I_S121_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,PASS,WARN,PASS,72.72
5d-I_S133_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,PASS,PASS,63.63
4c-K4_S98_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
4b-I_S106_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,PASS,54.54
5c-I_S121_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,PASS,WARN,PASS,72.72
6b-I_S154_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,PASS,WARN,54.54
4b-K4_S107_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
5d-K27_S135_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
1c-I_S91_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
2c-K4_S116_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
1d-I_S103_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,PASS,72.72
1c-I_S91_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
5a-K4_S119_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
6d-I_S157_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,PASS,WARN,63.63
6d-K4_S158_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
